Gene,NP_Score,is_Seed,Rank,P_value
ALB,0.0075199171753683,Yes,1,6.172458490216653e-05
SEPTIN2,0.0072703023967494,Yes,2,0.00012344916980433306
C3,0.0072183586416104,Yes,3,0.0001851737547064996
APOA1,0.007218151660427,Yes,4,0.0002468983396086661
HSP90B1,0.0071105482777801,Yes,5,0.0003086229245108327
XBP1,0.006958902770218,Yes,6,0.0003703475094129992
SEL1L,0.0068763803437273,Yes,7,0.00043207209431516574
PSAP,0.0068701536399081,Yes,8,0.0004937966792173322
A2M,0.0068290672896643,Yes,9,0.0005555212641194987
DAPK1,0.006707778015558,Yes,10,0.0006172458490216654
PAK2,0.0065396278454515,Yes,11,0.0006789704339238319
POGZ,0.0065197035379686,Yes,12,0.0007406950188259984
KAT6A,0.0064560174035592,Yes,13,0.000802419603728165
SON,0.0064243815705363,Yes,14,0.0008641441886303315
KLF12,0.006414198567791,Yes,15,0.000925868773532498
RERE,0.0063956617246064,Yes,16,0.0009875933584346645
TFAP2A,0.0062030569707868,No,17,0.001049317943336831
EP300,0.0021156738889547,No,18,0.0011110425282389975
TP53,0.0020943752534045,No,19,0.001172767113141164
HDAC1,0.001724854010067,No,20,0.0012344916980433307
HDAC2,0.0015012082358772,No,21,0.001296216282945497
SEPTIN7,0.0014291721178555,No,22,0.0013579408678476637
WDR5,0.0013924823489342,No,23,0.0014196654527498303
SEPTIN4,0.0013914650671609,No,24,0.0014813900376519967
SEPTIN5,0.0013609746764024,No,25,0.0015431146225541633
SEPTIN6,0.0012780134138029,No,26,0.00160483920745633
SEPTIN9,0.0012731638207767,No,27,0.0016665637923584963
SEPTIN1,0.0012314515733099,No,28,0.001728288377260663
SEPTIN3,0.0012199276060944,No,29,0.0017900129621628296
SEPTIN8,0.0011990901903536,No,30,0.001851737547064996
SEPTIN11,0.0011990901903536,No,31,0.0019134621319671626
SEPTIN10,0.0011874888588864,No,32,0.001975186716869329
APOE,0.0011708675788754,No,33,0.0020369113017714956
RARB,0.0011483554301485,No,34,0.002098635886673662
EGFR,0.0011296084990278,No,35,0.002160360471575829
EHMT2,0.0011152463871354,No,36,0.002222085056477995
H3C13,0.0011138303000403,No,37,0.0022838096413801616
SEPTIN14,0.0011084136040851,No,38,0.002345534226282328
CBX3,0.0011044078104115,No,39,0.002407258811184495
HSPA5,0.0011007501238068,No,40,0.0024689833960866614
SQSTM1,0.001100738534081,No,41,0.002530707980988828
H3C12,0.0010849020570801,No,42,0.002592432565890994
CTNNB1,0.0010717847824253,No,43,0.002654157150793161
CHD4,0.0010551130933675,No,44,0.0027158817356953274
CDC42EP4,0.0010518715326988,No,45,0.002777606320597494
CBX5,0.0010476682271547,No,46,0.0028393309054996606
SEPTIN12,0.001042066660161,No,47,0.0029010554904018273
H4C6,0.0010418911656084,No,48,0.0029627800753039934
AKT1,0.0010358056410555,No,49,0.00302450466020616
CBX1,0.0010340317821254,No,50,0.0030862292451083267
FN1,0.001016713461918,No,51,0.0031479538300104933
JUN,0.0009869537403263,No,52,0.00320967841491266
CDC42,0.0009805387837618,No,53,0.003271402999814826
TNF,0.0009699849464846,No,54,0.0033331275847169927
H3-3B,0.0009630262122384,No,55,0.0033948521696191593
IL6,0.0009605562272914,No,56,0.003456576754521326
CASP3,0.0009469099519861,No,57,0.0035183013394234925
APP,0.0009345978850623,No,58,0.003580025924325659
ACTB,0.0009201235344047,No,59,0.0036417505092278253
BCL2,0.0009105144616016,No,60,0.003703475094129992
CALM3,0.0009043074307809,No,61,0.0037651996790321585
MYC,0.0008965954909805,No,62,0.003826924263934325
APOB,0.0008877824174539,No,63,0.0038886488488364917
H3-4,0.0008811820605063,No,64,0.003950373433738658
MAD2L2,0.000878427228234,No,65,0.0040120980186408245
SRC,0.0008764985683408,No,66,0.004073822603542991
NR2F2,0.0008715305125706,No,67,0.004135547188445158
RPS27A,0.0008530919028499,No,68,0.004197271773347324
HSP90AA1,0.0008459639217511,No,69,0.004258996358249491
VCP,0.0008278190609209,No,70,0.004320720943151658
CALML5,0.0008269873185091,No,71,0.004382445528053824
CALML3,0.0008249402708901,No,72,0.00444417011295599
IL1B,0.0008156755204132,No,73,0.0045058946978581566
CALML4,0.0008139290093684,No,74,0.004567619282760323
MAPK3,0.0008051176043279,No,75,0.00462934386766249
CALML6,0.0008023391231682,No,76,0.004691068452564656
ESR1,0.0008013058518609,No,77,0.004752793037466823
RHOA,0.0007914501892635,No,78,0.00481451762236899
INS,0.0007847941129628,No,79,0.004876242207271156
EIF4A3,0.0007828277518301,No,80,0.004937966792173323
F2,0.0007824944278283,No,81,0.0049996913770754894
CANX,0.0007746611550235,No,82,0.005061415961977656
UBA52,0.0007613953171086,No,83,0.005123140546879823
SERPINA1,0.0007601909302641,No,84,0.005184865131781988
HSP90AB1,0.0007567693252145,No,85,0.005246589716684155
CLU,0.0007534851732467,No,86,0.005308314301586322
PSIP1,0.0007408389976127,No,87,0.005370038886488488
H3-5,0.0007350091506033,No,88,0.005431763471390655
ADNP,0.0007315260631782,No,89,0.0054934880562928215
MAPK1,0.0007313809445397,No,90,0.005555212641194988
H3-2,0.0007272294625764,No,91,0.005616937226097155
SF3B1,0.0007258983016841,No,92,0.005678661810999321
CREBBP,0.0007253525721736,No,93,0.005740386395901488
UBC,0.000705691019514,No,94,0.0058021109808036545
CHAMP1,0.0007056072072297,No,95,0.00586383556570582
RBM25,0.0007037646387751,No,96,0.005925560150607987
HDGFL2,0.000697464403351,No,97,0.0059872847355101535
DDX5,0.0006968204588498,No,98,0.00604900932041232
APOH,0.0006953612429282,No,99,0.006110733905314487
OS9,0.000694257972652,No,100,0.006172458490216653
IL10,0.00069416906416,No,101,0.00623418307511882
CD4,0.0006918794142382,No,102,0.0062959076600209865
HSPA4,0.0006889049210788,No,103,0.006357632244923153
CRP,0.0006847286461453,No,104,0.00641935682982532
AHSG,0.00068366743645,No,105,0.006481081414727486
PLG,0.0006797334503659,No,106,0.006542805999629652
SRSF11,0.0006740183238161,No,107,0.006604530584531819
H3C14,0.000667740317126,No,108,0.006666255169433985
SYVN1,0.0006623636340732,No,109,0.006727979754336152
H3C15,0.0006622009844339,No,110,0.0067897043392383186
STAT3,0.0006590541264217,No,111,0.006851428924140485
TLR4,0.0006539492266,No,112,0.006913153509042652
NXF1,0.0006394541805247,No,113,0.006974878093944818
APOA2,0.0006328180275004,No,114,0.007036602678846985
FOS,0.0006307282369398,No,115,0.007098327263749152
BRCA1,0.0006259533010071,No,116,0.007160051848651318
HP,0.0006218303913158,No,117,0.007221776433553484
TMEM250,0.0006210165414444,No,118,0.007283501018455651
RBM39,0.0006189152020831,No,119,0.007345225603357817
