Gene,NP_Score,is_Seed,Rank,P_value
MT2A,0.0258115806605302,Yes,1,6.172458490216653e-05
TXN,0.0215895622453419,Yes,2,0.00012344916980433306
MGST1,0.0213106773901056,Yes,3,0.0001851737547064996
ALDH1A1,0.0212589523727026,Yes,4,0.0002468983396086661
APOC1,0.0212433644428797,Yes,5,0.0003086229245108327
MT1E,0.0074851407553737,No,6,0.0003703475094129992
MT1F,0.005943592031174,No,7,0.00043207209431516574
MT1H,0.005943592031174,No,8,0.0004937966792173322
MT1X,0.005943592031174,No,9,0.0005555212641194987
MT1G,0.0053592001308455,No,10,0.0006172458490216654
MT1M,0.003433240126505,No,11,0.0006789704339238319
APOD,0.003385309177304,No,12,0.0007406950188259984
CXorf40A,0.0032014159455192,No,13,0.000802419603728165
MT1HL1,0.0030260438237524,No,14,0.0008641441886303315
C1QB,0.0025490271912242,No,15,0.000925868773532498
CRYZL1,0.0025227635097967,No,16,0.0009875933584346645
CSTB,0.0024853356469717,No,17,0.001049317943336831
CYP3A4,0.002466035839642,No,18,0.0011110425282389975
CXorf40B,0.0024212387959822,No,19,0.001172767113141164
CYP1A1,0.0023005254775666,No,20,0.0012344916980433307
CYP2C9,0.0022206489423339,No,21,0.001296216282945497
CYP1A2,0.0022164056806706,No,22,0.0013579408678476637
MTF2,0.00221094705155,No,23,0.0014196654527498303
CYP2A6,0.0021147187020697,No,24,0.0014813900376519967
CYP2B6,0.002097222636449,No,25,0.0015431146225541633
APOE,0.0020930587783243,No,26,0.00160483920745633
GSR,0.0020865751395685,No,27,0.0016665637923584963
CYP2E1,0.0020397892312849,No,28,0.001728288377260663
APOA1,0.001985984016025,No,29,0.0017900129621628296
APOB,0.0019612138944573,No,30,0.001851737547064996
HPGDS,0.0019252123104866,No,31,0.0019134621319671626
GSTO1,0.0019044823245902,No,32,0.001975186716869329
GPX3,0.0018920831213704,No,33,0.0020369113017714956
GPX2,0.001884503506096,No,34,0.002098635886673662
GSTA1,0.0018784787054408,No,35,0.002160360471575829
GPX7,0.0018737619932848,No,36,0.002222085056477995
GSTP1,0.0018643660318102,No,37,0.0022838096413801616
GPX8,0.0018223253293015,No,38,0.002345534226282328
ADH6,0.0018154317110187,No,39,0.002407258811184495
GPX6,0.0018102226142153,No,40,0.0024689833960866614
APOC2,0.0018084046584149,No,41,0.002530707980988828
GSTM1,0.0018050352513721,No,42,0.002592432565890994
GPX5,0.0017985857412999,No,43,0.002654157150793161
GPX4,0.0017985397267583,No,44,0.0027158817356953274
CLU,0.001769897153842,No,45,0.002777606320597494
AOX1,0.0017210216323195,No,46,0.0028393309054996606
CYP26A1,0.0017199342930078,No,47,0.0029010554904018273
APOH,0.0017152849620952,No,48,0.0029627800753039934
APOA2,0.0017087980738064,No,49,0.00302450466020616
ADH1A,0.0017009144538542,No,50,0.0030862292451083267
APOC3,0.0017004489465637,No,51,0.0031479538300104933
ADH1B,0.0016901233323746,No,52,0.00320967841491266
ADH1C,0.0016892974690331,No,53,0.003271402999814826
APP,0.0016841812862973,No,54,0.0033331275847169927
GSTA2,0.0016762188034101,No,55,0.0033948521696191593
CYP3A5,0.0016750321770788,No,56,0.003456576754521326
GSTA3,0.0016724048029491,No,57,0.0035183013394234925
GSTT2B,0.0016695501572399,No,58,0.003580025924325659
GSTO2,0.0016478673342101,No,59,0.0036417505092278253
GSTA4,0.0016351944006466,No,60,0.003703475094129992
GSTM3,0.0016334707132188,No,61,0.0037651996790321585
GSTA5,0.0015966543284386,No,62,0.003826924263934325
APOA4,0.0015917463076135,No,63,0.0038886488488364917
GSTM5,0.0015763682816093,No,64,0.003950373433738658
GSTM2,0.0015475620356415,No,65,0.0040120980186408245
SELENOS,0.0015474249087078,No,66,0.004073822603542991
PON1,0.0015444532478952,No,67,0.004135547188445158
CYP2C8,0.0015231690164637,No,68,0.004197271773347324
LCAT,0.001521174681155,No,69,0.004258996358249491
MGST3,0.0015192815307611,No,70,0.004320720943151658
ADH5,0.0015144153183887,No,71,0.004382445528053824
APOM,0.0015119217894571,No,72,0.00444417011295599
PRDX6,0.001499739129389,No,73,0.0045058946978581566
GSTM4,0.0014837334162883,No,74,0.004567619282760323
APOL1,0.0014780308902647,No,75,0.00462934386766249
ALB,0.0014683475200107,No,76,0.004691068452564656
TXNDC12,0.0014607497060575,No,77,0.004752793037466823
APOA5,0.0014483340419564,No,78,0.00481451762236899
CETP,0.0014270522043681,No,79,0.004876242207271156
CYP1B1,0.0014227868319404,No,80,0.004937966792173323
MGST2,0.001417317725172,No,81,0.0049996913770754894
PLTP,0.0013978622669676,No,82,0.005061415961977656
UGT1A6,0.0013942271221267,No,83,0.005123140546879823
CYP2A13,0.0013910935668156,No,84,0.005184865131781988
UGT1A1,0.0013807479704411,No,85,0.005246589716684155
GGT1,0.0013797550683161,No,86,0.005308314301586322
UGT1A4,0.0013761043343576,No,87,0.005370038886488488
UGT1A8,0.0013752514282756,No,88,0.005431763471390655
LPA,0.0013670876283074,No,89,0.0054934880562928215
PLA2G7,0.0013389957621554,No,90,0.005555212641194988
APOF,0.0013356953798908,No,91,0.005616937226097155
UGT1A10,0.0013327027008832,No,92,0.005678661810999321
ALDH1A3,0.0013326490608114,No,93,0.005740386395901488
ALDH1A2,0.0013210078493021,No,94,0.0058021109808036545
UGT1A7,0.0013188949850892,No,95,0.00586383556570582
ADH7,0.0013157486177728,No,96,0.005925560150607987
EPHX1,0.0012746731773651,No,97,0.0059872847355101535
APOC4,0.0012734137292874,No,98,0.00604900932041232
PEX3,0.0012646467360306,No,99,0.006110733905314487
TP53,0.0012597295038945,No,100,0.006172458490216653
CYP4A11,0.0012558751758631,No,101,0.00623418307511882
HPR,0.0012546410234388,No,102,0.0062959076600209865
LPL,0.0012496783035671,No,103,0.006357632244923153
CYP2C18,0.0012467902146804,No,104,0.00641935682982532
GSS,0.0012419160576147,No,105,0.006481081414727486
PCYOX1,0.0012106595401457,No,106,0.006542805999629652
LIPC,0.0011915284761724,No,107,0.006604530584531819
CYP2S1,0.0011813448368661,No,108,0.006666255169433985
DBI,0.0011790245585075,No,109,0.006727979754336152
GGT7,0.0011634345784912,No,110,0.0067897043392383186
SAA1,0.0011556574816741,No,111,0.006851428924140485
ADH4,0.0011461686066366,No,112,0.006913153509042652
CYP4A22,0.0011458985912087,No,113,0.006974878093944818
ALDH3A1,0.0011279242116541,No,114,0.007036602678846985
CYP3A7,0.0011190289983416,No,115,0.007098327263749152
ENSP00000480571,0.0011035107539006,No,116,0.007160051848651318
HSFX4,0.0010895591713513,No,117,0.007221776433553484
SAA2,0.0010663001312777,No,118,0.007283501018455651
SERPINA1,0.0010319655384364,No,119,0.007345225603357817
SAA4,0.0010185587691408,No,120,0.007406950188259984
HP,0.000990261755322,No,121,0.00746867477316215
EGFR,0.0009893676740415,No,122,0.007530399358064317
INS,0.0009792142967735,No,123,0.007592123942966484
BCO1,0.0009482442502766,No,124,0.00765384852786865
ALDH3B1,0.0009410916907983,No,125,0.007715573112770817
CYP2C19,0.0009351779669939,No,126,0.0077772976976729835
GGT5,0.0009276483469861,No,127,0.00783902228257515
CTNNB1,0.0009268569809211,No,128,0.007900746867477316
HSD17B6,0.0009089440499874,No,129,0.007962471452379483
PPIG,0.0009079245712797,No,130,0.008024196037281649
UGT2B15,0.0009044327448182,No,131,0.008085920622183817
GGT6,0.000890825114242,No,132,0.008147645207085982
TXNRD1,0.0008838323385918,No,133,0.008209369791988148
MT3,0.0008815193851502,No,134,0.008271094376890315
UGT2B7,0.000880327284881,No,135,0.008332818961792481
AKT1,0.0008640474129085,No,136,0.008394543546694649
UGT1A3,0.0008545583403806,No,137,0.008456268131596814
UGT2B17,0.0008521582778316,No,138,0.008517992716498982
VLDLR,0.0008506372465436,No,139,0.008579717301401148
PPP1R21,0.0008475410029313,No,140,0.008641441886303315
CYP26B1,0.0008404965616536,No,141,0.008703166471205481
UGT1A9,0.0008346287276686,No,142,0.008764891056107648
IL6,0.0008329683570765,No,143,0.008826615641009814
DGAT1,0.0008218737975931,No,144,0.00888834022591198
TNF,0.0008190216315649,No,145,0.008950064810814147
CD44,0.0008062766772061,No,146,0.009011789395716313
RDH12,0.0008042450893878,No,147,0.00907351398061848
TXNRD2,0.0008022608356057,No,148,0.009135238565520646
GAPDH,0.0007989287535114,No,149,0.009196963150422814
