Gene,NP_Score,is_Seed,Rank,P_value
MT-CO1,0.0040921609023275,Yes,1,6.172458490216653e-05
COX5B,0.0040597813221156,Yes,2,0.00012344916980433306
MT-CO3,0.0040271486853898,Yes,3,0.0001851737547064996
MT-CO2,0.0040235252799645,Yes,4,0.0002468983396086661
MT-ND1,0.0039450713233606,Yes,5,0.0003086229245108327
MT-ND4,0.0039372494273414,Yes,6,0.0003703475094129992
MT-ND3,0.0039358543365349,Yes,7,0.00043207209431516574
MT-ND2,0.0039261031159423,Yes,8,0.0004937966792173322
MT-ND5,0.0038699959641097,Yes,9,0.0005555212641194987
MT-CYB,0.003778557793401,Yes,10,0.0006172458490216654
NDUFA4,0.0037636144460569,Yes,11,0.0006789704339238319
MT-ND4L,0.0037212133846682,Yes,12,0.0007406950188259984
HSP90AA1,0.0036199861202151,Yes,13,0.000802419603728165
COX6C,0.0035570635960677,Yes,14,0.0008641441886303315
MT-ATP6,0.0033486859688423,Yes,15,0.000925868773532498
HSPA8,0.0032268377251784,Yes,16,0.0009875933584346645
MT-ATP8,0.0030091120736737,Yes,17,0.001049317943336831
RPL23,0.0029740949040154,Yes,18,0.0011110425282389975
HSPD1,0.002807117983984,Yes,19,0.001172767113141164
SOD1,0.0027634682094674,Yes,20,0.0012344916980433307
SYNE2,0.0027364118155733,Yes,21,0.001296216282945497
CYTH1,0.0027213552676445,Yes,22,0.0013579408678476637
HINT1,0.0026473155063145,Yes,23,0.0014196654527498303
MTRNR2L12,0.002606561737194,Yes,24,0.0014813900376519967
PACS1,0.0025914008545096,Yes,25,0.0015431146225541633
ATF7IP,0.0025867478588622,Yes,26,0.00160483920745633
PITPNC1,0.002583768999523,Yes,27,0.0016665637923584963
CEMIP2,0.0025813260864377,Yes,28,0.001728288377260663
PRDX1,0.0025654271366421,Yes,29,0.0017900129621628296
PPIA,0.0025620080729235,Yes,30,0.001851737547064996
DNAJB6,0.0025531569816976,Yes,31,0.0019134621319671626
HMGB1,0.0025458541798262,Yes,32,0.001975186716869329
PIP4K2A,0.0025446558596116,Yes,33,0.0020369113017714956
AAK1,0.0025061728732191,Yes,34,0.002098635886673662
AHR,0.0025050547372337,Yes,35,0.002160360471575829
IFITM3,0.0025033766998055,Yes,36,0.002222085056477995
GATAD2B,0.0024964730118058,Yes,37,0.0022838096413801616
CCND3,0.0024944212783048,Yes,38,0.002345534226282328
CBLB,0.0024888850573362,Yes,39,0.002407258811184495
PARP8,0.0024578505256978,Yes,40,0.0024689833960866614
LRRTM2,0.0024490119568617,No,41,0.002530707980988828
CELF2,0.0024475295535331,Yes,42,0.002592432565890994
PRKCH,0.0024349617157976,Yes,43,0.002654157150793161
NDUFS3,0.0018656776257568,No,44,0.0027158817356953274
UQCRQ,0.0018631674980752,No,45,0.002777606320597494
NDUFS8,0.0018523643332911,No,46,0.0028393309054996606
UQCRFS1,0.0018403225019207,No,47,0.0029010554904018273
CYC1,0.0017651577036445,No,48,0.0029627800753039934
NDUFV1,0.001735934094844,No,49,0.00302450466020616
NDUFV2,0.0017354668669801,No,50,0.0030862292451083267
