Gene,NP_Score,is_Seed,Rank,P_value
RPS11,0.0034449503781404,Yes,1,6.172458490216653e-05
FAU,0.0033827042007303,Yes,2,0.00012344916980433306
RPS27A,0.0033703794875358,Yes,3,0.0001851737547064996
RPS3,0.0033344532935848,Yes,4,0.0002468983396086661
RPL11,0.0033157139042847,Yes,5,0.0003086229245108327
RPL23A,0.0033057651998335,Yes,6,0.0003703475094129992
RPS16,0.0032741868549545,Yes,7,0.00043207209431516574
RPS2,0.0032653875069916,Yes,8,0.0004937966792173322
RPS15,0.0032328133103683,Yes,9,0.0005555212641194987
RPS19,0.0031903327587985,Yes,10,0.0006172458490216654
RPS5,0.0031701246806083,Yes,11,0.0006789704339238319
RPS28,0.0031480629707162,Yes,12,0.0007406950188259984
RPS14,0.0031420024999904,Yes,13,0.000802419603728165
RPLP0,0.0030987069045752,Yes,14,0.0008641441886303315
RPL13A,0.0030433326347161,Yes,15,0.000925868773532498
RPL3,0.0030397325450596,Yes,16,0.0009875933584346645
RPL18,0.0030226816640581,Yes,17,0.001049317943336831
RPL18A,0.0030112776981231,Yes,18,0.0011110425282389975
CD74,0.0029553795697204,Yes,19,0.001172767113141164
RPS21,0.0029534747284957,Yes,20,0.0012344916980433307
RPL13,0.0029514592485579,Yes,21,0.001296216282945497
RPL38,0.002946058702171,Yes,22,0.0013579408678476637
RPL35A,0.0029410810884017,Yes,23,0.0014196654527498303
RPL34,0.0029358970733165,Yes,24,0.0014813900376519967
RPS29,0.0029275180455126,Yes,25,0.0015431146225541633
RPS27,0.0029088725033214,Yes,26,0.00160483920745633
RPSA,0.0028830969363827,Yes,27,0.0016665637923584963
RPS12,0.0028605880837226,Yes,28,0.001728288377260663
RPL37A,0.0028538320110165,Yes,29,0.0017900129621628296
RPS15A,0.002818563761264,Yes,30,0.001851737547064996
RPL28,0.0027905287120921,Yes,31,0.0019134621319671626
RPL27A,0.0027872285557413,Yes,32,0.001975186716869329
ACTB,0.0026395658597724,Yes,33,0.0020369113017714956
RPL39,0.0026304059655701,Yes,34,0.002098635886673662
RPL36A,0.0026206033765061,Yes,35,0.002160360471575829
RPLP1,0.0025831872227036,Yes,36,0.002222085056477995
