Gene,NP_Score,is_Seed,Rank,P_value
TP53,0.0018500627699752,No,1,6.172458490216653e-05
ARHGAP15,0.0018466473060645,Yes,2,0.00012344916980433306
ZNF407,0.0018466473060645,Yes,3,0.0001851737547064996
FAM172A,0.0018466473060645,Yes,4,0.0002468983396086661
GTDC1,0.0016621246237599,No,5,0.0003086229245108327
ZNF236,0.0016621246237599,No,6,0.0003703475094129992
PLAC8L1,0.0016621246237599,No,7,0.00043207209431516574
CTNNB1,0.0015707551888836,Yes,8,0.0004937966792173322
EGFR,0.0010775624569891,No,9,0.0005555212641194987
HDAC1,0.0010574825868212,No,10,0.0006172458490216654
EP300,0.0010572200793265,No,11,0.0006789704339238319
H3C13,0.0010450735727631,No,12,0.0007406950188259984
RPS27A,0.001035069246183,No,13,0.000802419603728165
H3C12,0.0009999627239932,No,14,0.0008641441886303315
MYC,0.0009863263442712,No,15,0.000925868773532498
H4C6,0.0009337923750075,No,16,0.0009875933584346645
UBC,0.0009324979765723,No,17,0.001049317943336831
UBA52,0.0009271581725217,No,18,0.0011110425282389975
AKT1,0.0009028360894098,No,19,0.001172767113141164
ACTB,0.0008584047291858,No,20,0.0012344916980433307
SRC,0.0008283196335836,No,21,0.001296216282945497
CDC42,0.0008168210200321,No,22,0.0013579408678476637
H3-3B,0.0008108716532886,No,23,0.0014196654527498303
RHOA,0.0008055213718477,No,24,0.0014813900376519967
GSK3B,0.0008049129787342,Yes,25,0.0015431146225541633
BRCA1,0.0007981944511167,No,26,0.00160483920745633
NIPBL,0.0007887140811364,Yes,27,0.0016665637923584963
HSP90AA1,0.0007773852354859,No,28,0.001728288377260663
HDAC2,0.0007304850451616,No,29,0.0017900129621628296
PICALM,0.0007239429766362,Yes,30,0.001851737547064996
SMAD4,0.0007236360176936,Yes,31,0.0019134621319671626
KIAA1109,0.0007194988856913,Yes,32,0.001975186716869329
MAPK8,0.0007188163323873,Yes,33,0.0020369113017714956
PPP1CB,0.0007175849695413,Yes,34,0.002098635886673662
GNAQ,0.0007050672588287,Yes,35,0.002160360471575829
H3-4,0.0007002913556614,No,36,0.002222085056477995
KMT2A,0.0006881969225943,Yes,37,0.0022838096413801616
UBB,0.0006796696647788,No,38,0.002345534226282328
RASA1,0.0006787391465,Yes,39,0.002407258811184495
RUNX1,0.0006753619996706,Yes,40,0.0024689833960866614
HNRNPH1,0.0006739592306866,Yes,41,0.002530707980988828
PAPOLA,0.0006719874615907,Yes,42,0.002592432565890994
DDX39B,0.0006665005147123,Yes,43,0.002654157150793161
CALM3,0.0006615629716841,No,44,0.0027158817356953274
PRKN,0.0006527617963596,Yes,45,0.002777606320597494
POLR2A,0.0006485542686202,No,46,0.0028393309054996606
TNF,0.0006455772445146,No,47,0.0029010554904018273
HSP90AB1,0.0006433344837869,No,48,0.0029627800753039934
MT1E,0.0006380558368749,Yes,49,0.00302450466020616
CDC73,0.0006267199353888,Yes,50,0.0030862292451083267
VTI1A,0.0006258823201148,Yes,51,0.0031479538300104933
FOXO3,0.0006250059283264,Yes,52,0.00320967841491266
TBCK,0.000624986082256,Yes,53,0.003271402999814826
VAPA,0.0006225980237313,Yes,54,0.0033331275847169927
SRSF11,0.0006219133315331,Yes,55,0.0033948521696191593
PTPRC,0.0006149428609608,Yes,56,0.003456576754521326
APP,0.0006133134282601,No,57,0.0035183013394234925
SNX13,0.0006108205880211,Yes,58,0.003580025924325659
C12orf4,0.0006091308650363,No,59,0.0036417505092278253
EPS15,0.0006055062194133,Yes,60,0.003703475094129992
ESR1,0.0006044547927375,No,61,0.0037651996790321585
PTEN,0.0005985561144193,No,62,0.003826924263934325
CCNH,0.0005902136659084,Yes,63,0.0038886488488364917
CALML5,0.0005896579582471,No,64,0.003950373433738658
RAP1A,0.0005873027590084,Yes,65,0.0040120980186408245
CALML3,0.000587232387614,No,66,0.004073822603542991
STAT3,0.0005852616825529,No,67,0.004135547188445158
NR3C1,0.0005831316757237,Yes,68,0.004197271773347324
TSC22D3,0.0005831150463539,Yes,69,0.004258996358249491
SRSF5,0.0005803975014864,Yes,70,0.004320720943151658
SMAD2,0.0005802705110333,No,71,0.004382445528053824
HDAC4,0.0005773195015867,Yes,72,0.00444417011295599
BCL2,0.0005761165971471,No,73,0.0045058946978581566
KDM6A,0.0005758919458282,Yes,74,0.004567619282760323
CDK1,0.0005745945526106,No,75,0.00462934386766249
BRAF,0.0005714107783936,Yes,76,0.004691068452564656
JUN,0.0005697760878387,No,77,0.004752793037466823
H3-5,0.0005676774276609,No,78,0.00481451762236899
OGT,0.0005648365899194,Yes,79,0.004876242207271156
RPTOR,0.0005638342304848,Yes,80,0.004937966792173323
LEO1,0.0005632784030894,No,81,0.0049996913770754894
PLK1,0.0005600748685938,No,82,0.005061415961977656
PRKACA,0.0005598995261664,No,83,0.005123140546879823
SF1,0.0005597090171808,Yes,84,0.005184865131781988
CREBBP,0.0005575203959193,No,85,0.005246589716684155
H3-2,0.0005555549065557,No,86,0.005308314301586322
CALML4,0.0005528415307291,No,87,0.005370038886488488
PPP3CA,0.0005525943790566,Yes,88,0.005431763471390655
ZHX2,0.0005512001364192,Yes,89,0.0054934880562928215
PLCB1,0.0005507987639218,Yes,90,0.005555212641194988
ATR,0.0005506743949216,Yes,91,0.005616937226097155
MT2A,0.0005506654984049,Yes,92,0.005678661810999321
BBOX1,0.0005474633358187,No,93,0.005740386395901488
H2BC21,0.0005471533520089,No,94,0.0058021109808036545
MBNL1,0.0005469419899488,Yes,95,0.00586383556570582
IL6,0.0005467415082651,No,96,0.005925560150607987
CALML6,0.0005461761519513,No,97,0.0059872847355101535
FBXW7,0.0005448741530823,Yes,98,0.00604900932041232
MED1,0.0005443859689582,No,99,0.006110733905314487
PRKACB,0.0005418318715836,No,100,0.006172458490216653
SMARCA2,0.0005416151375615,Yes,101,0.00623418307511882
UBE3A,0.0005409857657664,Yes,102,0.0062959076600209865
RBX1,0.0005387906342165,No,103,0.006357632244923153
EZH2,0.000538759606401,No,104,0.00641935682982532
APOA1,0.0005369835942577,Yes,105,0.006481081414727486
GRB2,0.0005352997552679,No,106,0.006542805999629652
DHRS2,0.0005342979531913,No,107,0.006604530584531819
KRAS,0.000529565444447,No,108,0.006666255169433985
EXOC4,0.0005276619700935,Yes,109,0.006727979754336152
INS,0.0005267120944549,No,110,0.0067897043392383186
H2AZ1,0.0005260131826807,No,111,0.006851428924140485
WDR5,0.0005255745668019,No,112,0.006913153509042652
PRKCE,0.0005247504747837,Yes,113,0.006974878093944818
MAPK3,0.0005231851403384,No,114,0.007036602678846985
HRAS,0.0005231712847417,No,115,0.007098327263749152
PHC3,0.000521187301202,Yes,116,0.007160051848651318
DENND1A,0.0005203320175464,Yes,117,0.007221776433553484
SMC5,0.0005195060423002,Yes,118,0.007283501018455651
PPARG,0.0005183525498012,No,119,0.007345225603357817
RICTOR,0.0005172991335317,Yes,120,0.007406950188259984
CASP3,0.0005163447832558,No,121,0.00746867477316215
ROCK1,0.0005142497708471,Yes,122,0.007530399358064317
HNRNPDL,0.0005133212143019,Yes,123,0.007592123942966484
SMARCA4,0.0005130656847846,No,124,0.00765384852786865
WDR33,0.0005124985780649,Yes,125,0.007715573112770817
KANSL1,0.0005118729980337,Yes,126,0.0077772976976729835
PPP1R12A,0.0005115305268791,Yes,127,0.00783902228257515
LUC7L3,0.0005108436375777,Yes,128,0.007900746867477316
AFF1,0.0005102334966523,Yes,129,0.007962471452379483
ITSN2,0.0005100180275687,Yes,130,0.008024196037281649
DLG1,0.0005099908336373,Yes,131,0.008085920622183817
HDAC8,0.0005081979854824,Yes,132,0.008147645207085982
RAB6A,0.0005071656866307,No,133,0.008209369791988148
SRSF1,0.0005015640916277,No,134,0.008271094376890315
RSRC1,0.0005014205566507,Yes,135,0.008332818961792481
HNRNPA3,0.0005009760885313,Yes,136,0.008394543546694649
MON2,0.0005000241381747,Yes,137,0.008456268131596814
PABPC1,0.0004992924657906,No,138,0.008517992716498982
BAZ2B,0.0004990356793148,Yes,139,0.008579717301401148
CNOT6L,0.0004988033806538,Yes,140,0.008641441886303315
GAPDH,0.0004965225346822,No,141,0.008703166471205481
CCNA2,0.0004953067732658,No,142,0.008764891056107648
SMAD3,0.0004930675862621,No,143,0.008826615641009814
SUMF1,0.0004928567313391,Yes,144,0.00888834022591198
CNOT2,0.0004925412889426,Yes,145,0.008950064810814147
SUCLG2,0.0004919221534962,Yes,146,0.009011789395716313
FN1,0.0004918565110847,No,147,0.00907351398061848
DDX17,0.000491788242827,Yes,148,0.009135238565520646
FTO,0.0004916351939897,Yes,149,0.009196963150422814
FAU,0.0004914192340897,No,150,0.00925868773532498
SMURF1,0.0004902570369352,Yes,151,0.009320412320227147
CAST,0.0004890915499667,Yes,152,0.009382136905129313
DYRK1A,0.0004879110373888,Yes,153,0.00944386149003148
STRN3,0.0004874870908697,Yes,154,0.009505586074933646
SERINC5,0.0004873760470161,Yes,155,0.009567310659835813
PRKAG2,0.0004871688315719,Yes,156,0.00962903524473798
PIKFYVE,0.0004862879427923,Yes,157,0.009690759829640145
KDM1A,0.0004839802985031,No,158,0.009752484414542312
NCOA1,0.0004836809024337,Yes,159,0.009814208999444478
RBL2,0.000480976740145,Yes,160,0.009875933584346646
H3C14,0.0004805879902303,No,161,0.009937658169248811
MAP3K5,0.0004802728644821,Yes,162,0.009999382754150979
CASK,0.0004800443393349,Yes,163,0.010061107339053145
SEC24B,0.000479046874991,Yes,164,0.010122831923955312
RAD51,0.0004789423759136,No,165,0.010184556508857478
EPC1,0.000478277997633,Yes,166,0.010246281093759645
RAB10,0.0004779842737986,No,167,0.010308005678661811
ZNF644,0.0004778463294284,Yes,168,0.010369730263563977
AVL9,0.0004774826700414,Yes,169,0.010431454848466144
TGFBR2,0.0004768141685778,Yes,170,0.01049317943336831
CAMKMT,0.0004762675293804,Yes,171,0.010554904018270478
HMG20A,0.0004753449958363,No,172,0.010616628603172643
TNRC6A,0.0004744048564401,Yes,173,0.01067835318807481
XRN2,0.0004732556972217,Yes,174,0.010740077772976976
MAPK1,0.0004723537614838,No,175,0.010801802357879144
H2AC20,0.0004706745678169,No,176,0.01086352694278131
H3C15,0.0004701340539294,No,177,0.010925251527683477
PRKACG,0.0004688349961924,No,178,0.010986976112585643
BCAS3,0.0004688337585408,Yes,179,0.011048700697487809
STAG2,0.0004686406910275,Yes,180,0.011110425282389976
HSPA4,0.0004680023454541,No,181,0.011172149867292142
ITGA1,0.0004679109787205,Yes,182,0.01123387445219431
CDK2,0.0004672327395346,No,183,0.011295599037096475
ZBTB20,0.0004672063327843,Yes,184,0.011357323621998643
EIF4A3,0.0004656370597415,No,185,0.011419048206900808
PPP2R5C,0.0004651432294351,Yes,186,0.011480772791802976
ACBD6,0.0004647357515543,Yes,187,0.011542497376705142
WWP1,0.0004633270537116,Yes,188,0.011604221961607309
POLR2C,0.0004627503408505,No,189,0.011665946546509475
COMMD10,0.0004626352161014,Yes,190,0.01172767113141164
GPD2,0.0004625337247073,No,191,0.011789395716313808
KAT6A,0.0004615975876977,Yes,192,0.011851120301215974
NFKB1,0.0004598227400735,No,193,0.011912844886118141
ETV6,0.0004597498494046,Yes,194,0.011974569471020307
POLR2B,0.0004588183877256,No,195,0.012036294055922474
CHD8,0.0004587254355234,No,196,0.01209801864082464
CD4,0.0004580601861925,No,197,0.012159743225726808
A2M,0.0004578297974167,Yes,198,0.012221467810628973
SEPTIN7,0.0004575588777918,Yes,199,0.012283192395531141
ZFP36,0.0004568075321366,Yes,200,0.012344916980433307
PDE4D,0.0004566019115137,Yes,201,0.012406641565335472
VPS41,0.0004561609829063,Yes,202,0.01246836615023764
ZEB1,0.0004559125266889,Yes,203,0.012530090735139806
GPHN,0.0004553297356318,Yes,204,0.012591815320041973
MFSD10,0.0004549961800956,No,205,0.012653539904944139
PATJ,0.0004549889623893,Yes,206,0.012715264489846306
COG5,0.0004547335116114,Yes,207,0.012776989074748472
ATM,0.0004546222082796,No,208,0.01283871365965064
H2AC18,0.000454549276628,No,209,0.012900438244552805
EFTUD2,0.000454370338438,No,210,0.012962162829454973
TNKS,0.0004540698272659,Yes,211,0.013023887414357138
UTY,0.0004533460864916,Yes,212,0.013085611999259304
COP1,0.0004526581830136,Yes,213,0.013147336584161472
SKP1,0.0004524643676208,No,214,0.013209061169063637
BABAM2,0.0004521819130031,Yes,215,0.013270785753965805
NSMCE2,0.0004520720664895,Yes,216,0.01333251033886797
PIAS1,0.0004520141005624,Yes,217,0.013394234923770138
PCGF5,0.0004519165939824,Yes,218,0.013455959508672304
AP3B1,0.0004517596221081,Yes,219,0.013517684093574471
SETD5,0.0004504447901008,Yes,220,0.013579408678476637
ZFC3H1,0.00044920279769,No,221,0.013641133263378805
NRIP1,0.0004490545098498,Yes,222,0.01370285784828097
PPP1CC,0.0004486269717181,No,223,0.013764582433183136
DDB1,0.0004482573995827,No,224,0.013826307018085304
SNRPE,0.000447929926307,No,225,0.01388803160298747
NCBP1,0.0004475852883945,No,226,0.013949756187889637
PTP4A1,0.0004474354066218,No,227,0.014011480772791803
CFLAR,0.0004470513206553,Yes,228,0.01407320535769397
H4C2,0.000446676424465,No,229,0.014134929942596136
RCOR3,0.0004461804136954,Yes,230,0.014196654527498303
TCF12,0.0004456009125902,Yes,231,0.014258379112400469
MBP,0.0004454904759863,Yes,232,0.014320103697302636
H4C13,0.0004450720448289,No,233,0.014381828282204802
H4C5,0.0004450628741763,No,234,0.014443552867106968
H4C11,0.0004450628741763,No,235,0.014505277452009135
H4C4,0.0004450628741763,No,236,0.014567002036911301
MTR,0.0004444760964337,Yes,237,0.014628726621813469
WDPCP,0.0004444702550845,Yes,238,0.014690451206715634
PPP2CA,0.0004438123818629,No,239,0.014752175791617802
ELMO1,0.0004437868835966,Yes,240,0.014813900376519968
H4C3,0.000443135113307,No,241,0.014875624961422135
H4C8,0.0004430856213091,No,242,0.0149373495463243
H4-16,0.0004429696982654,No,243,0.014999074131226468
UBE2D2,0.0004427481491595,No,244,0.015060798716128634
TNKS2,0.0004424960416227,Yes,245,0.0151225233010308
FNDC3A,0.0004422029447938,Yes,246,0.015184247885932967
H4C1,0.0004419700213248,No,247,0.015245972470835133
H4C9,0.0004419700213248,No,248,0.0153076970557373
H4C15,0.000441481237064,No,249,0.015369421640639466
EXOC6B,0.0004413489443034,Yes,250,0.015431146225541634
ARID1B,0.000440310479039,Yes,251,0.0154928708104438
H4C12,0.000440033087658,No,252,0.015554595395345967
H4C14,0.000440033087658,No,253,0.015616319980248133
CUL1,0.0004399096901483,No,254,0.0156780445651503
HNRNPC,0.0004398724296733,No,255,0.015739769150052464
DPYD,0.0004395536895954,Yes,256,0.01580149373495463
WDR70,0.0004392949637464,Yes,257,0.0158632183198568
NBAS,0.0004391288607501,Yes,258,0.015924942904758967
ZMYM2,0.0004380883046983,Yes,259,0.01598666748966113
STAT1,0.0004377158399045,No,260,0.016048392074563298
IL1B,0.0004376690515128,No,261,0.016110116659465466
TRAPPC9,0.0004374368678876,Yes,262,0.016171841244367633
BCLAF1,0.0004367111414931,Yes,263,0.016233565829269797
LRCH1,0.0004357724179135,Yes,264,0.016295290414171965
SP100,0.0004353959249709,Yes,265,0.016357014999074132
MED13L,0.0004349629332667,Yes,266,0.016418739583976296
USP15,0.0004346933540066,Yes,267,0.016480464168878464
U2AF2,0.0004340868055699,No,268,0.01654218875378063
RPS6,0.0004336490841697,No,269,0.0166039133386828
SNRPF,0.0004336260865495,No,270,0.016665637923584962
SMYD3,0.0004332387139363,Yes,271,0.01672736250848713
PHF3,0.0004318706260408,Yes,272,0.016789087093389297
EHMT2,0.0004311310669388,No,273,0.016850811678291465
TTC3,0.0004310218859645,Yes,274,0.01691253626319363
SCFD2,0.0004301246764735,Yes,275,0.016974260848095796
ENPP1,0.0004286580342437,No,276,0.017035985432997964
ASAP1,0.0004274961838228,Yes,277,0.017097710017900128
H3C1,0.0004274294079379,No,278,0.017159434602802295
USP24,0.000427298586403,Yes,279,0.017221159187704463
NDUFB7,0.00042686032544,No,280,0.01728288377260663
CREB1,0.000426567180877,No,281,0.017344608357508794
MAPKAP1,0.0004260610434028,Yes,282,0.017406332942410962
RUVBL1,0.0004257709457694,No,283,0.01746805752731313
ZCCHC7,0.0004255283336237,Yes,284,0.017529782112215297
MKLN1,0.0004248576633188,Yes,285,0.01759150669711746
TBC1D5,0.0004247922149309,Yes,286,0.01765323128201963
AAK1,0.0004246332190658,Yes,287,0.017714955866921796
MAN1A2,0.000423758940519,Yes,288,0.01777668045182396
ARHGAP35,0.0004235938673263,Yes,289,0.017838405036726127
TANK,0.0004229379891462,Yes,290,0.017900129621628295
NCBP2,0.0004225877581233,No,291,0.017961854206530462
UBE2I,0.0004220922586601,No,292,0.018023578791432626
POLR2E,0.0004215640396786,No,293,0.018085303376334794
SARAF,0.0004210072314771,Yes,294,0.01814702796123696
RPS18,0.0004207582501382,No,295,0.01820875254613913
USP25,0.0004200189206461,Yes,296,0.018270477131041293
BTRC,0.0004191303122976,No,297,0.01833220171594346
ZBTB16,0.000418921979043,Yes,298,0.018393926300845628
ARHGAP26,0.0004184776002714,Yes,299,0.01845565088574779
CDK13,0.0004183805401521,Yes,300,0.01851737547064996
TIPIN,0.0004183059470802,No,301,0.018579100055552127
HIF1A,0.0004174932285829,No,302,0.018640824640454294
SCAF8,0.0004174281749486,Yes,303,0.018702549225356458
SIRT1,0.0004172950739605,No,304,0.018764273810258626
RAB3GAP2,0.0004170091162579,Yes,305,0.018825998395160793
CDKAL1,0.0004169269934166,Yes,306,0.01888772298006296
STT3B,0.0004163484891725,Yes,307,0.018949447564965125
SOX5,0.0004159845683303,Yes,308,0.019011172149867292
DHX9,0.0004159298955199,No,309,0.01907289673476946
SNRPD2,0.0004158624209901,No,310,0.019134621319671627
ERBB2,0.0004156804809171,No,311,0.01919634590457379
GNB1,0.0004153567348022,No,312,0.01925807048947596
LDLRAD4,0.0004153268636358,Yes,313,0.019319795074378126
PDSS2,0.0004152924023309,Yes,314,0.01938151965928029
MAML2,0.0004150018208123,Yes,315,0.019443244244182457
CD44,0.0004149036692899,No,316,0.019504968829084625
DENND1B,0.000414708050835,Yes,317,0.019566693413986792
FOXP1,0.0004139209081859,Yes,318,0.019628417998888956
VPS13A,0.0004138193859491,Yes,319,0.019690142583791124
CDH1,0.0004136629231363,No,320,0.01975186716869329
FCHSD2,0.0004133613824389,Yes,321,0.01981359175359546
MLLT10,0.0004129358852657,Yes,322,0.019875316338497623
TFAP2A,0.000412854745967,No,323,0.01993704092339979
NCOR1,0.0004113175427774,No,324,0.019998765508301958
KPNA1,0.0004112949366348,Yes,325,0.020060490093204122
CHCHD3,0.0004106309649453,Yes,326,0.02012221467810629
RELA,0.0004104930003496,No,327,0.020183939263008457
ALB,0.0004102029778841,No,328,0.020245663847910624
