Gene,NP_Score,is_Seed,Rank,P_value
MT1X,0.0237839953929325,Yes,1,6.172458490216653e-05
CYP2C9,0.0178579976631548,Yes,2,0.00012344916980433306
SERPINA3,0.0176611269532927,Yes,3,0.0001851737547064996
HRG,0.017526909372555,Yes,4,0.0002468983396086661
MAP4K3,0.0173803259681918,Yes,5,0.0003086229245108327
MCL1,0.0172309363039045,Yes,6,0.0003703475094129992
MT1E,0.011529659660352,No,7,0.00043207209431516574
MT1F,0.009016062903481,No,8,0.0004937966792173322
MT1H,0.009016062903481,No,9,0.0005555212641194987
MT1G,0.0078042423253242,No,10,0.0006172458490216654
MT2A,0.0077879917216513,No,11,0.0006789704339238319
MT1M,0.007065829889198,No,12,0.0007406950188259984
MT1HL1,0.0066688457011148,No,13,0.000802419603728165
GRB2,0.003886196957239,No,14,0.0008641441886303315
ALB,0.0034339018908027,No,15,0.000925868773532498
DBNL,0.0033278056189275,No,16,0.0009875933584346645
DBN1,0.0033242616282935,No,17,0.001049317943336831
SH3GL1,0.0032772835314922,No,18,0.0011110425282389975
MAP3K1,0.0032766686636277,No,19,0.001172767113141164
AHSG,0.0022884493801942,No,20,0.0012344916980433307
A2M,0.0022740287461458,No,21,0.001296216282945497
CP,0.001885791810748,No,22,0.0013579408678476637
APP,0.0017954397760665,No,23,0.0014196654527498303
APOE,0.0017915063265118,No,24,0.0014813900376519967
MT3,0.0017192270516923,No,25,0.0015431146225541633
HP,0.0015809038286475,No,26,0.00160483920745633
TTR,0.0015446081904326,No,27,0.0016665637923584963
F2,0.0015406055008549,No,28,0.001728288377260663
TP53,0.001518494251828,No,29,0.0017900129621628296
APOH,0.0015163066093943,No,30,0.001851737547064996
ORM1,0.0015161021875802,No,31,0.0019134621319671626
APOA1,0.0015069252500428,No,32,0.001975186716869329
CYP3A4,0.0014762828072357,No,33,0.0020369113017714956
CTRB1,0.0014388119525573,No,34,0.002098635886673662
SERPINA1,0.0014337447800663,No,35,0.002160360471575829
FGA,0.0014232927061623,No,36,0.002222085056477995
CTRB2,0.0013787967725265,No,37,0.0022838096413801616
ORM2,0.0013771143836174,No,38,0.002345534226282328
C3,0.0013590230338162,No,39,0.002407258811184495
PLG,0.0013202517344561,No,40,0.0024689833960866614
APOB,0.0012989171252976,No,41,0.002530707980988828
EGFR,0.0012835095397089,No,42,0.002592432565890994
KLK3,0.0012608503593852,No,43,0.002654157150793161
ELANE,0.0012542939961422,No,44,0.0027158817356953274
FGG,0.0012291042532566,No,45,0.002777606320597494
CTSG,0.0012236239338506,No,46,0.0028393309054996606
SERPINC1,0.0012144295580817,No,47,0.0029010554904018273
KNG1,0.0012011466422452,No,48,0.0029627800753039934
CASP3,0.0011755639338891,No,49,0.00302450466020616
KLK2,0.0011684298580145,No,50,0.0030862292451083267
FGB,0.0011636435147925,No,51,0.0031479538300104933
FN1,0.0011572324742218,No,52,0.00320967841491266
BCL2,0.0011236477196543,No,53,0.003271402999814826
VTN,0.0011173657718274,No,54,0.0033331275847169927
CYP2E1,0.0010695641501905,No,55,0.0033948521696191593
AKT1,0.0010656895318253,No,56,0.003456576754521326
GC,0.0010544393394905,No,57,0.0035183013394234925
CYP1A2,0.0010455383571685,No,58,0.003580025924325659
CYP1A1,0.0010266527390402,No,59,0.0036417505092278253
CYP2B6,0.0010179014816354,No,60,0.003703475094129992
CTNNB1,0.0009926702489324,No,61,0.0037651996790321585
ACTB,0.00099085130756,No,62,0.003826924263934325
CYCS,0.0009862449418096,No,63,0.0038886488488364917
SERPIND1,0.0009823323394551,No,64,0.003950373433738658
DNAJC1,0.0009814185409213,No,65,0.0040120980186408245
CXorf40A,0.0009659471169363,No,66,0.004073822603542991
APOD,0.0009587396310478,No,67,0.004135547188445158
CYP2A6,0.0009439900871329,No,68,0.004197271773347324
LPA,0.0009433878611097,No,69,0.004258996358249491
SERPINF2,0.0009373291436898,No,70,0.004320720943151658
IL6,0.0009335895161844,No,71,0.004382445528053824
TNF,0.0009306211615275,No,72,0.00444417011295599
CYP3A5,0.0009248395445946,No,73,0.0045058946978581566
GSR,0.0009039045287504,No,74,0.004567619282760323
CYP2C8,0.0008996059277884,No,75,0.00462934386766249
SRC,0.0008953266177528,No,76,0.004691068452564656
LRG1,0.0008942516433416,No,77,0.004752793037466823
INS,0.0008716404233206,No,78,0.00481451762236899
C1QB,0.0008617671945262,No,79,0.004876242207271156
SLC30A1,0.0008521244280821,No,80,0.004937966792173323
THBS1,0.0008475037782735,No,81,0.0049996913770754894
F10,0.0008469724683901,No,82,0.005061415961977656
APOA5,0.0008388725317396,No,83,0.005123140546879823
LRP2,0.0008386706802763,No,84,0.005184865131781988
CRP,0.0008381749212654,No,85,0.005246589716684155
CYP2D6,0.0008317005861336,No,86,0.005308314301586322
C4A,0.0008289220519742,No,87,0.005370038886488488
AZGP1,0.0008283008778403,No,88,0.005431763471390655
STAT3,0.0008230021590235,No,89,0.0054934880562928215
HSP90AA1,0.000821507381859,No,90,0.005555212641194988
ATP7A,0.0008198117915484,No,91,0.005616937226097155
CPB2,0.0008197563972304,No,92,0.005678661810999321
APOA2,0.0007962570345487,No,93,0.005740386395901488
CYP4A11,0.0007946171173321,No,94,0.0058021109808036545
CYP2C19,0.0007808122622686,No,95,0.00586383556570582
CSTB,0.0007785497303766,No,96,0.005925560150607987
UGT1A6,0.0007781546877601,No,97,0.0059872847355101535
PLAT,0.0007768975709633,No,98,0.00604900932041232
CLU,0.0007756938203554,No,99,0.006110733905314487
BCL2L1,0.000773218844254,No,100,0.006172458490216653
CRYZL1,0.0007706199606164,No,101,0.00623418307511882
ATP7B,0.0007703721014048,No,102,0.0062959076600209865
UGT1A4,0.0007697916595945,No,103,0.006357632244923153
PPIG,0.0007694302142921,No,104,0.00641935682982532
MAPK1,0.0007687216203906,No,105,0.006481081414727486
UGT1A1,0.0007670704079983,No,106,0.006542805999629652
APCS,0.0007656476600838,No,107,0.006604530584531819
UGT1A8,0.0007618233708387,No,108,0.006666255169433985
COX17,0.0007541651988977,No,109,0.006727979754336152
MYC,0.0007528663058637,No,110,0.0067897043392383186
