Gene,NP_Score,is_Seed,Rank,P_value
MT-CO1,0.003484217513187,Yes,1,6.172458490216653e-05
MT-CO2,0.0034665869170896,Yes,2,0.00012344916980433306
MT-CO3,0.0034597263603326,Yes,3,0.0001851737547064996
MT-ND1,0.0034320327761212,Yes,4,0.0002468983396086661
MT-ND4,0.0034236917143926,Yes,5,0.0003086229245108327
JUN,0.0034232697919939,Yes,6,0.0003703475094129992
MT-ND3,0.0034210134958031,Yes,7,0.00043207209431516574
MT-ND2,0.0034126874364893,Yes,8,0.0004937966792173322
HSP90AA1,0.0033857069766969,Yes,9,0.0005555212641194987
MT-ND5,0.0033732063996309,Yes,10,0.0006172458490216654
HSP90AB1,0.0033143387758767,Yes,11,0.0006789704339238319
MT-CYB,0.0033011414889702,Yes,12,0.0007406950188259984
HSPA8,0.0030994683548377,Yes,13,0.000802419603728165
MT-ATP6,0.0030583916059746,Yes,14,0.0008641441886303315
UBC,0.0029976148763984,Yes,15,0.000925868773532498
RHOA,0.0029834731034056,Yes,16,0.0009875933584346645
UBE2H,0.0028852467860853,Yes,17,0.001049317943336831
DUSP1,0.0027751825551532,Yes,18,0.0011110425282389975
MT-ATP8,0.0027741702375783,Yes,19,0.001172767113141164
HSPA1A,0.0026832949732145,Yes,20,0.0012344916980433307
PABPC1,0.0026745741532173,Yes,21,0.001296216282945497
SQSTM1,0.0026330287332313,Yes,22,0.0013579408678476637
PTGES3,0.0026153799610561,Yes,23,0.0014196654527498303
PLCG2,0.002544334251261,Yes,24,0.0014813900376519967
DNAJA1,0.0025301695195131,Yes,25,0.0015431146225541633
PTMA,0.0025204562749324,Yes,26,0.00160483920745633
SAT1,0.0025061562079586,Yes,27,0.0016665637923584963
LITAF,0.00250503306088,Yes,28,0.001728288377260663
MTRNR2L12,0.0024897926444333,Yes,29,0.0017900129621628296
KIF1B,0.002476372914447,Yes,30,0.001851737547064996
AHNAK,0.0024625442476607,Yes,31,0.0019134621319671626
PARD3,0.0024594345771389,Yes,32,0.001975186716869329
JUND,0.0024483799414703,Yes,33,0.0020369113017714956
C5,0.0024471057445029,Yes,34,0.002098635886673662
ASL,0.0024446618746579,Yes,35,0.002160360471575829
SHANK2,0.0024428900276843,Yes,36,0.002222085056477995
CYP8B1,0.0024176161691516,Yes,37,0.0022838096413801616
SLC25A3,0.0024126611845902,Yes,38,0.002345534226282328
KLF6,0.0024052061691926,Yes,39,0.002407258811184495
FAT1,0.0023953863720798,Yes,40,0.0024689833960866614
EIF3A,0.0023946007546259,Yes,41,0.002530707980988828
NUFIP2,0.0023805598670006,Yes,42,0.002592432565890994
IGFBP1,0.0023685478099164,Yes,43,0.002654157150793161
SETBP1,0.0023399531520211,Yes,44,0.0027158817356953274
TP53,0.0019429916825511,No,45,0.002777606320597494
UQCRFS1,0.0013876266852505,No,46,0.0028393309054996606
NDUFS3,0.0013668360270394,No,47,0.0029010554904018273
NDUFS8,0.0013582593789614,No,48,0.0029627800753039934
COX5A,0.0012941610858333,No,49,0.00302450466020616
CYC1,0.0012766935177363,No,50,0.0030862292451083267
NDUFV1,0.0012743807525017,No,51,0.0031479538300104933
NDUFS2,0.0012607907525984,No,52,0.00320967841491266
NDUFV2,0.0012565290077939,No,53,0.003271402999814826
UQCR10,0.0012229947962078,No,54,0.0033331275847169927
NDUFS1,0.0012172747035002,No,55,0.0033948521696191593
NDUFB8,0.0012053343408797,No,56,0.003456576754521326
UQCRQ,0.0012011968714289,No,57,0.0035183013394234925
NDUFA12,0.0011994368305445,No,58,0.003580025924325659
NDUFA5,0.0011994008143272,No,59,0.0036417505092278253
UQCRC2,0.0011955034690212,No,60,0.003703475094129992
COX5B,0.0011897791584567,No,61,0.0037651996790321585
UQCRB,0.0011891623626194,No,62,0.003826924263934325
NDUFS4,0.0011826738508662,No,63,0.0038886488488364917
NDUFA13,0.001177968598097,No,64,0.003950373433738658
NDUFB9,0.001171421149763,No,65,0.0040120980186408245
NDUFA8,0.0011676211221722,No,66,0.004073822603542991
NDUFAB1,0.0011652709814795,No,67,0.004135547188445158
NDUFB7,0.0011611749108159,No,68,0.004197271773347324
NDUFS6,0.0011425021183336,No,69,0.004258996358249491
NDUFA6,0.0011329047951016,No,70,0.004320720943151658
NDUFS7,0.0011285706971215,No,71,0.004382445528053824
COX4I1,0.0011280481607792,No,72,0.00444417011295599
NDUFA2,0.0011120292012222,No,73,0.0045058946978581566
CTNNB1,0.0010926693688824,No,74,0.004567619282760323
NDUFB10,0.0010925018981065,No,75,0.00462934386766249
COX7C,0.0010767281077083,No,76,0.004691068452564656
NDUFB5,0.001064962428182,No,77,0.004752793037466823
UQCRC1,0.0010634290149175,No,78,0.00481451762236899
SDHB,0.0010472577187294,No,79,0.004876242207271156
NDUFA9,0.0010378268261616,No,80,0.004937966792173323
ATP5F1C,0.001023719205181,No,81,0.0049996913770754894
COX6B1,0.0010129232782336,No,82,0.005061415961977656
NDUFB3,0.0010127656266578,No,83,0.005123140546879823
UQCR11,0.0010021230264618,No,84,0.005184865131781988
SDHA,0.0010013344192772,No,85,0.005246589716684155
MT-ND4L,0.0009963045237159,No,86,0.005308314301586322
NDUFB6,0.0009946319074693,No,87,0.005370038886488488
ATP5F1A,0.0009945495835947,No,88,0.005431763471390655
RPS27A,0.0009932675951299,No,89,0.0054934880562928215
UQCRH,0.0009921504903725,No,90,0.005555212641194988
GNB1,0.0009804504873745,No,91,0.005616937226097155
NDUFS5,0.0009733578319858,No,92,0.005678661810999321
NDUFA4,0.0009703958145093,No,93,0.005740386395901488
NDUFB4,0.0009662139029417,No,94,0.0058021109808036545
EGFR,0.0009649697290433,No,95,0.00586383556570582
MT-ND6,0.000964799194344,No,96,0.005925560150607987
NDUFB11,0.0009618215358212,No,97,0.0059872847355101535
COX6A2,0.000941216510979,No,98,0.00604900932041232
AKT1,0.0009299263287541,No,99,0.006110733905314487
NDUFA1,0.0009295601722894,No,100,0.006172458490216653
NDUFA10,0.0009238856986676,No,101,0.00623418307511882
HSPA4,0.0009230541527136,No,102,0.0062959076600209865
ACTB,0.0009164365928148,No,103,0.006357632244923153
NDUFA3,0.0009135896010119,No,104,0.00641935682982532
RPS3,0.0008967080038372,No,105,0.006481081414727486
NDUFC2,0.0008963914938482,No,106,0.006542805999629652
NDUFA7,0.0008907306392645,No,107,0.006604530584531819
COX7B,0.0008734112001176,No,108,0.006666255169433985
NDUFA11,0.0008694681860814,No,109,0.006727979754336152
GNG2,0.0008641750686269,No,110,0.0067897043392383186
COX7A1,0.0008638499554961,No,111,0.006851428924140485
NDUFV3,0.0008543621851159,No,112,0.006913153509042652
EP300,0.0008534392484371,No,113,0.006974878093944818
NDUFB1,0.0008271498698788,No,114,0.007036602678846985
NDUFC1,0.0008267976456829,No,115,0.007098327263749152
ATP5PD,0.0008241172049654,No,116,0.007160051848651318
CYCS,0.0008209173426318,No,117,0.007221776433553484
UBA52,0.0008198464552852,No,118,0.007283501018455651
SRC,0.0008195242374084,No,119,0.007345225603357817
COX6C,0.0008172179627442,No,120,0.007406950188259984
SDHD,0.0008082170609136,No,121,0.00746867477316215
ATP5PO,0.0008019513251982,No,122,0.007530399358064317
NDUFB2,0.0007988469404367,No,123,0.007592123942966484
ATP5F1D,0.0007963183694401,No,124,0.00765384852786865
GNAI2,0.0007898294632467,No,125,0.007715573112770817
SDHC,0.0007800597834286,No,126,0.0077772976976729835
HSPA9,0.0007598835616795,No,127,0.00783902228257515
MTRNR2L8,0.0007587701021971,No,128,0.007900746867477316
PALB2,0.0007532387622468,No,129,0.007962471452379483
UQCRHL,0.000728483124416,No,130,0.008024196037281649
PMPCB,0.0007205390562026,No,131,0.008085920622183817
IL6,0.000719086203044,No,132,0.008147645207085982
MYC,0.0007164049666458,No,133,0.008209369791988148
ATP5F1B,0.0007146360929116,No,134,0.008271094376890315
COX6A1,0.0007102492787174,No,135,0.008332818961792481
RNMT,0.0007075489751536,No,136,0.008394543546694649
COX4I2,0.0006989283557602,No,137,0.008456268131596814
ATF3,0.0006982755617909,No,138,0.008517992716498982
