,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
chr8-8227872-8228698,2.4917388453846397e-42,2.76150563375202,0.154,0.022,1.91432820274365e-37
chr8-143552981-143553934,3.49152039386507e-29,-11.5271774990903,0.0,0.077,2.68243037299471e-24
chr17-36196445-36197223,7.24617061930474e-14,1.6855779282751,0.082,0.026,5.567015501693251e-09
chr19-43668053-43669341,1.02832657862175e-13,0.71566814522913,0.22,0.141,7.9003246055773e-09
chr17-64066623-64067077,1.08103416750777e-13,2.16142882864272,0.054,0.012,8.30526119871196e-09
chr17-36181560-36184106,3.01465422270021e-13,1.2467846155507,0.116,0.049,2.31606839967389e-08
chr8-17026656-17027897,1.07536310843114e-12,-2.59756164784339,0.012,0.078,8.26169215314392e-08
chr6-156719555-156720443,6.6003566657821594e-12,1.22616254010035,0.09,0.041,5.07085601562046e-07
chr17-36210411-36211135,1.8923105696009497e-11,1.50489652221534,0.07,0.025,1.45380544130732e-06
chr4-9151875-9153708,3.31448255256033e-11,0.639024619694256,0.256,0.171,2.54641751065552e-06
chr17-36198979-36199393,3.78947870799125e-11,1.87571871549482,0.053,0.015,2.91134280698844e-06
chr3-52896773-52897806,9.10423709105875e-11,0.786568118686586,0.166,0.099,6.9945122299477e-06
chr2-112692025-112693322,1.04976824633914e-10,1.27055506777213,0.072,0.031,8.06505450614969e-06
chr1-12510371-12511161,1.31793784920413e-10,1.47386523377675,0.064,0.024,1.01253211140806e-05
chr1-151830639-151831042,1.75185664313289e-10,1.35257386033451,0.078,0.032,1.3458989032197e-05
chr6-224936-225762,2.2693849478843e-10,1.33111365986233,0.078,0.032,1.74350037391107e-05
chr10-130300453-130301859,3.03633409612932e-10,1.64571625032064,0.055,0.018,2.33272439603328e-05
chr11-63531178-63531819,3.31815769184164e-10,1.0991177015339,0.086,0.041,2.54924100991117e-05
chr10-49177236-49177805,4.90818798429155e-10,1.2513046754363,0.076,0.032,3.77081358269167e-05
chr3-53044575-53046931,8.616979676358071e-10,0.487379215677477,0.242,0.178,6.62016697595562e-05
