,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
chr16-84013960-84014354,2.76621103815446e-32,4.35724150639726,0.234,0.011,2.12519695428293e-27
chr8-8227872-8228698,3.9973998549833e-29,3.97520433127923,0.24,0.014,3.07108238658802e-24
chr8-144331880-144332130,4.80808478415722e-29,3.7937915080579,0.24,0.018,3.69390729712447e-24
chr1-154870002-154870514,6.07198540455439e-24,3.02273058966023,0.269,0.032,4.664924226757e-19
chr5-110018654-110019359,1.068850003277e-23,4.18289270625778,0.177,0.01,8.21165392017622e-19
chr8-74320478-74321833,1.21845936707404e-23,3.61569328658448,0.206,0.017,9.36105777941975e-19
chr19-7506082-7506822,1.80075941774177e-23,3.40829548878594,0.217,0.021,1.3834694378684699e-18
chr6-5084340-5085398,6.65610308695045e-23,2.34835464642548,0.331,0.066,5.1136843186114295e-18
chr8-141391756-141392222,7.69164982990167e-23,2.78449269786086,0.274,0.041,5.90926381481856e-18
chr1-235649005-235650113,1.47079259607052e-22,3.09965745200643,0.24,0.028,1.1299658277831e-17
chr5-132180964-132181228,1.5919398301906899e-22,7.25937454387048,0.109,0.001,1.2230396133405999e-17
chr8-79073668-79073893,1.5376950995923701e-21,5.7116100388551,0.12,0.002,1.18136501416383e-16
chr22-43103762-43104513,5.40361507713084e-21,4.02177889123207,0.166,0.01,4.15143535530731e-16
chr8-144048991-144049450,8.21340676389677e-21,3.60815592258497,0.189,0.015,6.31011401449897e-16
chr7-157010509-157010869,8.48741826324462e-21,4.81617322279199,0.137,0.005,6.52062882910294e-16
chr7-4883459-4884005,1.7065104311276e-20,4.07226833384117,0.16,0.009,1.3110607689224001e-15
chr8-142475424-142476006,3.26457065654044e-20,2.38249619852919,0.314,0.057,2.50807169830032e-15
chr3-31377120-31377319,5.67225014317211e-20,5.34217315602988,0.12,0.003,4.3578196174948305e-15
chr6-10411998-10413013,5.75743794775234e-20,2.71631697942328,0.251,0.038,4.42326685211969e-15
chr1-227787483-227788804,1.0145735579674301e-19,1.87238881054394,0.394,0.111,7.79466427379639e-15
chr16-49281732-49282551,1.0719666910495999e-19,4.30582221961453,0.143,0.007,8.23559849732676e-15
chr19-1455614-1455993,1.10965502682012e-19,3.37483351751705,0.189,0.018,8.525146674550961e-15
chr8-143289265-143289584,1.76331767517753e-19,3.93743737197667,0.154,0.01,1.35470407030864e-14
chr8-143840574-143841506,4.46261432742744e-19,1.35075483030776,0.537,0.216,3.4284927093326804e-14
chr1-182120597-182121315,6.91637926140563e-19,2.56614224632733,0.257,0.041,5.3136466951601e-14
chr3-185824291-185826069,1.06274363827778e-18,2.56926242016576,0.257,0.042,8.164740549796661e-14
chr3-48663320-48664321,3.35336632536029e-18,2.15279939845143,0.314,0.07,2.57629074678455e-13
chr19-48501569-48502465,3.80842829756341e-18,2.93603064461669,0.206,0.027,2.92590120816904e-13
chr8-69832978-69833452,4.2943857106969595e-18,4.05644746550489,0.143,0.008,3.29924770995715e-13
chr1-197884003-197884361,9.152946165880689e-18,3.40663509864959,0.16,0.016,7.03193395086115e-13
chr19-50657959-50658424,9.26689622463837e-18,3.32351995284642,0.177,0.017,7.11947836250292e-13
chr1-155070776-155071308,2.42583002430306e-17,2.94393780274369,0.206,0.025,1.86369243277131e-12
chr8-143716123-143716387,3.12158801365512e-17,3.4843317310744,0.154,0.014,2.39822242325082e-12
chr7-100965824-100966540,3.15555019284899e-17,2.84601534906091,0.206,0.028,2.42431454666009e-12
chr8-104588320-104589877,3.6474719440835e-17,1.89436729028484,0.343,0.091,2.8022432704810298e-12
chr22-43343233-43343560,7.73764601994739e-17,3.79893392516855,0.137,0.01,5.94460130774498e-12
chr21-10271605-10272550,1.14125714887375e-16,1.86445156302628,0.36,0.093,8.767936297652339e-12
chr1-225694205-225694425,1.59736410200235e-16,2.73858917976324,0.2,0.03,1.22720691864535e-11
chr4-123397401-123399628,1.9447599992646499e-16,2.0189444961987,0.314,0.075,1.49410076463505e-11
chr1-182390869-182392383,2.08054206163879e-16,1.33940808927445,0.503,0.195,1.5984180496952297e-11
chr7-99392740-99393450,2.1370734939667002e-16,2.57245373637243,0.217,0.037,1.6418494532097897e-11
chr1-228058837-228059892,2.45018028213366e-16,2.89999045995287,0.194,0.025,1.8824000053548298e-11
chr1-223364032-223364710,2.65974319305731e-16,4.01629556534869,0.126,0.008,2.0434009029301398e-11
chr1-169744830-169745356,2.80000626775727e-16,3.3653922083866,0.16,0.014,2.1511608153298797e-11
chr8-143430525-143431026,3.1758997029411397e-16,1.72447456487625,0.366,0.109,2.43994846477859e-11
chr1-63773760-63774175,5.16756251412773e-16,3.50526345237807,0.149,0.013,3.97008325272891e-11
chr10-35641811-35642445,5.17385317373741e-16,3.05845085451097,0.166,0.021,3.9749161777872394e-11
chr1-169105566-169106800,5.61950699299127e-16,1.25406188052573,0.526,0.217,4.3172986375054e-11
chr2-47369023-47370097,6.21018777650499e-16,3.46570835032887,0.149,0.013,4.77110096305549e-11
chr17-75720878-75721493,6.474215571261139e-16,2.89920512736548,0.194,0.024,4.9739455969328e-11
chr8-544673-545196,6.53296371794574e-16,4.05942230890861,0.126,0.007,5.0190800355861694e-11
chr3-195747252-195748203,6.58249870949976e-16,3.10438725132008,0.177,0.019,5.0571362835473794e-11
chr22-32801383-32801846,8.719624708337501e-16,2.44961022283126,0.217,0.041,6.69902607467445e-11
chr7-103989739-103990291,1.04953190820412e-15,4.70046895579371,0.103,0.004,8.063238791159819e-11
