"peak","log2FC","pct.1","pct.2","pvalue","padj"
"chr8-8227872-8228698",4.1204570601963,0.152,0.009,2.9161510400167e-18,2.24039135951363e-13
"chr17-36181560-36184106",2.00510880916824,0.156,0.044,9.95503888995675e-11,7.64815772798707e-06
"chr13-109785780-109787306",1.61793770900886,0.147,0.056,4.144561785423e-09,0.000318414248288693
"chr2-213151305-213152395",1.84338837003852,0.118,0.038,5.33480494860917e-09,0.000409857059786796
"chr21-10271605-10272550",1.58997793735558,0.152,0.055,3.22205485810581e-08,0.00247540808583695
"chr17-36210411-36211135",2.28423138836077,0.109,0.024,5.38781956655424e-08,0.00413930013839663
"chr17-36196445-36197223",2.03260818168492,0.109,0.029,6.49658882124351e-08,0.00499113429369675
"chr2-28625169-28625448",2.87438322542074,0.066,0.011,1.01885470976128e-07,0.00782755507868299
"chr5-35816846-35817523",2.27469291576492,0.066,0.015,1.52574426567917e-07,0.0117218354699334
"chr16-17383015-17383448",2.72531932025383,0.062,0.009,1.96682618437038e-07,0.0151105355266623
"chr1-67336900-67337112",2.31454910161722,0.052,0.011,2.97775657752593e-07,0.0228772104581585
"chr5-52725198-52726041",2.65375991276278,0.062,0.011,4.53426144716676e-07,0.0348353704201481
"chr8-143552981-143553934",-11.6807767992793,0,0.093,4.8731151392549e-07,0.0374386816803536
"chr5-35854137-35854668",2.39261804987745,0.076,0.016,5.45176906487858e-07,0.0418843061947427
"chr10-130300453-130301859",2.32073400085889,0.071,0.015,6.39062044423497e-07,0.049097219686924
"chr5-35856612-35857020",2.33089518336364,0.062,0.015,1.08116208455313e-06,0.0830624394699636
"chr17-36188760-36189243",1.72264059004297,0.109,0.037,1.22931965070387e-06,0.0944449408046263
"chr3-53044575-53046931",0.771979363317008,0.275,0.174,1.60729986108194e-06,0.123484026427342
"chr19-12064407-12065291",1.88785768948715,0.085,0.026,2.31375878735893e-06,0.177759146356425
"chr1-178724685-178726528",1.68012906726131,0.071,0.025,2.52169324199822e-06,0.193734126702997
"chr6-158644007-158645144",0.817419686831082,0.223,0.136,3.48781130978047e-06,0.267958079496504
"chr17-36198979-36199393",2.4903323409115,0.062,0.013,4.29454674710912e-06,0.329937142940152
"chr14-91244476-91245231",1.65285203731949,0.09,0.03,5.22468798734654e-06,0.401397104003873
"chrX-136146733-136147755",2.26687242122095,0.066,0.015,6.67072187434069e-06,0.512491549439972
"chr13-18211596-18212527",1.54236100995429,0.118,0.044,6.97148327155047e-06,0.535598145303408
"chr4-15400779-15401287",2.42091573630752,0.052,0.011,7.72029960418144e-06,0.593127457690448
"chr19-53196746-53197211",1.48403562132379,0.081,0.032,8.77408166130071e-06,0.67408637179275
"chr5-132227329-132228086",1.73833606084169,0.076,0.025,9.1385838901056e-06,0.702089984525143
"chr5-73387041-73388248",2.1557350960528,0.066,0.016,1.12983389209801e-05,0.868017484282136
"chr21-45590280-45591255",1.61640901110899,0.076,0.028,1.35613723829797e-05,1
"chr5-157172240-157172810",2.13656955002213,0.057,0.015,1.39440943294419e-05,1
"chr2-74833669-74834207",1.94706653746551,0.066,0.021,1.40379016888044e-05,1
"chr1-7704009-7705629",1.31304511444054,0.133,0.058,1.46440703486895e-05,1
"chr12-92030033-92031128",1.24512480557899,0.123,0.056,1.57904146524254e-05,1
"chr8-27361671-27362656",1.07805341411244,0.147,0.075,1.59339521621981e-05,1
"chr19-44747174-44748883",0.712453158400671,0.223,0.148,1.67537537173715e-05,1
"chr10-72320720-72320969",1.84101378233427,0.066,0.019,1.75278627439806e-05,1
"chr14-104795115-104795890",0.956871944774188,0.156,0.087,2.01543914421348e-05,1
"chr20-33370255-33370753",2.02720592993657,0.066,0.018,2.29815897257546e-05,1
"chr2-241881167-241882390",0.962218800844136,0.209,0.113,2.43955343231342e-05,1
"chr8-141391756-141392222",1.63844449897484,0.1,0.034,2.55942560340918e-05,1
"chr10-5291588-5292646",1.63948294739687,0.076,0.028,2.58862289691582e-05,1
"chr10-43229137-43229924",1.12916301760433,0.109,0.055,2.78539498214006e-05,1
"chr17-36192427-36192659",2.12246071675967,0.062,0.015,2.82794092897112e-05,1
"chr2-96869706-96870373",1.14713163014516,0.109,0.052,2.83967360939722e-05,1
"chr16-15154349-15155122",1.22732631288315,0.128,0.06,3.20939760746403e-05,1
"chr17-36211794-36212452",2.10618761043939,0.057,0.014,3.35540432444463e-05,1
"chr8-142614377-142614782",1.92589693537698,0.071,0.02,3.43892390705976e-05,1
"chr22-20867151-20867695",1.89713620797532,0.057,0.016,4.09672076212871e-05,1
"chr14-104864434-104865376",1.75437641454634,0.057,0.019,4.12069130449568e-05,1
"chr12-132908114-132909257",1.04688422075521,0.152,0.083,4.32712728382321e-05,1
"chr8-29555111-29555906",1.94317588583067,0.066,0.019,4.72224787491565e-05,1
"chr22-46737413-46738597",0.957490126651926,0.147,0.083,4.79546843714328e-05,1
"chr9-120928373-120929320",0.925069514194751,0.142,0.081,4.94492456405408e-05,1
"chr7-76379674-76380423",0.765217460070404,0.213,0.138,5.47307500712284e-05,1
"chr10-32957380-32958808",0.678757247640156,0.199,0.134,5.94163241602099e-05,1
"chr16-66695937-66697392",0.702681724435501,0.199,0.132,6.06944507776324e-05,1
"chr1-67307097-67308451",1.44801461403737,0.081,0.033,6.07040263382396e-05,1
"chr2-195649857-195650716",-4.05209409358447,0.005,0.072,6.21108499241828e-05,1
"chr11-6745555-6746856",1.18185101712539,0.1,0.046,6.81161819567391e-05,1
"chr9-127778612-127779578",0.938566204496778,0.104,0.06,7.00367837384237e-05,1
"chr19-4327282-4328894",0.802302242892292,0.204,0.126,8.0348388192153e-05,1
"chr9-35731707-35732813",0.572985521635384,0.27,0.195,8.70421688403641e-05,1
"chr6-53358745-53359995",0.585593083537516,0.218,0.161,9.20326913477056e-05,1
"chr5-80960034-80961241",1.60659672304039,0.052,0.019,9.32807279178776e-05,1
"chr22-46576480-46577547",0.721767385620102,0.19,0.129,0.000100196172628563,1
"chr21-42218764-42220613",0.951118183486324,0.114,0.065,0.00010283036360064,1
"chr2-74001891-74002835",0.776415020272979,0.161,0.104,0.000102955609909055,1
"chr5-146765076-146765835",1.53685894814534,0.066,0.025,0.000103361161209589,1
"chr6-156719555-156720443",1.1762034185719,0.09,0.043,0.000110891675512594,1
"chr19-39335157-39336320",0.992753181093008,0.114,0.06,0.000111900499190624,1
"chr8-20303427-20304161",1.8977477939022,0.066,0.019,0.000112351171992707,1
"chr12-53046696-53047694",0.705043175588698,0.175,0.121,0.000112551711154508,1
"chr17-47706577-47706941",1.45760764537062,0.081,0.031,0.000114802733138136,1
"chr15-22262514-22262906",1.70650520809285,0.057,0.021,0.000116462094294965,1
"chr17-36212987-36213380",1.94590463673237,0.052,0.015,0.000122254519018825,1
"chr19-35003067-35003625",1.2949947988646,0.062,0.027,0.000123513160189838,1
"chr2-214808802-214810263",0.450516921473145,0.346,0.267,0.000124900141121985,1
"chr12-55715658-55716686",0.752841279527194,0.147,0.095,0.00012706275376199,1
"chr22-35540015-35540920",1.26365145962696,0.09,0.04,0.000136928766285796,1
"chr8-143025955-143026665",1.07753826312615,0.123,0.063,0.000138021644128682,1
"chr20-50146684-50147202",1.35751597787645,0.085,0.037,0.000142649056609016,1
"chr7-44257608-44258462",1.11582215467794,0.114,0.057,0.000144299666511482,1
"chr6-142857333-142858359",1.62248242116201,0.071,0.025,0.000154173789770926,1
"chr17-38967047-38967807",1.51423649394857,0.066,0.026,0.000155393043705701,1
"chr2-169107412-169108626",1.65521227810834,0.081,0.027,0.000156237638610365,1
"chr5-132963079-132964121",0.580514986068074,0.223,0.167,0.000164183583787428,1
"chr6-157764207-157764833",1.04735504093554,0.081,0.046,0.000167867380399191,1
"chr13-48531644-48532051",1.98233374308005,0.052,0.013,0.000169280737337732,1
"chr16-87956248-87956735",1.74881259184882,0.052,0.017,0.000175342505616521,1
"chr12-93378217-93378871",1.2344788694662,0.085,0.039,0.000175792194418692,1
"chr12-53220865-53221860",0.640058138667529,0.18,0.132,0.000177637518151546,1
"chr20-63941328-63941900",1.49449924233063,0.057,0.022,0.000179016335348636,1
"chr19-10430433-10430981",1.24505848462171,0.081,0.037,0.000180798444546671,1
"chr3-13015323-13016593",0.734731241012854,0.18,0.118,0.000181897979059366,1
"chr4-186201634-186202137",1.71826757274895,0.066,0.023,0.000189761477872897,1
"chr19-1040734-1041219",1.29224876212572,0.09,0.041,0.000190092529754043,1
"chr5-178113236-178113657",1.63982834594551,0.062,0.022,0.000199069323917403,1
"chr19-10460906-10461642",1.16811870501131,0.09,0.044,0.000208077784931114,1
"chr5-96661897-96663380",0.564026972046217,0.261,0.193,0.000210788678247782,1
"chr9-136316198-136317079",-3.55398941247674,0.005,0.06,0.000211180476357178,1
"chr19-48480145-48481137",-3.52766558540907,0.005,0.058,0.000214805624108785,1
"chr9-62837978-62838664",-1.25124466979564,0.09,0.228,0.000221726500190432,1
"chr14-61750750-61751421",1.04614086500746,0.118,0.064,0.000225879375309611,1
"chr4-38529142-38530134",1.11420782724249,0.085,0.043,0.000233511016391541,1
"chr21-32411455-32413187",0.794975058254006,0.175,0.11,0.000235388129622939,1
"chr7-131327046-131328424",0.73234031534805,0.166,0.107,0.000239691992177804,1
"chr1-154431481-154431884",-2.91600819257812,0.009,0.077,0.00024375951391876,1
"chr10-43606091-43606895",1.16041696239718,0.09,0.043,0.000250498165967636,1
"chr13-112968404-112969557",1.70543842102931,0.052,0.017,0.00025510066865736,1
"chrX-65697908-65698747",1.19230019018342,0.076,0.034,0.000264360069667763,1
"chr8-66490202-66491437",1.00376069867664,0.118,0.065,0.000271585818914256,1
"chr5-180291503-180293784",0.477486621586081,0.289,0.223,0.000272943300372849,1
"chr2-240624841-240625453",1.57289607375624,0.071,0.025,0.000287309619784299,1
"chr22-50270030-50270664",1.10461048211222,0.081,0.04,0.000293330362635133,1
"chr3-45915041-45916298",1.08479787346637,0.095,0.046,0.000295827067612271,1
"chr19-679724-681497",0.426807513524861,0.313,0.249,0.000303395061207427,1
"chr19-40609598-40610216",0.799114348435445,0.133,0.081,0.000305501485780306,1
"chr4-15777910-15779186",0.975411323577819,0.104,0.058,0.000305811750697468,1
"chr16-84504184-84505084",0.695794107931899,0.19,0.126,0.000309496232759237,1
"chr8-41489785-41491107",0.552807750285295,0.261,0.186,0.000310005846610652,1
"chr17-82126503-82127395",1.72974590666955,0.057,0.019,0.000311654215205765,1
"chr10-61986793-61987241",2.0471957345274,0.052,0.013,0.000313884947043721,1
"chr3-101848914-101850160",0.515868169062964,0.227,0.168,0.000314643571932548,1
"chr14-52313934-52315679",0.571603092414934,0.213,0.165,0.000336954068466462,1
"chr1-28926597-28927189",1.24805931968968,0.076,0.034,0.000337485660980967,1
"chr19-13172204-13172815",1.63625481820884,0.062,0.021,0.000354851366467427,1
"chr4-145936081-145937839",0.804971404418144,0.161,0.1,0.000362236312716749,1
"chr1-38046171-38047557",0.816711286402889,0.147,0.089,0.000380384957395353,1
"chr6-31592523-31593293",1.13330450166824,0.09,0.044,0.000383254858238118,1
"chr1-12152992-12153620",0.84724841709631,0.1,0.06,0.000385243573029419,1
"chr3-114214978-114215340",0.922601350012719,0.1,0.057,0.000387929719417687,1
"chr1-241639518-241640743",0.63060783456189,0.213,0.146,0.000391082107546979,1
"chr3-53160624-53161466",0.720817363883525,0.142,0.093,0.000391140430413383,1
"chr21-42227773-42228685",0.809006182826545,0.128,0.079,0.000392224464226434,1
"chr1-31937376-31938822",0.377168003960541,0.256,0.216,0.000392562029517981,1
"chr1-147647880-147648732",1.67115460316529,0.057,0.019,0.000395613461797609,1
"chr8-141238581-141239633",1.15006953766147,0.081,0.039,0.000396974017995834,1
"chr21-10325534-10325892",1.53339522232022,0.066,0.024,0.000408632863717428,1
"chr1-175022575-175024078",-1.6273484551431,0.043,0.136,0.000426510465147354,1
"chr8-144684746-144686145",1.12644308696229,0.066,0.036,0.000446691357165206,1
"chr6-45421579-45423868",0.908039984286523,0.133,0.073,0.000458179147613333,1
"chr4-121153687-121154492",1.42686582884243,0.062,0.023,0.000461388580870437,1
"chr3-15291965-15292537",1.19264240416919,0.09,0.043,0.000467494537435942,1
"chr10-101042535-101043288",0.815286026839312,0.1,0.062,0.000469593028493851,1
"chr15-90838016-90838712",1.74360138162927,0.057,0.018,0.000471523553854278,1
"chr9-136885922-136887321",0.48779902035635,0.256,0.191,0.000476242139207355,1
"chr16-88686037-88686800",0.820455573399678,0.171,0.104,0.000479674078733251,1
"chr8-143430525-143431026",1.00987386415263,0.052,0.031,0.000506600277855878,1
"chr3-50154494-50155313",1.07267813893418,0.095,0.048,0.000507712932439212,1
"chr15-77021701-77022349",1.25713392265779,0.085,0.038,0.000510881689390126,1
"chr16-87856032-87856473",1.3419745934032,0.062,0.026,0.000514760553556868,1
"chr15-75450383-75452302",0.317354742219961,0.374,0.33,0.00051674584311824,1
"chr13-30376419-30377229",1.12218337179422,0.085,0.043,0.000525089157918364,1
"chr7-583330-584479",1.50394384869604,0.062,0.023,0.000526082054175458,1
"chr3-153162949-153163223",1.33610164142489,0.052,0.023,0.000526693242422323,1
"chr17-76715861-76716544",-2.02693096188089,0.024,0.103,0.000529409313832284,1
"chr8-66774448-66775779",0.671569671425675,0.223,0.154,0.000533200393760715,1
"chr11-313396-314584",0.771054722047606,0.118,0.076,0.000535152616288752,1
"chr2-25276514-25277503",0.82300541879043,0.123,0.076,0.000536554123314564,1
"chr4-174521798-174522920",1.50060894180523,0.052,0.019,0.000542064814256756,1
"chr15-31327830-31328343",0.756215284581996,0.142,0.089,0.000553321569038056,1
"chr5-132026364-132027376",1.16938076646055,0.076,0.034,0.000572866056278093,1
"chr7-4792100-4792617",1.42503023690352,0.057,0.024,0.00058580167252906,1
"chr6-113969905-113971592",0.512850888313766,0.19,0.144,0.00059138796112048,1
"chr22-46734969-46735384",1.6529691945085,0.052,0.018,0.000591720974461593,1
"chr1-232629294-232630912",0.974370520664908,0.104,0.057,0.000599150826930259,1
"chr14-91417357-91418313",0.595027343739484,0.152,0.111,0.000601200185035231,1
"chr12-121132518-121133441",0.864176999073265,0.076,0.044,0.000604481598853223,1
"chr1-40818243-40818950",1.2801611429635,0.081,0.036,0.00060960017014064,1
"chr19-3801283-3801728",1.78897309545572,0.057,0.017,0.000616513039373882,1
"chr19-37172351-37173028",-1.90426151119258,0.028,0.113,0.000617925686976245,1
"chr2-237603489-237604157",0.953081674787348,0.095,0.056,0.000619409289917532,1
"chr16-89114877-89115774",1.06045154502882,0.09,0.048,0.000629721609057239,1
"chr2-180359407-180360711",-3.73808830258698,0.005,0.058,0.000633931106266894,1
"chr8-22694410-22695879",0.674757839436001,0.161,0.105,0.000648417531593569,1
"chr14-24694654-24695761",1.05263324759144,0.1,0.051,0.0006496546041661,1
"chr5-149960227-149961180",0.590785899134316,0.209,0.152,0.000649661952687806,1
"chrX-40097201-40098740",0.650761350235156,0.133,0.085,0.000652876981098458,1
"chr7-36152295-36153755",0.537139252309091,0.289,0.215,0.000703857036443801,1
"chr19-50357094-50359048",-1.66503095201606,0.057,0.18,0.000719472489076541,1
"chr22-21766774-21767595",0.741964825021704,0.128,0.085,0.000755037406919603,1
"chr14-76768039-76768811",1.42593001727548,0.062,0.024,0.000756878407876697,1
"chr12-108629820-108630129",1.19670233447744,0.076,0.036,0.000758625777125276,1
"chr3-130110763-130112720",0.389088803016367,0.28,0.234,0.000759701332035198,1
"chr12-68175458-68176198",1.28310268654999,0.076,0.034,0.00075985499242137,1
"chr16-89246892-89247842",0.720904178334859,0.171,0.113,0.000765974282856752,1
"chr16-694979-695916",1.5904812015549,0.057,0.023,0.00077540536201397,1
"chr2-46296593-46297994",0.670568107437409,0.152,0.107,0.000808557824546374,1
"chr22-44026678-44027322",0.959320057866805,0.095,0.05,0.000836339822117846,1
"chr11-129894654-129896010",0.604186042972649,0.175,0.125,0.000858470677285351,1
"chr19-6515926-6517224",0.61197669729192,0.171,0.12,0.000861624878552093,1
"chr15-31360976-31361745",0.730215509011434,0.1,0.064,0.000862957267660732,1
"chr20-36460652-36461918",0.525541016142414,0.256,0.191,0.000878790294208332,1
"chr3-196192102-196192881",1.7216542988166,0.052,0.017,0.000880700344612781,1
"chr12-62602213-62603928",0.433747223760207,0.265,0.212,0.000887618894828629,1
"chr7-116210241-116211631",0.517448573111038,0.19,0.142,0.000898889855714426,1
"chr16-46830210-46831669",0.42169953521637,0.246,0.191,0.00089916323102489,1
"chr6-106520717-106521174",0.876350796883399,0.118,0.067,0.000902605617311668,1
"chr9-89604707-89606391",0.983181178916272,0.09,0.048,0.000902839122522647,1
"chr9-93028416-93028743",1.32915787486468,0.062,0.026,0.000903068852439646,1
"chr17-19111069-19111361",1.46045826452607,0.057,0.023,0.00090501954782451,1
"chr14-52790912-52792162",0.568644443991307,0.218,0.159,0.000934814081523379,1
"chr16-53129997-53131982",0.390008308434395,0.308,0.254,0.000944396948301225,1
"chr2-231425481-231426510",-2.76986415032647,0.009,0.066,0.000963059628315188,1
"chr5-31638660-31639399",1.80721979392823,0.057,0.017,0.000973513115346311,1
"chr4-88522859-88524102",0.835563047841241,0.133,0.081,0.000988615482849089,1
"chr1-89278663-89279475",1.05702696531515,0.071,0.038,0.00100514351117202,1
"chr3-126357126-126357688",1.05663800875993,0.076,0.039,0.00100865817502111,1
"chr3-52896773-52897806",0.69630324470219,0.171,0.113,0.00101550537704978,1
"chr19-15223099-15223750",1.30768922808138,0.071,0.03,0.00102514272416961,1
"chr1-193479082-193479624",1.21520607854873,0.062,0.028,0.00103094965519577,1
"chr4-110055302-110055768",1.28467339175077,0.057,0.026,0.00103730342016016,1
"chr3-172153025-172153787",1.68241861131261,0.052,0.017,0.00104337636221695,1
"chr15-67150059-67150714",1.65839023074216,0.052,0.017,0.0010445314828262,1
"chr3-50226918-50227842",0.539761577906709,0.185,0.138,0.00104742120145625,1
"chr4-118278126-118279195",0.507683048134078,0.18,0.138,0.00105420451025431,1
"chr3-183447211-183448034",1.06673802771309,0.085,0.046,0.00107082727228611,1
"chr3-119637859-119639270",1.4739813208453,0.052,0.02,0.00107357668312157,1
"chr14-98209800-98210714",1.19831548883747,0.066,0.032,0.00111520230924245,1
"chr14-49620102-49621661",0.472412139255319,0.232,0.179,0.00114045454324947,1
"chr5-131281123-131281444",1.35533970533058,0.066,0.028,0.0011419727601509,1
"chr5-39209700-39210437",0.910418353767482,0.071,0.041,0.00115711776622398,1
"chrX-37846911-37847889",1.0256396742863,0.104,0.056,0.00116203207193257,1
"chr3-132721609-132723211",0.388928713748588,0.313,0.255,0.00118191651259056,1
"chr11-568048-569028",0.485561180858184,0.223,0.17,0.00119004882571101,1
"chr9-137302081-137302674",0.896765768858471,0.104,0.062,0.00121765566057383,1
"chr15-28095986-28096463",1.53108417842618,0.071,0.026,0.0012192758592039,1
"chr17-3963298-3965437",0.548437304059975,0.204,0.147,0.00127718834246425,1
"chr19-16896680-16897862",0.701198927285734,0.123,0.087,0.00127729905757719,1
"chr5-132019944-132020756",1.23849793566366,0.076,0.034,0.00129469898629238,1
"chr20-25863185-25863465",-3.29162638299827,0.005,0.054,0.00130665485809887,1
"chr12-124456750-124457096",1.20309803453436,0.066,0.031,0.00131604189841491,1
"chr6-27892774-27893868",0.510949996198518,0.166,0.128,0.00131819012177516,1
"chr9-75890242-75891065",1.387860680357,0.052,0.023,0.00131851280401696,1
"chr14-91063038-91063441",1.2892220083082,0.062,0.027,0.00132740535468609,1
"chr11-33038895-33040786",0.454902355745371,0.199,0.159,0.00133172021644959,1
"chr17-45228969-45229475",0.955529853112005,0.1,0.056,0.00133581428441838,1
"chr20-37014516-37015568",1.17053234396972,0.062,0.03,0.00135651018671996,1
"chr1-39196904-39197179",1.16210566817301,0.052,0.026,0.00136466145029877,1
"chr10-119103709-119104808",0.666360496425877,0.171,0.118,0.00136779782894015,1
"chr5-142223372-142224059",1.27245235398312,0.057,0.028,0.00137181209698249,1
"chr6-36912064-36912956",1.07554007903568,0.071,0.035,0.00137734328133054,1
"chr5-163437030-163438130",0.517948089274989,0.199,0.152,0.00138201052368509,1
"chr3-99875713-99876471",1.34460336122677,0.052,0.021,0.0013872015908868,1
"chr1-21439714-21440457",-2.03701159294536,0.024,0.101,0.00139579591778948,1
"chr12-65926239-65927055",1.1678856974983,0.076,0.035,0.00140142594392973,1
"chr11-64247298-64247589",1.02099477688349,0.062,0.034,0.00145392370544326,1
"chr6-16128512-16130056",0.393049071611489,0.227,0.185,0.00146829768369912,1
"chr5-68433918-68434782",0.707495808556513,0.123,0.083,0.00147403707119656,1
"chr5-142432322-142433333",1.06419171671851,0.085,0.042,0.00149888734561199,1
"chr9-98101539-98102346",0.716728017768436,0.133,0.089,0.00151836696895101,1
"chr15-58614653-58615422",-2.40069695179471,0.014,0.073,0.00152265737264344,1
"chr9-121369432-121370688",0.477078765015669,0.213,0.161,0.00155678398836562,1
"chr10-132570781-132572428",1.36064153326865,0.052,0.023,0.00155714983213646,1
"chr6-142944268-142946685",0.435588456508001,0.256,0.208,0.00156403428807622,1
"chr1-10494616-10495601",-2.47287654099133,0.014,0.081,0.00157236242125412,1
"chr5-139458716-139459307",1.02839079324088,0.076,0.041,0.00160157563185429,1
"chr2-190880109-190882345",0.352013785407351,0.289,0.25,0.00160385933100006,1
"chr8-104588320-104589877",1.02325025878787,0.066,0.036,0.00160826550499462,1
"chr19-14089688-14091904",0.383640828933048,0.19,0.158,0.0016209056668775,1
"chr9-33446397-33447845",0.857600065766434,0.123,0.071,0.00162280996775198,1
"chr22-46069692-46072339",0.719114839664145,0.118,0.081,0.00162744760983586,1
"chr21-34046922-34047394",1.34077734109249,0.052,0.021,0.00162904816889751,1
"chr14-24680530-24681251",0.952474270835749,0.095,0.052,0.0016321721598974,1
"chr1-155933718-155934749",-1.68525769978815,0.033,0.116,0.00165571275860222,1
"chr17-28925666-28926586",0.852470556351859,0.109,0.067,0.00165760881719789,1
"chr16-53098698-53100144",0.76671579443784,0.123,0.079,0.00167121340920066,1
"chr7-102425514-102426969",0.787781745780171,0.114,0.073,0.0016740729664191,1
"chr5-5494459-5495193",0.867334623328631,0.062,0.037,0.0016822488203421,1
"chr17-68291097-68292399",0.388830303387041,0.246,0.202,0.00168671044925977,1
"chr6-39228990-39229714",1.21590514204805,0.066,0.033,0.00169635897991273,1
"chr6-107736061-107737597",1.01233780375575,0.081,0.044,0.00169642977214992,1
"chr18-2980350-2980782",1.25458730147702,0.057,0.026,0.00172227838718057,1
"chr13-24160126-24161412",-2.11514168098317,0.019,0.095,0.00172764015796401,1
"chr7-150514480-150515245",1.0056069303638,0.066,0.037,0.00172918203388693,1
"chr19-46600377-46601505",-1.15226325843894,0.095,0.224,0.0017296883575274,1
"chr12-46268358-46270094",0.444064228001416,0.166,0.126,0.00177149103856133,1
"chr12-64609621-64611314",0.503750408930152,0.209,0.158,0.00178947804936334,1
"chr7-2529018-2531290",0.500302715517444,0.185,0.14,0.00180406652373577,1
"chr1-51517987-51519537",0.53566017590294,0.18,0.132,0.0018065380816324,1
"chr13-31846308-31847152",0.816150596753064,0.123,0.077,0.00180656624234537,1
"chr9-96149665-96150805",0.90347221093338,0.081,0.048,0.00182466366871568,1
"chr7-36724096-36724662",0.757612860270408,0.114,0.072,0.00183830445439595,1
"chr11-3421812-3423431",0.500243056183935,0.242,0.19,0.00185754625682564,1
"chr19-58346981-58347931",0.935834401463026,0.076,0.042,0.00187122333138653,1
"chr22-19891584-19892176",1.43275443066079,0.052,0.019,0.00187491808536036,1
"chr22-26589262-26590391",0.616159913918317,0.18,0.122,0.0018749890059919,1
"chr14-91253189-91253781",0.736082498360675,0.09,0.058,0.0018761957561145,1
"chr5-98927245-98927500",1.04351147490649,0.057,0.028,0.00189194096108114,1
"chr8-127735002-127735759",1.12129759887896,0.071,0.035,0.00189233249177093,1
"chr15-70258567-70259314",1.0075392396587,0.066,0.036,0.00189859675421628,1
"chr16-30893774-30894531",0.5862520586389,0.147,0.107,0.00189928071310391,1
