"peak","motif_id","tf_name","avg_log2FC","p_val_adj","gene","score","zscore","pvalue"
"chr1-229253076-229253877","MA1959.1","KLF7",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0481.3","FOXP1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1587.1","ZNF135",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0793.1","POU6F2",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0473.3","ELF1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1954.1","FOXO1::ELK1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1549.1","POU6F1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1513.1","KLF15",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0107.1","RELA",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1949.1","FLI1::DRGX",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0852.2","FOXK1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0153.2","HNF1B",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0476.1","FOS",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1928.1","BNC2",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0076.2","ELK4",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0018.4","CREB1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1123.2","TWIST1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1955.1","FOXO1::ELK3",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0792.1","POU5F1B",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0641.1","ELF4",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0761.2","ETV1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0041.2","FOXD3",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1152.1","SOX15",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1553.1","RARG",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0835.2","BATF3",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1656.1","ZNF449",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1141.1","FOS::JUND",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1944.1","ETV5::DRGX",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1683.1","FOXA3",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0868.2","SOX8",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1981.1","ZNF530",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0847.3","FOXD2",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1940.1","ETV2::DRGX",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1642.1","NEUROG2",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1555.1","RXRB",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0137.3","STAT1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1633.2","BACH1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0099.3","FOS::JUN",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0490.2","JUNB",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0742.2","KLF12",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0645.1","ETV6",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0674.1","NKX6-1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1720.1","ZNF85",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1121.1","TEAD2",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1942.1","ETV2::FOXI1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0475.2","FLI1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0507.2","POU2F2",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0867.2","SOX4",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0062.3","GABPA",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1970.1","TRPS1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1104.2","GATA6",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0081.2","SPIB",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1494.1","HNF4A",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1723.1","PRDM9",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1652.1","ZKSCAN5",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0032.2","FOXC1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0640.2","ELF3",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0627.2","POU2F3",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1485.1","FERD3L",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0760.1","ERF",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0675.1","NKX6-2",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0477.2","FOSL1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0813.1","TFAP2B",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1479.1","DMRTC2",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1550.1","PPARD",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1556.1","RXRG",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1564.1","SP9",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0493.2","KLF1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1950.1","FLI1::FOXI1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0846.1","FOXC2",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0599.1","KLF5",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1128.1","FOSL1::JUN",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0653.1","IRF9",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0809.2","TEAD4",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0077.1","SOX9",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0442.2","SOX10",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1953.1","FOXO1::ELF1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1957.1","HOXB2::ELK1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1125.1","ZNF384",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1935.1","ERF::FOXI1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1974.1","ZNF211",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0685.2","SP4",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0462.2","BATF::JUN",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0070.1","PBX1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1124.1","ZNF24",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0047.3","FOXA2",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1952.1","FOXJ2::ELF1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0598.3","EHF",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0698.1","ZBTB18",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0046.2","HNF1A",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0785.1","POU2F1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1630.2","ZNF281",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0098.3","ETS1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0516.3","SP2",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1530.1","NKX6-3",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1483.2","ELF2",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1115.1","POU5F1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0517.1","STAT1::STAT2",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1634.1","BATF",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0478.1","FOSL2",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0491.2","JUND",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1965.1","SP5",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0149.1","EWSR1-FLI1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0914.1","ISL2",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0465.2","CDX2",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1508.1","IKZF1",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA1632.1","ATF2",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
"chr1-229253076-229253877","MA0468.1","DUX4",1.14318485279314,0.017952344826658,"ABCB10",0.0528570550052024,3.56363238457782,0.000182879049158242
