"","seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue"
"1","chr1",778747,1001138,222392,"*",0.0725496733961412,"ISG15","chr1-778292-779202",3.77959315156257,7.85424095067216e-05
"2","chr1",959309,1027020,67712,"*",0.0621120946168272,"NOC2L","chr1-1026839-1027201",4.44010244626133,4.49580319964599e-06
"3","chr1",984204,1206691,222488,"*",0.0541795067656895,"TNFRSF18","chr1-984016-984391",2.72106385370962,0.0032536095335888
"4","chr1",1001138,1157917,156780,"*",0.0554937984611908,"ISG15","chr1-1157435-1158399",2.28341501523004,0.0112029668134174
"5","chr1",1001138,1399502,398365,"*",0.0757126723862221,"ISG15","chr1-1398818-1400186",3.52503868851722,0.000211710473383384
"6","chr1",1001138,1407166,406029,"*",0.0537148188752481,"ISG15","chr1-1406451-1407881",2.24496210635602,0.0123852826567857
"7","chr1",1068803,1214138,145336,"*",0.0668064170278663,"TNFRSF4","chr1-1068650-1068955",4.211275756576,1.26966271788603e-05
"8","chr1",1137879,1206691,68813,"*",0.0817483012987079,"TNFRSF18","chr1-1137754-1138004",4.70958410076015,1.2411138815442e-06
"9","chr1",1137879,1214138,76260,"*",0.0831563164773427,"TNFRSF4","chr1-1137754-1138004",4.86221308803216,5.80402811006448e-07
"10","chr1",1144377,1574869,430493,"*",0.0503680303791194,"SSU72","chr1-1144082-1144672",2.40786656763021,0.00802302221819807
"11","chr1",1206691,1231976,25286,"*",0.0566638112294431,"TNFRSF18","chr1-1231408-1232543",2.91129371470876,0.0017996774595999
"12","chr1",1214138,1231976,17839,"*",0.0551274888180311,"TNFRSF4","chr1-1231408-1232543",3.14205034967064,0.000838845914938227
"13","chr1",1214138,1246620,32483,"*",0.0684523114776783,"TNFRSF4","chr1-1246430-1246810",3.96751868008563,3.63124106510486e-05
"14","chr1",1214138,1250975,36838,"*",0.0856620261639105,"TNFRSF4","chr1-1250704-1251245",4.24786572356307,1.07908337587737e-05
"15","chr1",1273885,1281707,7823,"*",0.0515579152316887,"UBE2J2","chr1-1281349-1282065",3.09283920000831,0.000991257624703225
"16","chr1",1309609,1518360,208752,"*",0.0763175571363973,"ACAP3","chr1-1517902-1518817",3.70907353413868,0.000104009506513177
"17","chr1",1375495,1574668,199174,"*",0.0721012851330803,"AURKAIP1","chr1-1573907-1575429",3.28211912175438,0.000515150350050755
"18","chr1",1375495,1778613,403119,"*",0.055177326821313,"AURKAIP1","chr1-1778002-1779223",2.42453530301269,0.00766399647070327
"19","chr1",1399502,1407313,7812,"*",0.0722732548398927,"MRPL20","chr1-1398818-1400186",3.68411704440294,0.000114748387700461
"20","chr1",1471769,1746235,274467,"*",0.0549193287926767,"ATAD3B","chr1-1745991-1746479",2.53425246507727,0.00563437555668956
"21","chr1",1495523,1780457,284935,"*",0.0543497972490405,"NADK","chr1-1495297-1495748",2.83832232133793,0.00226756803404862
"22","chr1",1504991,1615415,110425,"*",0.0645123671649288,"MIB2","chr1-1504704-1505278",3.2404907090566,0.000596620803394471
"23","chr1",1746235,2212720,466486,"*",0.0565276824733711,"FAAP20","chr1-1745991-1746479",2.61031362744666,0.0045229623791657
"24","chr1",1778613,2050470,271858,"*",-0.0507428398141997,"PRKCZ","chr1-1778002-1779223",-2.80849106478243,0.00248871318279466
"25","chr1",2212720,2246776,34057,"*",0.0518102174353719,"FAAP20","chr1-2246626-2246926",2.91780014452814,0.00176255103557767
"26","chr1",2212720,2315039,102320,"*",0.0578974797847196,"FAAP20","chr1-2314722-2315356",2.88910190692051,0.00193171923384406
"27","chr1",2212720,2548123,335404,"*",0.0808778298034064,"FAAP20","chr1-2547733-2548513",3.93605450118769,4.14160846193739e-05
"28","chr1",2228695,2548891,320197,"*",-0.0662412330912922,"SKI","chr1-2548696-2549086",-3.70357473867994,0.000106291256190687
"29","chr1",2391775,2548123,156349,"*",0.0790963476703094,"RER1","chr1-2547733-2548513",5.07498927630948,1.93758927834528e-07
"30","chr1",2414528,2555639,141112,"*",0.0616288482928246,"TNFRSF14","chr1-2414418-2414638",2.77489587742048,0.00276096917957793
"31","chr1",2425980,2840569,414590,"*",0.0562071329615672,"PLCH2","chr1-2840469-2840668",3.41194829619037,0.00032250173054288
"32","chr1",3384610,3857214,472605,"*",0.0796627703981492,"CEP104","chr1-3384442-3384778",5.15415863384584,1.27386103016255e-07
"33","chr1",5991466,6014776,23311,"*",0.061417395282211,"KCNAB2","chr1-6014627-6014924",3.74003350431711,9.19978639615782e-05
"34","chr1",6261067,6701924,440858,"*",0.0583891326477475,"DNAJC11","chr1-6260831-6261302",3.31529165600662,0.000457737773612598
"35","chr1",6394391,6785206,390816,"*",-0.051573347680978,"ACOT7","chr1-6784045-6786367",-2.87860272619206,0.00199720583028186
"36","chr1",6460130,6466195,6066,"*",0.0523609399556866,"TNFRSF25","chr1-6459560-6460700",3.09053950026488,0.000998966140619869
"37","chr1",7853512,7929858,76347,"*",0.0612179408989821,"UTS2","chr1-7929613-7930102",3.21893472418132,0.000643338858559244
"38","chr1",7853512,7940884,87373,"*",0.0588398269167652,"UTS2","chr1-7940740-7941028",3.48163596646692,0.000249180349641649
"39","chr1",7899838,7954291,54454,"*",0.0519242714436685,"PARK7","chr1-7899546-7900130",2.82661405563319,0.00235214939325457
"40","chr1",7940884,7943165,2282,"*",0.0832497097333582,"TNFRSF9","chr1-7940740-7941028",4.84387074460411,6.36668924223757e-07
"41","chr1",7943165,8127272,184108,"*",0.0532906541820213,"TNFRSF9","chr1-8127141-8127402",3.44941385626017,0.000280902474613997
"42","chr1",9163018,9292880,129863,"*",0.0593621155098083,"SPSB1","chr1-9162689-9163346",3.49631236181345,0.000235868067164348
"43","chr1",9233456,9234775,1320,"*",0.0534345460083356,"H6PD","chr1-9233345-9233566",2.77056844231408,0.00279792692193328
"44","chr1",9249898,9651732,401835,"*",0.0501723518098767,"PIK3CD","chr1-9249534-9250262",3.23764236966607,0.000602608938838813
"45","chr1",9539482,9643960,104479,"*",0.0524727504651767,"SLC25A33","chr1-9643718-9644202",3.08225543182072,0.00102719234192765
"46","chr1",9715635,9824526,108892,"*",0.0705666719672571,"CLSTN1","chr1-9715495-9715775",4.21879817848649,1.22803999284786e-05
"47","chr1",10472526,10965804,493279,"*",0.0875194420492805,"DFFA","chr1-10965525-10966083",4.86714909282167,5.66098081249939e-07
"48","chr1",11335549,11806096,470548,"*",0.0594895551896059,"CLCN6","chr1-11335018-11336079",3.24176362641023,0.000593962531830205
"49","chr1",11730449,11806920,76472,"*",0.0502081830934847,"MTHFR","chr1-11730119-11730778",2.90383485934268,0.001843112693351
"50","chr1",11749111,11980181,231071,"*",0.0526447281587494,"MFN2","chr1-11748785-11749437",2.55338639495365,0.0053340537026693
"51","chr1",11934205,11955285,21081,"*",0.0875282016403873,"PLOD1","chr1-11955172-11955397",4.3202325989484,7.79324118984775e-06
"52","chr1",11934205,12047282,113078,"*",0.0536591155325395,"PLOD1","chr1-12046704-12047859",3.00652754175004,0.00132125057222433
"53","chr1",15065890,15526534,460645,"*",0.0609240336257258,"CASP9","chr1-15065731-15066049",3.5859372959164,0.000167934831157708
"54","chr1",15153615,15526813,373199,"*",0.0826522782779205,"DNAJC16","chr1-15153480-15153750",5.35810856539135,4.2048851889096e-08
"55","chr1",15261317,15526534,265218,"*",0.0622036008654501,"CASP9","chr1-15260893-15261740",2.83036680536996,0.00232473328782104
"56","chr1",15386220,15684332,298113,"*",0.056351330298427,"PLEKHM2","chr1-15386119-15386320",3.27489258748072,0.000528510778088976
"57","chr1",15409634,15409895,262,"*",0.0815965478012043,"EFHD2","chr1-15409302-15409966",3.38452028099418,0.000356513755872706
"58","chr1",15409895,15617454,207560,"*",0.0620681237918083,"EFHD2","chr1-15616797-15618110",2.27110160132086,0.0115704140441367
"59","chr1",15409895,15835331,425437,"*",0.05509088598167,"EFHD2","chr1-15834289-15836372",1.81747960248614,0.0345718543939792
"60","chr1",15526813,15780853,254041,"*",0.0624018545922945,"DNAJC16","chr1-15780700-15781005",3.53745334543165,0.000202002777431199
"61","chr1",16352454,16717315,364862,"*",0.0514467716710371,"FBXO42","chr1-16716681-16717949",3.24694183838045,0.000583261128561154
"62","chr1",18927298,19251552,324255,"*",0.0537822846596456,"EMC1","chr1-18927118-18927478",2.71368624664351,0.0033269576615826
"63","chr1",19287719,19640554,352836,"*",0.0668757932856757,"NBL1","chr1-19287423-19288015",5.68598255603729,6.50313358025095e-09
"64","chr1",19391162,19640554,249393,"*",0.0708194991870573,"NBL1","chr1-19390781-19391543",3.7349441293927,9.38784330403424e-05
"65","chr1",19468578,19640554,171977,"*",0.0887359748748035,"NBL1","chr1-19468358-19468798",4.61508546444162,1.96466793431906e-06
"66","chr1",19469603,19640554,170952,"*",0.0528859002716501,"NBL1","chr1-19469485-19469720",3.43205446091368,0.000299513625953251
"67","chr1",22428780,22636506,207727,"*",0.0530649800641869,"C1QA","chr1-22428658-22428902",2.1893322529198,0.0142863498792736
"68","chr1",22636506,22652963,16458,"*",0.0657747392504326,"C1QA","chr1-22652637-22653289",2.89774565526743,0.0018792763090352
"69","chr1",22636506,22976569,340064,"*",0.0754908549679299,"C1QA","chr1-22976437-22976701",3.62933389835194,0.000142076750754398
"70","chr1",22643630,22976569,332940,"*",0.0853461965213905,"C1QC","chr1-22976437-22976701",3.9337864024953,4.1809048440001e-05
"71","chr1",23019448,23422478,403031,"*",0.0504095714496356,"KDM1A","chr1-23422354-23422602",2.72665670142423,0.00319897827098063
"72","chr1",23484306,23778405,294100,"*",0.0560765161941267,"PITHD1","chr1-23483749-23484863",2.3926715835257,0.00836310263599507
"73","chr1",23559794,23637495,77702,"*",0.075526662484472,"ID3","chr1-23637311-23637678",4.59024800060686,2.21359835128581e-06
"74","chr1",23559794,23908922,349129,"*",0.0520220075946735,"ID3","chr1-23908629-23909214",3.75980179916214,8.50240128292501e-05
