"","seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue"
"1","chr1",1001138,1027020,25883,"*",0.0517245761755579,"ISG15","chr1-1026839-1027201",2.59315361207876,0.00475501417430972
"2","chr1",1001138,1399502,398365,"*",0.0651628022653487,"ISG15","chr1-1398818-1400186",2.53936148663048,0.00555275054344418
"3","chr1",1001138,1420157,419020,"*",0.0577670471184617,"ISG15","chr1-1420027-1420286",2.18320457135392,0.0145103741374956
"4","chr1",1032925,1407313,374389,"*",0.0574327898655651,"MRPL20","chr1-1032329-1033521",1.89637568060244,0.0289551926593091
"5","chr1",1068803,1471769,402967,"*",0.0638485677681553,"ATAD3B","chr1-1068650-1068955",2.45823576796187,0.00698107394515588
"6","chr1",1081539,1399328,317790,"*",0.0687591673194613,"CCNL2","chr1-1081396-1081682",3.13566528141574,0.000857323895247925
"7","chr1",1137879,1399328,261450,"*",0.0566912612567907,"CCNL2","chr1-1137754-1138004",2.79014609631373,0.00263421312411408
"8","chr1",1173739,1449689,275951,"*",0.0545567685743422,"ATAD3C","chr1-1173575-1173902",2.20727028386674,0.0136475910351446
"9","chr1",1173739,1659012,485274,"*",0.0789907298426818,"CDK11B","chr1-1173575-1173902",3.10823582659756,0.000941039108008804
"10","chr1",1213518,1407313,193796,"*",0.0672707837906239,"MRPL20","chr1-1213285-1213750",2.03623002706944,0.0208636312051843
"11","chr1",1273809,1449689,175881,"*",0.0538032908945999,"ATAD3C","chr1-1273173-1274444",2.07246899442868,0.0191108624338904
"12","chr1",1291924,1780457,488534,"*",0.0615705094893975,"NADK","chr1-1291722-1292126",2.23683729711367,0.0126484879527663
"13","chr1",1308174,1449689,141516,"*",0.0523629630547487,"ATAD3C","chr1-1307550-1308798",2.19734326709415,0.013997969884278
"14","chr1",1371786,1471769,99984,"*",0.0767336669278581,"ATAD3B","chr1-1371270-1372301",2.7463938035686,0.00301271948055151
"15","chr1",1371786,1724324,352539,"*",0.0699067381070853,"CDK11A","chr1-1371270-1372301",2.18089354257057,0.0145956457263214
"16","chr1",1399328,1494809,95482,"*",0.0598004594048307,"CCNL2","chr1-1494549-1495069",2.36021135792557,0.009132262814803
"17","chr1",1399328,1630595,231268,"*",0.0631668434101785,"CCNL2","chr1-1628818-1632372",2.87575227937041,0.00201532951770364
"18","chr1",1399328,1778613,379286,"*",0.0786874645296338,"CCNL2","chr1-1778002-1779223",3.70743549003885,0.000104684363363755
"19","chr1",1407166,1471769,64604,"*",0.0897731016959249,"ATAD3B","chr1-1406451-1407881",3.3595105330509,0.000390403373803424
"20","chr1",1407313,1780407,373095,"*",0.0534519633219237,"MRPL20","chr1-1780097-1780716",1.72530735548336,0.0422360485413016
"21","chr1",1449689,1759013,309325,"*",0.057267823597086,"ATAD3C","chr1-1758835-1759190",2.62337768663136,0.00435313498032493
"22","chr1",1471320,1692728,221409,"*",0.0790184635725529,"SLC35E2B","chr1-1470814-1471825",2.64237539297728,0.00411633761779852
"23","chr1",1471769,1518360,46592,"*",0.054444341314874,"ATAD3B","chr1-1517902-1518817",1.77254639409664,0.0381519505704396
"24","chr1",1511796,1574869,63074,"*",0.073433623895156,"SSU72","chr1-1511383-1512208",2.63568715833222,0.00419835529382785
"25","chr1",1574668,1780457,205790,"*",0.0502381510433472,"NADK","chr1-1573907-1575429",2.01136768517434,0.02214331700134
"26","chr1",1574869,1724253,149385,"*",0.0523455158686746,"SSU72","chr1-1723942-1724563",2.00693311661083,0.0223783925387784
"27","chr1",1599961,1692728,92768,"*",0.0542208799991581,"SLC35E2B","chr1-1599592-1600330",1.67238943104665,0.0472237774201
"28","chr1",1692728,1749010,56283,"*",0.054444341314874,"SLC35E2B","chr1-1748801-1749218",1.81526377321269,0.0347416916880746
"29","chr1",1692728,2050352,357625,"*",0.0757563256303161,"SLC35E2B","chr1-2049875-2050828",2.14176292720925,0.016106282037823
"30","chr1",1692728,2133352,440625,"*",0.0723171212163362,"SLC35E2B","chr1-2132858-2133846",1.80048144277856,0.0358923255957258
"31","chr1",1724253,1724324,72,"*",0.0630653499292626,"CDK11A","chr1-1723942-1724563",1.81700220902202,0.0346083875509038
"32","chr1",1724324,2126989,402666,"*",0.0586692867455677,"CDK11A","chr1-2126399-2127578",1.81639171569612,0.0346551525451707
"33","chr1",1724324,2148902,424579,"*",0.0618956719727776,"CDK11A","chr1-2148665-2149139",2.68231611492027,0.00365571674859615
"34","chr1",1724324,2174369,450046,"*",0.0613838354923529,"CDK11A","chr1-2174185-2174552",2.00157344151822,0.0226653138811471
"35","chr1",1764287,2050470,286184,"*",0.0544822255135308,"PRKCZ","chr1-1764020-1764553",2.73442844469086,0.00312443378166743
"36","chr1",1778613,2050470,271858,"*",0.058549025861223,"PRKCZ","chr1-1778002-1779223",2.84058130124066,0.00225156964081927
"37","chr1",1780457,1782988,2532,"*",0.0643353721384342,"NADK","chr1-1782821-1783154",2.28324814027056,0.0112078779466249
"38","chr1",1780457,2139967,359511,"*",0.106940064928206,"NADK","chr1-2139815-2140118",4.00941364355703,3.04348541313259e-05
"39","chr1",1780457,2212720,432264,"*",0.0590583350427021,"NADK","chr1-2212419-2213021",2.24065007937797,0.0125243750446274
"40","chr1",1891117,2151242,260126,"*",0.0588630120741502,"GNB1","chr1-2150946-2151538",2.50145861998009,0.00618414476479675
"41","chr1",1891117,2246776,355660,"*",0.0727458374286907,"GNB1","chr1-2246626-2246926",3.30208081404075,0.0004798520774916
"42","chr1",2189670,2212720,23051,"*",0.0786228309434779,"FAAP20","chr1-2189378-2189962",3.70352832756543,0.000106310713226341
"43","chr1",2228695,2526291,297597,"*",-0.0502316291905245,"SKI","chr1-2525828-2526754",-2.18296419454851,0.0145192234562484
"44","chr1",2391707,2556151,164445,"*",0.0561259831140125,"MORN1","chr1-2554925-2557376",1.89882745183968,0.0287935832674278
"45","chr1",2548123,2555639,7517,"*",0.0617415043774819,"TNFRSF14","chr1-2547733-2548513",1.90220288517974,0.0285723178983966
"46","chr1",2555639,2578105,22467,"*",0.101973660315765,"TNFRSF14","chr1-2577566-2578643",3.48993035234237,0.00024157322335325
"47","chr1",2555639,2642859,87221,"*",0.0601299209680517,"TNFRSF14","chr1-2642282-2643435",2.05249365837134,0.0200608553665833
"48","chr1",2653561,3069168,415608,"*",0.0728895437557844,"PRDM16","chr1-2652243-2654879",1.71760013391418,0.0429347879474289
"49","chr1",5991466,6294166,302701,"*",0.0637237861814536,"KCNAB2","chr1-6293957-6294374",2.30670534857065,0.0105356259425314
"50","chr1",5992473,6475632,483160,"*",0.0706818415175882,"NPHP4","chr1-6475501-6475763",2.64694183711968,0.00406116608148449
"51","chr1",5994861,6209389,214529,"*",0.0632773895707538,"RPL22","chr1-5994756-5994965",3.20571341543177,0.000673640487802108
"52","chr1",6014776,6394391,379616,"*",0.0593976351286754,"ACOT7","chr1-6014627-6014924",1.74949262582778,0.0401029511848764
"53","chr1",6108969,6424788,315820,"*",0.0539818398076116,"ESPN","chr1-6108848-6109089",3.01078729743193,0.00130285656520044
"54","chr1",6261067,6394391,133325,"*",0.0936580228521532,"ACOT7","chr1-6260831-6261302",3.94878086798722,3.9275107656973e-05
"55","chr1",6294166,6424788,130623,"*",0.0596119799363488,"ESPN","chr1-6293957-6294374",3.10055320879424,0.000965797529048528
"56","chr1",6359459,6424788,65330,"*",0.0523756359649981,"ESPN","chr1-6358883-6360034",2.37002109324339,0.00889353523293775
"57","chr1",6359459,6785324,425866,"*",0.05837909918773,"CAMTA1","chr1-6358883-6360034",2.17671521757474,0.0147509110867404
"58","chr1",6394391,6701640,307250,"*",0.0517435426439454,"ACOT7","chr1-6701148-6702131",1.85865584869538,0.031537967706353
"59","chr1",6438185,6701924,263740,"*",0.059986249266906,"DNAJC11","chr1-6438070-6438299",2.17426444539195,0.0148426404766028
"60","chr1",6448864,6554535,105672,"*",0.0684612760164416,"NOL9","chr1-6448692-6449036",2.64359547972234,0.00410153131333452
"61","chr1",6460130,6785324,325195,"*",-0.0543136485954514,"CAMTA1","chr1-6459560-6460700",-2.48236846293015,0.00652561214846334
"62","chr1",6465562,6554535,88974,"*",0.0518204604559926,"NOL9","chr1-6465419-6465704",1.94801220335398,0.0257067514888885
"63","chr1",6554535,6634763,80229,"*",0.0535192245662944,"NOL9","chr1-6634597-6634929",2.00132154462462,0.0226788747084659
"64","chr1",7752986,7954291,201306,"*",0.0954398208876072,"PARK7","chr1-7752840-7753132",3.80240770278553,7.16483289978948e-05
"65","chr1",7784320,8104758,320439,"*",0.0711455865787581,"PER3","chr1-8104592-8104923",2.839137135614,0.00226178557732225
"66","chr1",7929858,8026308,96451,"*",0.122098671918505,"ERRFI1","chr1-7929613-7930102",4.04525460973531,2.6133144103097e-05
"67","chr1",7940884,8026308,85425,"*",0.0696578329782123,"ERRFI1","chr1-7940740-7941028",1.92222027267066,0.0272890234908688
"68","chr1",7942471,8026308,83838,"*",0.10177491375408,"ERRFI1","chr1-7942110-7942831",2.52175903529402,0.0058384833304492
"69","chr1",7943165,8004931,61767,"*",0.0783072989998366,"TNFRSF9","chr1-8004767-8005095",3.30153352572632,0.00048078921246698
"70","chr1",7954291,8217369,263079,"*",0.0609288460254729,"PARK7","chr1-8217021-8217716",2.56963110082167,0.00509034311052058
"71","chr1",7961539,8026308,64770,"*",0.12963882734384,"ERRFI1","chr1-7960885-7962193",2.79384990809245,0.00260423233818187
"72","chr1",8004931,8026308,21378,"*",0.0567851813253785,"ERRFI1","chr1-8004767-8005095",1.66873386505015,0.0475850672790478
"73","chr1",8443826,8879249,435424,"*",0.0602283687339923,"ENO1","chr1-8443644-8444007",2.36785709679728,0.00894572247950445
"74","chr1",8726525,8879249,152725,"*",0.0682916274107853,"ENO1","chr1-8726329-8726721",3.01945520825157,0.00126614867275282
"75","chr1",8848948,8879249,30302,"*",0.0662463642506757,"ENO1","chr1-8848742-8849153",2.70710944258277,0.00339359392116758
"76","chr1",8879249,8900118,20870,"*",0.0528682320955647,"ENO1","chr1-8899968-8900268",1.8424202314793,0.0327068523502193
"77","chr1",8879249,9069660,190412,"*",0.0955826574140447,"ENO1","chr1-9069361-9069958",4.08901428354321,2.16605089874137e-05
"78","chr1",8879249,9233456,354208,"*",0.061019488401748,"ENO1","chr1-9233345-9233566",2.77231807169883,0.00278293108357413
"79","chr1",8988200,9234775,246576,"*",0.0537349628619703,"H6PD","chr1-8988092-8988307",2.5699004111767,0.00508638772562942
"80","chr1",8988200,9292880,304681,"*",0.0566279722759593,"SPSB1","chr1-8988092-8988307",2.17312266684555,0.0148855430703857
"81","chr1",9069660,9292880,223221,"*",0.0730690774904309,"SPSB1","chr1-9069361-9069958",2.54874012923056,0.00540564142927542
"82","chr1",9234775,9411147,176373,"*",0.0601263714781549,"H6PD","chr1-9411019-9411275",3.02123294112493,0.00125873802733491
"83","chr1",9234775,9687564,452790,"*",0.0675124650549619,"H6PD","chr1-9687131-9687996",3.60930871301002,0.000153507034375661
"84","chr1",9292880,9715635,422756,"*",0.0650595215170489,"SPSB1","chr1-9715495-9715775",2.22868307802608,0.0129174994802554
"85","chr1",9411147,9539482,128336,"*",0.125098262602485,"SLC25A33","chr1-9411019-9411275",5.09704262157805,1.72500337196014e-07
"86","chr1",9652153,9943428,291276,"*",0.0513128630497067,"NMNAT1","chr1-9651528-9652778",2.39715442178407,0.00826147932461771
"87","chr1",9715635,10032832,317198,"*",0.0597609957279002,"UBE4B","chr1-9715495-9715775",2.36578946915169,0.00899583611938761
"88","chr1",9725003,9943428,218426,"*",0.0503415296141716,"NMNAT1","chr1-9724744-9725261",2.12746486963145,0.0166907386147475
"89","chr1",9787889,9943428,155540,"*",0.0721804085369727,"NMNAT1","chr1-9787787-9787991",2.67689687397919,0.0037153751261437
"90","chr1",9824526,9991179,166654,"*",0.0550861422839976,"CLSTN1","chr1-9990979-9991378",2.45168209000323,0.00710951119830906
"91","chr1",9825524,9943407,117884,"*",0.0534591922351948,"LZIC","chr1-9825179-9825868",2.28808500506708,0.0110662856518407
"92","chr1",9883203,10032832,149630,"*",0.0622307681433057,"UBE4B","chr1-9882988-9883418",2.48439751376041,0.00648854280852517
"93","chr1",9900497,9943428,42932,"*",0.0712819197423153,"NMNAT1","chr1-9900049-9900945",3.19360409898413,0.000702543338070151
"94","chr1",9910336,9950401,40066,"*",0.0526785163447626,"CTNNBIP1","chr1-9950129-9950672",1.97020930383595,0.0244071938498495
"95","chr1",10032832,10484660,451829,"*",0.0602245600273715,"UBE4B","chr1-10484331-10484988",2.39787980016536,0.00824513777622005
"96","chr1",10210805,10484660,273856,"*",0.079253728849856,"KIF1B","chr1-10484331-10484988",3.17916885666631,0.000738490114802175
"97","chr1",10283456,10472288,188833,"*",0.0503680179609311,"PEX14","chr1-10283350-10283561",1.89185155152096,0.0292553812304819
"98","chr1",10472376,10472526,151,"*",0.0819653769244567,"DFFA","chr1-10472037-10472715",3.28776867436838,0.000504923895783177
"99","chr1",10472526,10525339,52814,"*",0.0878095426270438,"DFFA","chr1-10524850-10525827",3.18585440078395,0.000721636060933736
"100","chr1",10796650,10910082,113433,"*",0.0819504202565235,"CASZ1","chr1-10909946-10910218",3.61293896985061,0.00015137298976172
"101","chr1",10910082,11012344,102263,"*",0.0753753680677731,"TARDBP","chr1-10909946-10910218",3.63018053003974,0.000141611529015732
"102","chr1",10918044,11099881,181838,"*",0.0739958578181429,"EXOSC10","chr1-10917875-10918213",2.80237425169043,0.00253639940344656
"103","chr1",11736331,12063377,327047,"*",0.0596015554807775,"TNFRSF8","chr1-11735722-11736939",2.17378371692483,0.0148606909830649
"104","chr1",11736331,12166943,430613,"*",-0.0528558514678352,"TNFRSF1B","chr1-11735722-11736939",-2.26493404485823,0.0117583636015032
"105","chr1",11806920,11859409,52490,"*",0.118156750286507,"MTHFR","chr1-11859303-11859515",5.32434588736841,5.06584787296506e-08
"106","chr1",11806920,12150759,343840,"*",0.0629426766049429,"MTHFR","chr1-12150384-12151133",2.04910603625852,0.0202258736878009
"107","chr1",11908857,11980181,71325,"*",0.0558827514625221,"MFN2","chr1-11907790-11909924",2.66196429593509,0.00388430591664483
