"peak","log2FC","pct.1","pct.2","pvalue","padj"
"chr16-84013960-84014354",4.35724150639726,0.234,0.011,2.76621103815446e-32,2.12519695428293e-27
"chr8-8227872-8228698",3.97520433127923,0.24,0.014,3.9973998549833e-29,3.07108238658802e-24
"chr8-144331880-144332130",3.7937915080579,0.24,0.018,4.80808478415722e-29,3.69390729712447e-24
"chr1-154870002-154870514",3.02273058966023,0.269,0.032,6.07198540455439e-24,4.664924226757e-19
"chr5-110018654-110019359",4.18289270625778,0.177,0.01,1.068850003277e-23,8.21165392017622e-19
"chr8-74320478-74321833",3.61569328658448,0.206,0.017,1.21845936707404e-23,9.36105777941975e-19
"chr19-7506082-7506822",3.40829548878594,0.217,0.021,1.80075941774177e-23,1.38346943786847e-18
"chr6-5084340-5085398",2.34835464642548,0.331,0.066,6.65610308695045e-23,5.11368431861143e-18
"chr8-141391756-141392222",2.78449269786086,0.274,0.041,7.69164982990167e-23,5.90926381481856e-18
"chr1-235649005-235650113",3.09965745200643,0.24,0.028,1.47079259607052e-22,1.1299658277831e-17
"chr5-132180964-132181228",7.25937454387048,0.109,0.001,1.59193983019069e-22,1.2230396133406e-17
"chr8-79073668-79073893",5.7116100388551,0.12,0.002,1.53769509959237e-21,1.18136501416383e-16
"chr22-43103762-43104513",4.02177889123207,0.166,0.01,5.40361507713084e-21,4.15143535530731e-16
"chr8-144048991-144049450",3.60815592258497,0.189,0.015,8.21340676389677e-21,6.31011401449897e-16
"chr7-157010509-157010869",4.81617322279199,0.137,0.005,8.48741826324462e-21,6.52062882910294e-16
"chr7-4883459-4884005",4.07226833384117,0.16,0.009,1.7065104311276e-20,1.3110607689224e-15
"chr8-142475424-142476006",2.38249619852919,0.314,0.057,3.26457065654044e-20,2.50807169830032e-15
"chr3-31377120-31377319",5.34217315602988,0.12,0.003,5.67225014317211e-20,4.35781961749483e-15
"chr6-10411998-10413013",2.71631697942328,0.251,0.038,5.75743794775234e-20,4.42326685211969e-15
"chr1-227787483-227788804",1.87238881054394,0.394,0.111,1.01457355796743e-19,7.79466427379639e-15
"chr16-49281732-49282551",4.30582221961453,0.143,0.007,1.0719666910496e-19,8.23559849732676e-15
"chr19-1455614-1455993",3.37483351751705,0.189,0.018,1.10965502682012e-19,8.52514667455096e-15
"chr8-143289265-143289584",3.93743737197667,0.154,0.01,1.76331767517753e-19,1.35470407030864e-14
"chr8-143840574-143841506",1.35075483030776,0.537,0.216,4.46261432742744e-19,3.42849270933268e-14
"chr1-182120597-182121315",2.56614224632733,0.257,0.041,6.91637926140563e-19,5.3136466951601e-14
"chr3-185824291-185826069",2.56926242016576,0.257,0.042,1.06274363827778e-18,8.16474054979666e-14
"chr3-48663320-48664321",2.15279939845143,0.314,0.07,3.35336632536029e-18,2.57629074678455e-13
"chr19-48501569-48502465",2.93603064461669,0.206,0.027,3.80842829756341e-18,2.92590120816904e-13
"chr8-69832978-69833452",4.05644746550489,0.143,0.008,4.29438571069696e-18,3.29924770995715e-13
"chr1-197884003-197884361",3.40663509864959,0.16,0.016,9.15294616588069e-18,7.03193395086115e-13
"chr19-50657959-50658424",3.32351995284642,0.177,0.017,9.26689622463837e-18,7.11947836250292e-13
"chr1-155070776-155071308",2.94393780274369,0.206,0.025,2.42583002430306e-17,1.86369243277131e-12
"chr8-143716123-143716387",3.4843317310744,0.154,0.014,3.12158801365512e-17,2.39822242325082e-12
"chr7-100965824-100966540",2.84601534906091,0.206,0.028,3.15555019284899e-17,2.42431454666009e-12
"chr8-104588320-104589877",1.89436729028484,0.343,0.091,3.6474719440835e-17,2.80224327048103e-12
"chr22-43343233-43343560",3.79893392516855,0.137,0.01,7.73764601994739e-17,5.94460130774498e-12
"chr21-10271605-10272550",1.86445156302628,0.36,0.093,1.14125714887375e-16,8.76793629765234e-12
"chr1-225694205-225694425",2.73858917976324,0.2,0.03,1.59736410200235e-16,1.22720691864535e-11
"chr4-123397401-123399628",2.0189444961987,0.314,0.075,1.94475999926465e-16,1.49410076463505e-11
"chr1-182390869-182392383",1.33940808927445,0.503,0.195,2.08054206163879e-16,1.59841804969523e-11
"chr7-99392740-99393450",2.57245373637243,0.217,0.037,2.1370734939667e-16,1.64184945320979e-11
"chr1-228058837-228059892",2.89999045995287,0.194,0.025,2.45018028213366e-16,1.88240000535483e-11
"chr1-223364032-223364710",4.01629556534869,0.126,0.008,2.65974319305731e-16,2.04340090293014e-11
"chr1-169744830-169745356",3.3653922083866,0.16,0.014,2.80000626775727e-16,2.15116081532988e-11
"chr8-143430525-143431026",1.72447456487625,0.366,0.109,3.17589970294114e-16,2.43994846477859e-11
"chr1-63773760-63774175",3.50526345237807,0.149,0.013,5.16756251412773e-16,3.97008325272891e-11
"chr10-35641811-35642445",3.05845085451097,0.166,0.021,5.17385317373741e-16,3.97491617778724e-11
"chr1-169105566-169106800",1.25406188052573,0.526,0.217,5.61950699299127e-16,4.3172986375054e-11
"chr2-47369023-47370097",3.46570835032887,0.149,0.013,6.21018777650499e-16,4.77110096305549e-11
"chr17-75720878-75721493",2.89920512736548,0.194,0.024,6.47421557126114e-16,4.9739455969328e-11
"chr8-544673-545196",4.05942230890861,0.126,0.007,6.53296371794574e-16,5.01908003558617e-11
"chr3-195747252-195748203",3.10438725132008,0.177,0.019,6.58249870949976e-16,5.05713628354738e-11
"chr22-32801383-32801846",2.44961022283126,0.217,0.041,8.7196247083375e-16,6.69902607467445e-11
"chr7-103989739-103990291",4.70046895579371,0.103,0.004,1.04953190820412e-15,8.06323879115982e-11
"chr8-69834310-69834853",4.11942375179559,0.114,0.007,2.2422029055253e-15,1.72261722622792e-10
"chr1-232629294-232630912",1.5452959170452,0.4,0.136,2.5373877426544e-15,1.9493988810491e-10
"chr1-223081216-223081668",1.96742215379215,0.286,0.072,4.28726589006832e-15,3.29377776536279e-10
"chr8-124631003-124631453",2.03020079344794,0.274,0.065,4.78930909807797e-15,3.67948250078036e-10
"chr6-13873467-13874076",3.27925507153622,0.149,0.015,6.50628401799769e-15,4.99858282250709e-10
"chr1-184626317-184626915",2.18209121347757,0.234,0.054,7.63335330055553e-15,5.8644763402178e-10
"chr8-143740002-143740674",2.89799896004026,0.171,0.023,9.38378411775066e-15,7.2092798241443e-10
"chr1-202010264-202010646",1.92392181767084,0.286,0.074,1.0030933415203e-14,7.706465214898e-10
"chr8-126557154-126558681",1.309458265388,0.457,0.184,1.09946345857107e-14,8.44684791316398e-10
"chr19-58033813-58034024",5.19119102766073,0.086,0.002,1.61540522535432e-14,1.24106737248296e-09
"chr2-75493229-75493473",5.62174699977266,0.08,0.002,2.11798600437576e-14,1.62718510758177e-09
"chr1-203538023-203538499",2.36420888762168,0.211,0.041,2.46209821546621e-14,1.89155619599623e-09
"chr8-143552981-143553934",-12.3551811737912,0,0.15,2.63767501682484e-14,2.02644658517602e-09
"chr1-203026043-203026823",2.18411849754452,0.24,0.052,3.33990782093378e-14,2.5659509815888e-09
"chr13-18211596-18212527",1.88643867890655,0.291,0.077,3.38102426714554e-14,2.5975395137199e-09
"chr7-117873077-117873731",3.68338735835652,0.12,0.009,3.57626881350401e-14,2.74754004135073e-09
"chr22-42128966-42129748",2.87034378102403,0.16,0.022,3.82729508215174e-14,2.94039599276472e-09
"chr20-19757336-19759257",2.70030864684268,0.183,0.026,6.04709727808902e-14,4.64580342583745e-09
"chr1-225652622-225654015",1.68582611710559,0.32,0.099,6.20117530139044e-14,4.76417694879924e-09
"chr1-230425981-230426787",1.74568614546026,0.314,0.09,7.22016340558349e-14,5.54703493960762e-09
"chr1-234997140-234997855",1.94006601594503,0.269,0.068,7.66343660462564e-14,5.88758844023574e-09
"chr7-124765479-124765991",3.47045153122226,0.126,0.011,1.08265699723758e-13,8.31772891267715e-09
"chr8-96589782-96590249",2.11846359231331,0.234,0.053,1.17630259951746e-13,9.03717998131282e-09
"chr1-202034298-202035138",2.37909096749922,0.2,0.038,1.24047570422951e-13,9.53020269288404e-09
"chr1-198156579-198157830",1.2913116018319,0.457,0.18,1.5385053894466e-13,1.18198753555014e-08
"chr1-178724685-178726528",1.36504222964717,0.406,0.157,1.67041456501373e-13,1.2833293978631e-08
"chr1-183022394-183024259",1.48126767910593,0.371,0.129,2.22484563947657e-13,1.70928215944066e-08
"chr8-144526918-144527240",2.79195633163813,0.16,0.023,2.73953481240633e-13,2.10470241032741e-08
"chr19-55165992-55166860",2.55362415585998,0.177,0.03,3.36111829409996e-13,2.58224635180817e-08
"chr2-105398463-105399290",2.73173145952756,0.166,0.024,3.37520509178868e-13,2.59306881586849e-08
"chr12-125983095-125983541",3.84444266305359,0.109,0.007,3.60301861048426e-13,2.76809110787675e-08
"chr1-161439744-161440710",2.54230419154951,0.171,0.031,4.12263225749391e-13,3.16729468446485e-08
"chr19-16896680-16897862",1.83232959722505,0.286,0.079,4.32460599735076e-13,3.32246504958467e-08
"chr3-141368024-141368577",2.27877231085311,0.206,0.041,4.44344145640609e-13,3.4137627677131e-08
"chr2-240233344-240233576",3.67272473430622,0.109,0.009,4.69625176097749e-13,3.60798934040617e-08
"chr19-45670836-45671188",3.0091730088757,0.143,0.018,4.95290708392553e-13,3.80516992536747e-08
"chr21-10325534-10325892",2.30049702682592,0.211,0.04,5.13879396475455e-13,3.94798123930198e-08
"chr20-52972066-52972430",4.28211239934707,0.091,0.005,5.77464489182865e-13,4.4364864310452e-08
"chr8-59118705-59119999",1.91479389752398,0.274,0.068,5.82903475133692e-13,4.47827252840961e-08
"chr3-128487776-128487984",3.81469007754336,0.103,0.007,6.60987721269575e-13,5.07817036619777e-08
"chr8-144373337-144374675",1.20571667352664,0.451,0.197,7.5323884431105e-13,5.78690806918851e-08
"chr8-135515250-135516101",1.91669414593766,0.257,0.064,9.8756393120984e-13,7.58715741430584e-08
"chr1-169115980-169116606",2.94172708351046,0.143,0.018,1.00930628290684e-12,7.7541973796884e-08
"chr1-171404687-171405340",2.56535029754882,0.166,0.028,1.35235690602405e-12,1.0389752401911e-07
"chr19-55156485-55156793",4.48499407688412,0.086,0.004,2.04948500475463e-12,1.57455784460284e-07
"chr8-126531602-126531917",3.05580002415194,0.131,0.015,2.21317966472319e-12,1.70031954101688e-07
"chr8-144502771-144503052",1.64801363199548,0.291,0.093,2.30496101976257e-12,1.77083240265299e-07
"chr1-230728769-230729288",2.18971994506087,0.2,0.043,2.36362179734433e-12,1.81589971824573e-07
"chr8-143976016-143977440",1.28544317755535,0.411,0.168,2.49943385363532e-12,1.92024004673241e-07
"chr1-155078677-155078969",2.36960523328224,0.183,0.034,2.96821033852381e-12,2.28038695677769e-07
"chr8-128554844-128555520",1.62958573214711,0.303,0.094,3.00857800762047e-12,2.31140022591458e-07
"chr20-51767031-51767817",2.16781745433932,0.2,0.045,3.07226486780787e-12,2.36032892999075e-07
"chr7-45920715-45921185",3.48219247070435,0.114,0.009,3.25393905931694e-12,2.49990376110143e-07
"chr20-62641943-62643154",1.85258750763832,0.263,0.069,4.38975146348214e-12,3.37251435684943e-07
"chr2-241881167-241882390",1.75515580955913,0.274,0.081,4.63200407687339e-12,3.55862977213952e-07
"chr8-100950273-100953478",0.769548339906969,0.68,0.403,4.96089425846401e-12,3.81130623195014e-07
"chr22-43110496-43111518",2.4337036593803,0.177,0.032,5.00174657733974e-12,3.8426918429728e-07
"chr19-58009448-58009861",3.69477715688555,0.097,0.008,5.02320082945562e-12,3.85917450124587e-07
"chr19-49363371-49363847",2.2510713230375,0.194,0.041,5.03595265988337e-12,3.86897135000859e-07
"chr7-117862023-117862563",4.25835600738039,0.086,0.004,5.22873533261541e-12,4.01708049398844e-07
"chr7-131555975-131556927",2.14729696009331,0.211,0.046,5.25460449252274e-12,4.03695499347044e-07
"chr5-555724-557268",2.79776380806387,0.143,0.02,5.25890974705526e-12,4.04026259137014e-07
"chr8-94894244-94896774",0.99823051590074,0.543,0.265,5.53869320750821e-12,4.25521183053233e-07
"chr19-58059084-58059619",3.14701320075572,0.12,0.014,5.76408081854217e-12,4.42837037046139e-07
"chr22-38153825-38154242",2.95818127752332,0.131,0.016,5.79756984184094e-12,4.45409898239114e-07
"chr8-94906209-94906710",2.19045382365101,0.2,0.041,6.03516653769306e-12,4.63663739591344e-07
"chr7-141073755-141074314",4.41246970748084,0.086,0.004,6.04114974461775e-12,4.64123411429748e-07
"chr10-130300453-130301859",2.86197030304241,0.143,0.018,6.5138883961112e-12,5.00442503808035e-07
"chrX-153687489-153688105",2.97528529857162,0.131,0.016,6.54054497774158e-12,5.02490449004952e-07
"chr7-101352346-101352644",3.01280857536135,0.126,0.016,6.86135075325262e-12,5.27136994320139e-07
"chr7-148527518-148527935",2.55721783915177,0.16,0.027,7.11303677375926e-12,5.46473276217602e-07
"chr8-142452729-142453162",2.20444558757588,0.194,0.042,7.32080769003061e-12,5.62435692401982e-07
"chr1-182408741-182408954",2.75054683469041,0.143,0.021,7.68826279532531e-12,5.90666165776458e-07
"chr8-133296326-133298078",1.05434241551502,0.509,0.238,8.39408600596341e-12,6.44892445580151e-07
"chr8-74350044-74350817",1.85788391362942,0.251,0.066,1.03202210975287e-11,7.92871626259834e-07
"chr2-231613725-231614483",2.22103779093681,0.189,0.041,1.08009798808251e-11,8.2980688130415e-07
"chr5-95997236-95997684",3.37119447925699,0.109,0.01,1.09239766494158e-11,8.39256354044665e-07
"chr8-143733645-143734211",1.86278903968894,0.234,0.063,1.19719234003884e-11,9.1976695908164e-07
"chr1-228646581-228648256",2.08600270444208,0.211,0.048,1.20095549570218e-11,9.22658078683113e-07
"chr10-15370794-15371488",2.69455596742813,0.149,0.021,1.4206967073065e-11,1.09147865932237e-06
"chr1-235074660-235075474",1.90401359766507,0.223,0.061,1.44374426745093e-11,1.10918540835452e-06
"chr7-69597330-69598656",1.96830876694173,0.223,0.056,1.49732517118016e-11,1.15035000926258e-06
"chr1-147224563-147225712",1.57139323135478,0.297,0.098,1.60702727028312e-11,1.23463084094041e-06
"chr8-144826457-144827866",0.924145499261908,0.589,0.293,1.67015992513991e-11,1.28313376568724e-06
"chr7-76282405-76282694",3.42318830435196,0.103,0.01,1.70626160156501e-11,1.31086960063435e-06
"chr19-49133249-49133976",2.98240315135126,0.131,0.015,1.72268620669727e-11,1.32348813201931e-06
"chr1-231039265-231041215",1.80974433507607,0.251,0.07,1.80614568609076e-11,1.38760754625295e-06
"chr14-99792895-99793806",2.70883580516766,0.149,0.021,1.82936303404111e-11,1.40544473816276e-06
"chr8-143245695-143247293",1.13914640607578,0.474,0.201,1.8793778969077e-11,1.44386965685728e-06
"chr8-131841492-131842469",1.67913892160103,0.269,0.082,1.89682956871596e-11,1.45727725275741e-06
"chr19-3284804-3285989",1.73721453910171,0.257,0.076,1.90347844089025e-11,1.46238538178275e-06
"chr1-184386288-184388084",1.63028184343222,0.291,0.092,2.31814173170893e-11,1.78095874822002e-06
"chr8-141127716-141129273",1.37744455346237,0.371,0.136,2.36553211377252e-11,1.81736735704801e-06
"chr9-32004481-32004817",4.64281391670702,0.074,0.003,2.38838198996958e-11,1.83492223143393e-06
"chr19-2034857-2035291",2.56912992066706,0.149,0.025,2.46325681782653e-11,1.89244631543159e-06
"chr8-97774966-97776681",1.61960835358822,0.286,0.09,2.80233049707813e-11,2.15294645099021e-06
"chr1-157045266-157046492",1.37050446067831,0.354,0.132,2.85860862727367e-11,2.19618325007554e-06
"chr6-106973719-106975426",2.43131570318411,0.166,0.029,3.50774166530415e-11,2.69489268920322e-06
"chr1-244047620-244049863",0.974229463431345,0.537,0.264,3.65202588020522e-11,2.80574192298526e-06
"chr1-173916883-173917446",1.97615440679965,0.211,0.052,4.26699588138169e-11,3.27820492578911e-06
"chr1-164558570-164559304",2.06453621595542,0.194,0.046,4.87172907422949e-11,3.74280329585829e-06
"chr19-46015094-46015631",2.95757003017907,0.126,0.015,4.9382677186739e-11,3.7939229402256e-06
"chr1-182291649-182291894",2.72413492729547,0.137,0.02,4.94211925104658e-11,3.79688195700156e-06
"chr9-88706679-88706944",4.22227979817678,0.08,0.004,5.27174303527805e-11,4.05012202171307e-06
"chr13-23578533-23579874",1.82145851104909,0.251,0.065,5.94758195067896e-11,4.56934878524813e-06
"chr3-42501679-42502823",1.93208170212388,0.223,0.055,6.42826278319739e-11,4.93864144844706e-06
"chr8-144444562-144444835",1.92501084299845,0.217,0.056,6.47539135752834e-11,4.97484891824829e-06
"chr1-156369068-156369354",2.27173522887967,0.166,0.034,7.00462483133704e-11,5.38144311917131e-06
"chr19-56507455-56508237",2.36463004611359,0.16,0.031,7.64385260147706e-11,5.87254263813678e-06
"chr19-56477361-56477915",3.94209522472052,0.08,0.005,8.27513411404671e-11,6.35753728579867e-06
"chr8-143281218-143281870",1.73714600528622,0.24,0.073,8.37680844125418e-11,6.43565062116235e-06
"chr1-234643072-234643550",2.2055163369835,0.171,0.037,8.66046804542729e-11,6.65357778526043e-06
"chr8-85463211-85464387",1.18179186392455,0.406,0.174,8.6913537823523e-11,6.6773063703678e-06
"chr7-97006062-97006427",3.32304925082142,0.103,0.01,8.88652238220131e-11,6.8272485505738e-06
"chr3-127304503-127304703",3.82423178570272,0.086,0.006,9.03253930737686e-11,6.93942897367842e-06
"chr1-168834313-168834666",2.71236490364231,0.131,0.02,9.26031535071462e-11,7.11442247449352e-06
"chr1-227728106-227728982",1.5821083460305,0.274,0.09,1.04204266480405e-10,8.0057011808901e-06
"chr5-127029537-127031309",1.45981669231642,0.337,0.113,1.06216009446992e-10,8.16025735778403e-06
"chr1-244969500-244971454",0.891871600322563,0.566,0.295,1.08381581619267e-10,8.32663177106342e-06
"chr19-17605731-17606713",2.15687324130508,0.183,0.04,1.10804703107824e-10,8.51279292566479e-06
"chr1-203661550-203661870",2.27262436887601,0.166,0.034,1.12181418864635e-10,8.61856186711328e-06
"chr8-143577902-143578698",1.25927767169563,0.371,0.152,1.12222922119616e-10,8.62175043768377e-06
"chr1-228457110-228458750",1.4332787488582,0.32,0.117,1.13462411591419e-10,8.71697669533392e-06
"chr7-63899653-63901311",1.56484992226366,0.28,0.092,1.13481868096165e-10,8.71847148022407e-06
"chr8-144472418-144472863",1.93105806263678,0.206,0.053,1.28261631130843e-10,9.85395633488926e-06
"chr8-100559026-100559925",1.23269650658771,0.389,0.157,1.53218796953783e-10,1.17713405135683e-05
"chr1-236844549-236844910",2.96794140936509,0.114,0.014,1.70645488161635e-10,1.31101809189939e-05
"chr3-184561134-184561802",1.82888818076832,0.229,0.062,1.78070267484803e-10,1.3680604440055e-05
"chr1-215566985-215568155",1.62028881796655,0.257,0.082,1.86216530198422e-10,1.43064573655542e-05
"chr8-102862646-102864802",0.812860004977378,0.617,0.337,1.91003782175736e-10,1.46742475732153e-05
"chr3-138833982-138835205",1.20583166614264,0.389,0.165,1.96226120994673e-10,1.50754641976577e-05
"chr8-144684746-144686145",1.31402275364647,0.337,0.134,2.05501714743474e-10,1.57880802385969e-05
"chr7-103989110-103989532",4.26061832153852,0.074,0.004,2.14721291306474e-10,1.64963926472024e-05
"chr7-5282788-5282994",3.72279847107303,0.086,0.006,2.20034199676089e-10,1.69045674585149e-05
"chr1-203186559-203187001",3.62095649846967,0.086,0.007,2.21833443392663e-10,1.70427979555281e-05
"chr7-332498-332934",2.74618124436395,0.12,0.018,2.26639309548221e-10,1.74120182346612e-05
"chr6-42104116-42104713",2.22829414753048,0.171,0.035,2.28523254541304e-10,1.75567560766448e-05
"chr1-228837786-228838736",1.74639134833022,0.229,0.067,2.3060861709216e-10,1.77169682253394e-05
"chr8-96493504-96494364",1.47031316629852,0.286,0.103,2.52070978955298e-10,1.93658571001986e-05
"chr19-3275460-3276614",1.80500993294271,0.234,0.063,2.61559982599728e-10,2.00948687831893e-05
"chr1-180229242-180230335",2.44121348174585,0.149,0.026,2.7511943648779e-10,2.11366009470475e-05
"chr19-50724407-50725237",1.97522198166463,0.2,0.049,2.75527243334062e-10,2.11679315236259e-05
"chr1-234477918-234479320",1.26565609068686,0.366,0.146,3.01891425887175e-10,2.3193412576634e-05
"chr8-81721108-81721565",1.28073613281075,0.349,0.141,3.0457363063127e-10,2.33994783205086e-05
