"peak","motif_id","is_bound","tf_name","avg_log2FC","p_val_adj","pwm_score","pwm_threshold","pwm_max"
"chr2-213151305-213152395","MA0030.1",TRUE,"FOXF2",1.84338837003852,0.0004098570597867,10.6801954193753,8.0810241920807,19.2778375491315
"chr5-35854137-35854668","MA0030.1",TRUE,"FOXF2",2.39261804987745,0.0418843061947427,8.4283979677357,8.0810241920807,19.2778375491315
"chr2-213151305-213152395","MA0031.1",TRUE,"FOXD1",1.84338837003852,0.0004098570597867,10.6977145051078,8.91546396022629,13.7554852435654
"chr5-35816846-35817523","MA0031.1",TRUE,"FOXD1",2.27469291576492,0.0117218354699334,12.0561139788297,8.91546396022629,13.7554852435654
"chr21-10271605-10272550","MA0051.1",TRUE,"IRF2",1.58997793735558,0.0024754080858369,13.5289639180321,7.35525506168885,25.2483406224791
"chr5-35816846-35817523","MA0051.1",TRUE,"IRF2",2.27469291576492,0.0117218354699334,9.44042552921112,7.35525506168885,25.2483406224791
"chr8-143552981-143553934","MA0066.1",TRUE,"PPARG",-11.6807767992793,0.0374386816803536,11.6065768708461,10.2814375646865,29.534316688449
"chr5-35854137-35854668","MA0066.1",TRUE,"PPARG",2.39261804987745,0.0418843061947427,10.2814375646865,10.2814375646865,29.534316688449
"chr8-8227872-8228698","MA0073.1",TRUE,"RREB1",4.1204570601963,2.24039135951363e-13,16.0190280076956,13.6380155762092,27.7569471880138
"chr17-36181560-36184106","MA0073.1",TRUE,"RREB1",2.00510880916824,7.64815772798707e-06,24.0646466398332,13.6380155762092,27.7569471880138
"chr17-36196445-36197223","MA0073.1",TRUE,"RREB1",2.03260818168492,0.0049911342936967,0,13.6380155762092,27.7569471880138
"chr8-143552981-143553934","MA0073.1",TRUE,"RREB1",-11.6807767992793,0.0374386816803536,13.6380155762092,13.6380155762092,27.7569471880138
"chr21-10271605-10272550","MA0077.1",TRUE,"SOX9",1.58997793735558,0.0024754080858369,10.5675058489921,10.5675058489921,13.7943454472196
"chr5-52725198-52726041","MA0077.1",TRUE,"SOX9",2.65375991276278,0.0348353704201481,13.692189261972,10.5675058489921,13.7943454472196
