"peak","log2FC","pct.1","pct.2","pvalue","padj"
"chr8-8227872-8228698",4.19478473568269,0.168,0.01,8.15047816526965e-38,6.26176786003171e-33
"chr8-143552981-143553934",-12.5218399028562,0,0.161,2.61318211286214e-26,2.0076294218486e-21
"chr17-36196445-36197223",2.17210151420436,0.196,0.047,9.55745242304233e-22,7.34270397305073e-17
"chr17-36198979-36199393",2.60061707378194,0.123,0.022,7.49561365268113e-19,5.75865510094533e-14
"chr17-36181560-36184106",2.12922383330159,0.147,0.035,2.27448828400976e-18,1.74742111395618e-13
"chr17-36192427-36192659",2.49469892608864,0.106,0.019,2.59183507999234e-15,1.99122913690571e-10
"chr17-36202516-36202914",2.62636393157518,0.081,0.014,5.18797593284987e-13,3.98576626993057e-08
"chr21-10271605-10272550",1.38165707667493,0.157,0.065,1.21475114976672e-12,9.33256865831281e-08
"chr17-36210411-36211135",1.95289382941637,0.081,0.021,7.53244333969215e-10,5.78695024458529e-05
"chr16-11224090-11225976",0.750786311598279,0.202,0.128,3.17406221335748e-09,0.000243853677665615
"chr3-53102681-53102971",1.92671612289,0.064,0.018,3.57250553970022e-09,0.000274464883098549
"chr3-53160624-53161466",0.777936012756169,0.168,0.108,4.94744601897624e-09,0.000380097435299888
"chr6-32189877-32190486",1.16067351521547,0.126,0.058,1.6839285749346e-08,0.001293711806265
"chr3-52896773-52897806",0.850210640299734,0.157,0.096,3.73835998285161e-08,0.0028720698240254
"chr17-36188760-36189243",1.43053764052451,0.087,0.035,4.07180756922392e-08,0.00312824760120766
"chr17-1762752-1763831",1.76741115721058,0.064,0.02,7.11019703020468e-08,0.00546255107239535
"chr17-36211794-36212452",2.10065966228161,0.06,0.014,9.06018359725911e-08,0.00696066725226625
"chr19-44747174-44748883",0.635207015589901,0.249,0.168,1.06257490807791e-07,0.00816344424629013
"chr8-12194541-12195004",-2.90467236143438,0.011,0.084,1.35361470033805e-07,0.0103994156582871
"chr19-13172204-13172815",1.38819283501945,0.072,0.028,1.78110478953838e-07,0.0136836937665865
"chr12-128843449-128844309",1.30801723010295,0.085,0.037,1.90153280565105e-07,0.0146089060859753
"chr10-132421063-132421763",0.692632989848421,0.168,0.109,1.97647868910131e-07,0.0151846928247586
"chr3-10010674-10011465",0.738666164262654,0.17,0.108,2.03249748852862e-07,0.0156150684551188
"chr10-119103709-119104808",0.691007383966006,0.181,0.121,2.32856399612541e-07,0.0178896586130327
"chr13-76884826-76886908",0.509876607083692,0.287,0.214,3.08585101195568e-07,0.0237076675695519
"chr3-141486438-141488040",0.555556333366526,0.189,0.142,3.59148991561624e-07,0.0275923395747049
"chr1-27435536-27436442",0.928599762432526,0.111,0.062,4.23913560600807e-07,0.0325680071202782
"chr7-131105676-131106546",0.473485907022706,0.215,0.164,5.25939925599848e-07,0.0404063866640595
"chr11-78828786-78829153",1.93215749680581,0.057,0.016,6.21631814910569e-07,0.0477581074441343
