"","seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue"
"1","chr1",778747,1116361,337615,"*",0.0625724227242175,"C1orf159","chr1-778292-779202",2.29098597272421,0.0109821124828854
"2","chr1",817235,959309,142075,"*",0.0688467901417781,"NOC2L","chr1-817124-817346",2.93511063473427,0.00166714390695331
"3","chr1",825138,904771,79634,"*",0.0762765613273685,"LINC01128","chr1-904632-904910",4.73364643377049,1.10260866789547e-06
"4","chr1",825138,1122201,297064,"*",0.0678363689474655,"LINC01128","chr1-1121972-1122429",3.89619930335273,4.88569949065659e-05
"5","chr1",825138,1213518,388381,"*",0.0534348426099922,"LINC01128","chr1-1213285-1213750",3.11133757074614,0.00093120950893018
"6","chr1",905313,1206691,301379,"*",0.0995619953939678,"TNFRSF18","chr1-905157-905468",3.25162673967213,0.00057373302084202
"7","chr1",966649,1399328,432680,"*",0.0544456772740112,"CCNL2","chr1-966127-967170",2.06806008284648,0.0193171868219343
"8","chr1",1001138,1201210,200073,"*",0.0556340513781033,"ISG15","chr1-1200730-1201690",2.3506902648675,0.00936931239570638
"9","chr1",1032925,1232031,199107,"*",0.0658514801149004,"SDF4","chr1-1032329-1033521",2.95884496109726,0.00154397207295586
"10","chr1",1059381,1471769,412389,"*",0.0538938085417771,"ATAD3B","chr1-1058956-1059805",2.40010065913536,0.00819528198281046
"11","chr1",1116361,1201210,84850,"*",0.0531702450136773,"C1orf159","chr1-1200730-1201690",1.95672093533405,0.0251901435652076
"12","chr1",1201210,1206691,5482,"*",0.0597376712208536,"TNFRSF18","chr1-1200730-1201690",2.01516054204837,0.0219439151966513
"13","chr1",1201210,1471769,270560,"*",0.0602748931384422,"ATAD3B","chr1-1200730-1201690",2.87567981666911,0.00201579218921225
"14","chr1",1206691,1212954,6264,"*",0.0616234911185485,"TNFRSF18","chr1-1212826-1213081",2.15489729361903,0.0155849361123894
"15","chr1",1206691,1308174,101484,"*",0.0709313495230356,"TNFRSF18","chr1-1307550-1308798",2.70689509657028,0.00339578571963582
"16","chr1",1206691,1375123,168433,"*",0.0790895243904584,"TNFRSF18","chr1-1374602-1375644",2.96288779361743,0.00152383821752476
"17","chr1",1206691,1504991,298301,"*",0.0879076463467942,"TNFRSF18","chr1-1504704-1505278",3.11772947403522,0.000911250031214194
"18","chr1",1206691,1505662,298972,"*",0.0550129822095456,"TNFRSF18","chr1-1505546-1505777",1.94002529077075,0.0261883081801957
"19","chr1",1206691,1599961,393271,"*",0.0610272916157463,"TNFRSF18","chr1-1599592-1600330",2.18016596599461,0.0146225807058881
"20","chr1",1208367,1273885,65519,"*",0.0577726200960586,"UBE2J2","chr1-1208114-1208620",2.10283436887666,0.0177401252745536
"21","chr1",1208367,1692728,484362,"*",0.0836952317643749,"SLC35E2B","chr1-1208114-1208620",3.35314473319176,0.000399494568930549
