"peak","log2FC","pct.1","pct.2","pvalue","padj"
"chr10-69045358-69046192",13.7197320516376,0.318,0,8.9848550535318e-06,0.690279459197687
"chr3-20054424-20055612",12.9846863246539,0.227,0,1.14002413091149e-05,0.875846339055367
"chr19-38857181-38857916",13.2740112544783,0.227,0,5.58696687806088e-05,1
"chr19-1855221-1855614",13.4311174777256,0.273,0,6.36573635751038e-05,1
"chr21-29072918-29074008",3.91959970643897,0.227,0.02,6.9165867557862e-05,1
"chr15-85330831-85331684",12.6876855519216,0.182,0,0.000168567215569855,1
"chr8-93990945-93991848",12.8186773619066,0.182,0,0.000188461380607364,1
"chr6-132798021-132799244",3.84278699644486,0.318,0.02,0.000199519390545807,1
"chr1-19251029-19252149",12.4357005642608,0.182,0,0.000215258083497767,1
"chr15-38683317-38683900",12.9986602057887,0.182,0,0.000217763559040411,1
"chr18-74994465-74995484",13.2054861448984,0.227,0,0.000234628190700944,1
"chr17-50546973-50547443",12.5691652221313,0.182,0,0.000234866023487345,1
"chr7-44044130-44045261",3.99712589168755,0.273,0.02,0.000244720801825942,1
"chr1-247007492-247008280",13.0451224963607,0.182,0,0.000300682828618873,1
"chr3-31227042-31227525",13.0590051013009,0.182,0,0.000323409633660772,1
"chr7-5554999-5555722",12.7060432691896,0.182,0,0.000359218692209991,1
"chr3-4867683-4869350",4.11456276665628,0.273,0.02,0.000386272556116082,1
"chr10-70169643-70170978",2.87022885523474,0.364,0.059,0.00040004998501295,1
"chr8-19474994-19475845",13.0257465351796,0.182,0,0.000407571064070687,1
"chr15-78131058-78131853",4.02682374881953,0.227,0.02,0.000478388176725485,1
"chr4-15755649-15756885",3.64420033222052,0.182,0.02,0.000505040723854992,1
"chr3-53346679-53348051",2.82056107208443,0.364,0.059,0.000525912379318676,1
"chr7-150685976-150686580",13.1332463784746,0.182,0,0.000530866064503339,1
"chr20-50440466-50441171",13.019675526439,0.182,0,0.000591330992195928,1
"chr5-35803099-35803558",12.7586260452433,0.136,0,0.000601334530563787,1
"chr14-73770309-73771009",12.4485192958823,0.136,0,0.000601334534984107,1
"chr1-25030681-25031040",12.3038158076745,0.136,0,0.00060133453737437,1
"chr1-11680437-11681753",12.3947232071933,0.182,0,0.000627320425074262,1
"chr17-68247225-68248572",-13.0304700167374,0,0.275,0.000692639938897178,1
"chr7-55365197-55366660",-12.7655693416247,0,0.255,0.000742117716806462,1
"chr3-183178827-183179489",12.6067607136865,0.136,0,0.000773402987294246,1
"chr2-233990261-233991121",12.2951241940638,0.136,0,0.000773402994661009,1
"chr13-27130712-27131605",12.2672351012453,0.136,0,0.000773402995396028,1
"chr3-49903727-49904247",12.2480375528102,0.136,0,0.000773402995909275,1
"chr20-62407015-62407787",-12.8809675212067,0,0.235,0.000842107118400941,1
"chr1-155001613-155002319",-12.9466036169218,0,0.255,0.000861274164929785,1
"chr14-75068970-75070059",12.1117628942033,0.136,0,0.000883465914671281,1
"chr5-10627506-10628101",12.9360167649005,0.182,0,0.000924137104319775,1
"chr2-231604167-231605206",2.34759748771353,0.409,0.078,0.000930688625689111,1
"chr19-41439427-41440160",12.7561305912784,0.182,0,0.000932001925794641,1
"chr10-96719641-96721201",3.65641075202458,0.227,0.02,0.000942009662322411,1
"chr19-6515926-6517224",2.5900664259728,0.409,0.059,0.000953138552391905,1
"chr15-20340152-20341676",12.6498789923566,0.182,0,0.000959189344653089,1
"chr11-102268439-102268953",13.0787946905861,0.182,0,0.00096355337425387,1
"chr2-29014492-29015312",12.6823649451473,0.182,0,0.00100494176262383,1
"chr19-19598728-19599403",12.9949506614473,0.182,0,0.00105791564050272,1
"chr7-75727631-75728617",13.0366661369036,0.182,0,0.00108153849498675,1
"chr14-105682954-105683607",12.9507087398626,0.136,0,0.00108256729282478,1
"chr14-50531754-50533308",12.4343682827678,0.182,0,0.00109407423245237,1
"chr4-99851028-99851440",12.8124903562385,0.136,0,0.0010944561765565,1
"chr7-48035097-48036457",12.6801361653887,0.182,0,0.00114980454291107,1
"chr1-32179285-32180206",-13.0595033360134,0,0.255,0.00115938379363684,1
"chr22-37121944-37122677",12.8718779409086,0.182,0,0.00119099241878651,1
"chr6-87472377-87473749",12.5816982966844,0.182,0,0.00123291227827738,1
"chr3-37860267-37860953",12.1359029514218,0.136,0,0.00123471432644434,1
"chr10-37975398-37977030",2.49555928882304,0.273,0.059,0.00129984421716188,1
"chr11-554710-555371",13.0090413493181,0.182,0,0.00130491950986651,1
"chr7-131109846-131110142",12.9604103464975,0.182,0,0.00134993558635937,1
"chr7-150668055-150668937",12.2870708195568,0.136,0,0.00137470873407147,1
"chr5-134503189-134503682",12.5626749146816,0.136,0,0.00137470875340318,1
"chr12-121624717-121624933",13.1119278731526,0.182,0,0.00140917125746467,1
"chr11-77411057-77412255",12.2010342304818,0.136,0,0.00147222808208558,1
"chr7-66148072-66148877",12.3854219543332,0.136,0,0.0014759797339251,1
"chr20-36835272-36836008",12.2257451434093,0.136,0,0.00147597974763049,1
