"peak","log2FC","pct.1","pct.2","pvalue","padj"
"chr18-74994465-74995484",1.9841983517204,0.133,0.031,3.10634961439586e-11,2.38651521825191e-06
"chr10-132536762-132537986",0.992902718781956,0.385,0.179,4.28326487722979e-11,3.29070390722933e-06
"chr9-38392330-38392977",2.26158182151799,0.119,0.023,6.81117328124489e-10,5.23282009678201e-05
"chr8-56211009-56212453",1.00821766252894,0.344,0.154,1.09506163578738e-09,8.41303002926374e-05
"chr15-21260786-21262808",-1.43234150665373,0.047,0.105,6.02078556878554e-09,0.000462558892893087
"chr10-119650830-119652334",1.32448473945919,0.223,0.08,6.89024767362548e-09,0.000529357058021625
"chr21-46423749-46425918",1.70069650039417,0.137,0.037,9.71461106233285e-09,0.000746344424085846
"chr9-93095326-93096644",0.780048226393113,0.396,0.213,1.02841358048089e-08,0.000790099301476055
"chr17-39952363-39953572",1.10009499055779,0.264,0.111,1.543646808844e-08,0.00118593753383058
"chr16-89699974-89700533",1.60723604976094,0.166,0.051,2.08729025029581e-08,0.00160360248059476
"chr6-41199577-41201293",1.74963594520643,0.143,0.04,3.20584648458283e-08,0.00246295567871045
"chr11-71452169-71453549",1.35432869388239,0.207,0.073,4.0079804515827e-08,0.00307921114153744
"chr16-5097028-5098826",1.071731699587,0.275,0.121,4.65530331699891e-08,0.00357652987935075
"chr21-36155705-36157501",0.789287510920829,0.381,0.201,4.65686478256981e-08,0.00357772950650491
"chr18-63154958-63155806",1.47392783726164,0.164,0.054,6.57894014858274e-08,0.00505440234795166
"chr5-180291503-180293784",0.939599483198747,0.297,0.143,7.5758618016202e-08,0.00582030734633075
"chr21-45590280-45591255",2.07750391804202,0.107,0.024,7.83862156867105e-08,0.00602217779256291
"chr14-102086363-102087832",0.899171072270451,0.35,0.167,8.17901346208865e-08,0.00628369067251885
"chr7-129952269-129953114",1.29417279155065,0.193,0.073,8.8065996732135e-08,0.00676584633093973
"chr1-6612693-6615292",0.917134442962186,0.326,0.156,9.53546367946577e-08,0.00732581068102317
"chr12-2794233-2796102",1.07945167548422,0.26,0.112,1.17172668740914e-07,0.00900202462135818
"chr7-921768-922751",1.81778891674106,0.109,0.028,1.30698694651782e-07,0.0100411886140125
"chr10-95560507-95561695",1.29366245342624,0.188,0.07,1.72008406647549e-07,0.0132148898575113
"chr14-96391070-96392427",1.01444434806299,0.273,0.123,1.78931372063625e-07,0.0137467605215321
"chr2-237603489-237604157",1.95589750947609,0.102,0.023,2.2587225600875e-07,0.0173530878123843
"chr19-29844290-29845765",0.979671482518558,0.27,0.123,2.81576586053113e-07,0.0216326843767026
"chr11-75536957-75537631",2.4752434324035,0.068,0.012,3.23989203815456e-07,0.02489111856153
"chr1-65419675-65421078",0.849092248227475,0.307,0.152,3.33798109542273e-07,0.0256447073618042
"chr2-219387297-219388798",0.762671662547697,0.406,0.216,3.61591939549669e-07,0.0277800239397824
"chr7-75738378-75739892",0.893551202657939,0.309,0.149,3.74732140330094e-07,0.0287895461451401
"chr17-64024807-64026048",1.29056003176933,0.158,0.059,4.40809163552984e-07,0.0338660456082851
"chr17-75904385-75905339",1.10943522754408,0.209,0.088,4.68674926557616e-07,0.0360068885826419
