"","seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue"
"1","chr1",778747,1001138,222392,"*",0.070485116285852,"ISG15","chr1-778292-779202",3.21826980265594,0.00064483222122663
"2","chr1",778747,1206691,427945,"*",0.0982789221643617,"TNFRSF18","chr1-778292-779202",2.81957803946409,0.00240434183032815
"3","chr1",817235,1000172,182938,"*",0.0576550117372911,"HES4","chr1-817124-817346",3.00194960806417,0.00134128288848089
"4","chr1",904771,1399328,494558,"*",0.0732558937237546,"CCNL2","chr1-904632-904910",2.84989040414781,0.00218671479928081
"5","chr1",905313,1375495,470183,"*",0.0557969231374753,"AURKAIP1","chr1-905157-905468",2.7462280130266,0.00301424246957724
"6","chr1",959258,1232031,272774,"*",0.067398059177598,"SDF4","chr1-958971-959544",2.25144172540486,0.0121787869480781
"7","chr1",959309,966649,7341,"*",0.0505082630205071,"NOC2L","chr1-966127-967170",3.00827181776874,0.00131369012058364
"8","chr1",959309,1059381,100073,"*",0.053707643267066,"NOC2L","chr1-1058956-1059805",2.98640318644788,0.00141140101193171
"9","chr1",959309,1122201,162893,"*",0.0638015615865122,"NOC2L","chr1-1121972-1122429",3.24738917855126,0.00058234505724346
"10","chr1",976159,1206691,230533,"*",0.0699842202622636,"TNFRSF18","chr1-975927-976391",1.82219507980963,0.0342126954398781
"11","chr1",984204,1232031,247828,"*",0.0544681524542405,"SDF4","chr1-984016-984391",1.74078327916711,0.0408607869942052
"12","chr1",1068803,1206691,137889,"*",0.0653795526698601,"TNFRSF18","chr1-1068650-1068955",1.9892629569667,0.0233360930534109
"13","chr1",1206691,1308174,101484,"*",0.0684989625604267,"TNFRSF18","chr1-1307550-1308798",1.88020347114418,0.0300401763635018
"14","chr1",1208367,1471769,263403,"*",0.0520162143380311,"ATAD3B","chr1-1208114-1208620",2.01112297823013,0.0221562343198447
"15","chr1",1208367,1574869,366503,"*",0.0645716349729249,"SSU72","chr1-1208114-1208620",3.04692249680452,0.00115598656557678
"16","chr1",1231976,1574869,342894,"*",0.0596035028541688,"SSU72","chr1-1231408-1232543",3.11105954452002,0.000932086725573021
"17","chr1",1232031,1599961,367931,"*",0.0712685792856788,"SDF4","chr1-1599592-1600330",2.51754198044553,0.00590884427535071
"18","chr1",1246620,1399328,152709,"*",0.0591053142320999,"CCNL2","chr1-1246430-1246810",2.56456584805117,0.00516524877198998
"19","chr1",1308174,1512151,203978,"*",0.0582329224469611,"ATAD3A","chr1-1307550-1308798",2.07805955665962,0.0188519370297229
"20","chr1",1308174,1574869,266696,"*",0.0713129357201745,"SSU72","chr1-1307550-1308798",3.50690054856244,0.000226679276020051
"21","chr1",1324779,1512151,187373,"*",0.0501144343613314,"ATAD3A","chr1-1324277-1325281",2.0230963254997,0.0215316086630743
"22","chr1",1399328,1441071,41744,"*",0.074920305175627,"CCNL2","chr1-1440927-1441214",3.2782490509043,0.000522265966229968
"23","chr1",1407313,1420157,12845,"*",0.056501532511168,"MRPL20","chr1-1420027-1420286",2.55920014889545,0.00524566595369049
"24","chr1",1407313,1778613,371301,"*",0.0504784890779039,"MRPL20","chr1-1778002-1779223",2.46768758632257,0.00679944739906643
"25","chr1",1471769,1505662,33894,"*",0.0628521241178274,"ATAD3B","chr1-1505546-1505777",2.38909014026531,0.00844507887877074
"26","chr1",1471769,1678277,206509,"*",0.0565776522045138,"ATAD3B","chr1-1677435-1679119",2.68230476275414,0.00365584081670437
"27","chr1",1505662,1692728,187067,"*",0.0703873077357742,"SLC35E2B","chr1-1505546-1505777",2.60172758215148,0.00463777496191391
"28","chr1",1512151,1960122,447972,"*",0.0648254305944237,"ATAD3A","chr1-1959946-1960297",2.44544164586028,0.00723374292652918
"29","chr1",1692728,1890956,198229,"*",0.0540600678548469,"SLC35E2B","chr1-1889928-1891983",1.87779224109043,0.030204796052811
"30","chr1",1746235,1891117,144883,"*",-0.0651436606074076,"GNB1","chr1-1745991-1746479",-2.97786147597759,0.00145133570303996
"31","chr1",1780457,2151242,370786,"*",0.0685969423184565,"NADK","chr1-2150946-2151538",3.36613258577953,0.000381150292939299
"32","chr1",1891117,2315039,423923,"*",-0.0526557276603093,"GNB1","chr1-2314722-2315356",-2.65134493655032,0.00400859585231793
"33","chr1",1960122,2212720,252599,"*",0.0613150475894937,"FAAP20","chr1-1959946-1960297",2.69076715168308,0.0035643966042941
"34","chr1",2050352,2050470,119,"*",0.0512645510668717,"PRKCZ","chr1-2049875-2050828",2.21301517796029,0.0134482996264339
"35","chr1",2050352,2212720,162369,"*",0.0519347796347745,"FAAP20","chr1-2049875-2050828",2.02503441486642,0.0214319152562798
"36","chr1",2050470,2415918,365449,"*",0.0742941881914196,"PRKCZ","chr1-2415817-2416018",3.59947619484775,0.000159429409916146
"37","chr1",2228695,2412692,183998,"*",0.062626344197278,"SKI","chr1-2412070-2413313",1.95843781284379,0.0250893307149366
"38","chr1",2228695,2415918,187224,"*",0.0526464588627572,"SKI","chr1-2415817-2416018",2.03728131184975,0.020810929749424
"39","chr1",2548891,2555639,6749,"*",0.0869027194276556,"TNFRSF14","chr1-2548696-2549086",3.77749785063863,7.92059358681208e-05
"40","chr1",3611495,3787498,176004,"*",0.0502802118152469,"MEGF6","chr1-3787312-3787684",2.22306758623452,0.0131056214662742
"41","chr1",3624896,3857214,232319,"*",0.0609437279127966,"CEP104","chr1-3624117-3625674",2.31668732714625,0.0102603852045134
"42","chr1",3625002,3857292,232291,"*",0.0544472642036023,"TPRG1L","chr1-3856621-3857963",1.83337443759362,0.0333734531944966
"43","chr1",3772438,3796504,24067,"*",0.0813113343300987,"LRRC47","chr1-3772023-3772853",3.15985210090353,0.000789246221180299
"44","chr1",5991466,6014776,23311,"*",0.0604018113978632,"KCNAB2","chr1-6014627-6014924",3.00612722231076,0.00132299133289213
"45","chr1",5994861,6394391,399531,"*",0.0672632235046845,"ACOT7","chr1-5994756-5994965",3.45538696499642,0.000274751772757141
"46","chr1",6026733,6209389,182657,"*",0.065573088550551,"RPL22","chr1-6026014-6027452",2.59524648337558,0.00472615529279436
"47","chr1",6209389,6393475,184087,"*",0.0726316331267936,"RPL22","chr1-6392741-6394209",3.37805175751364,0.00036500669591546
"48","chr1",6209389,6554348,344960,"*",0.0649901471160437,"RPL22","chr1-6553979-6554717",2.78726512043074,0.0026577485951607
"49","chr1",6235806,6614607,378802,"*",0.0663511680682472,"KLHL21","chr1-6235332-6236280",2.83719779012009,0.00227557044050913
"50","chr1",6294913,6394391,99479,"*",0.0630498302621963,"ACOT7","chr1-6294617-6295209",3.0297448336327,0.00122380215505476
"51","chr1",6460130,6613685,153556,"*",0.0657290470723307,"PHF13","chr1-6459560-6460700",3.08766361423054,0.00100868342589501
"52","chr1",6460130,6614607,154478,"*",0.0851764316514896,"KLHL21","chr1-6459560-6460700",3.39269384674732,0.000346044716532993
"53","chr1",6701924,6963024,261101,"*",0.0716791367275589,"DNAJC11","chr1-6962422-6963625",3.20594491601197,0.000673098778872793
"54","chr1",7704819,7943165,238347,"*",0.0552935069560139,"TNFRSF9","chr1-7704009-7705629",2.03386363818896,0.020982673016536
"55","chr1",7853512,8283372,429861,"*",0.0846036591907842,"UTS2","chr1-8283145-8283599",4.38613271271013,5.76918690350715e-06
"56","chr1",7913273,8026308,113036,"*",0.0887032320078132,"ERRFI1","chr1-7913066-7913479",2.9209365827752,0.001744904281743
"57","chr1",7943165,7975422,32258,"*",0.0687808385759263,"TNFRSF9","chr1-7975286-7975558",3.01210286275732,0.00129722333474404
"58","chr1",7943165,8212120,268956,"*",0.0618660890765506,"TNFRSF9","chr1-8211986-8212253",2.57513919195731,0.00500998770997675
"59","chr1",7943165,8318079,374915,"*",0.0845156084648118,"TNFRSF9","chr1-8317753-8318405",3.30039573077326,0.000482742913772292
"60","chr1",8004931,8026308,21378,"*",0.0536358455912474,"ERRFI1","chr1-8004767-8005095",1.76145882359391,0.0390803882073995
"61","chr1",8026308,8169986,143679,"*",0.059073876300002,"ERRFI1","chr1-8169433-8170539",1.64967579227946,0.0495046319807671
"62","chr1",8026308,8182570,156263,"*",0.0574329667067744,"ERRFI1","chr1-8182102-8183037",1.66252170149317,0.0482041078892829
"63","chr1",8443826,8817643,373818,"*",0.0703342398142931,"RERE","chr1-8443644-8444007",3.57615189339663,0.000174344550344925
"64","chr1",8443826,8879249,435424,"*",0.0611309605300047,"ENO1","chr1-8443644-8444007",2.83859689845867,0.00226561796031918
