"peak","log2FC","pct.1","pct.2","pvalue","padj"
"chr8-8227872-8228698",2.76150563375202,0.154,0.022,2.49173884538464e-42,1.91432820274365e-37
"chr8-143552981-143553934",-11.5271774990903,0,0.077,3.49152039386507e-29,2.68243037299471e-24
"chr17-36196445-36197223",1.6855779282751,0.082,0.026,7.24617061930474e-14,5.56701550169325e-09
"chr19-43668053-43669341",0.71566814522913,0.22,0.141,1.02832657862175e-13,7.9003246055773e-09
"chr17-64066623-64067077",2.16142882864272,0.054,0.012,1.08103416750777e-13,8.30526119871196e-09
"chr17-36181560-36184106",1.2467846155507,0.116,0.049,3.01465422270021e-13,2.31606839967389e-08
"chr8-17026656-17027897",-2.59756164784339,0.012,0.078,1.07536310843114e-12,8.26169215314392e-08
"chr6-156719555-156720443",1.22616254010035,0.09,0.041,6.60035666578216e-12,5.07085601562046e-07
"chr17-36210411-36211135",1.50489652221534,0.07,0.025,1.89231056960095e-11,1.45380544130732e-06
"chr4-9151875-9153708",0.639024619694256,0.256,0.171,3.31448255256033e-11,2.54641751065552e-06
"chr17-36198979-36199393",1.87571871549482,0.053,0.015,3.78947870799125e-11,2.91134280698844e-06
"chr3-52896773-52897806",0.786568118686586,0.166,0.099,9.10423709105875e-11,6.9945122299477e-06
"chr2-112692025-112693322",1.27055506777213,0.072,0.031,1.04976824633914e-10,8.06505450614969e-06
"chr1-12510371-12511161",1.47386523377675,0.064,0.024,1.31793784920413e-10,1.01253211140806e-05
"chr1-151830639-151831042",1.35257386033451,0.078,0.032,1.75185664313289e-10,1.3458989032197e-05
"chr6-224936-225762",1.33111365986233,0.078,0.032,2.2693849478843e-10,1.74350037391107e-05
"chr10-130300453-130301859",1.64571625032064,0.055,0.018,3.03633409612932e-10,2.33272439603328e-05
"chr11-63531178-63531819",1.0991177015339,0.086,0.041,3.31815769184164e-10,2.54924100991117e-05
"chr10-49177236-49177805",1.2513046754363,0.076,0.032,4.90818798429155e-10,3.77081358269167e-05
"chr3-53044575-53046931",0.487379215677477,0.242,0.178,8.61697967635807e-10,6.62016697595562e-05
"chr6-139134612-139135979",0.601800106484242,0.218,0.147,8.98058364070855e-10,6.89951299364715e-05
"chr7-44257608-44258462",0.975454689606373,0.11,0.06,1.02391549443347e-09,7.86643556908403e-05
"chr1-61742063-61743139",1.02915729694802,0.09,0.048,2.3324352525461e-09,0.000179194003147359
"chr4-56530091-56530871",1.32808300303802,0.067,0.027,2.41348586153464e-09,0.000185420878284122
"chr3-38453420-38454441",1.09868228726689,0.069,0.034,6.41337037357091e-09,0.000492720005690332
"chr6-46170505-46171264",1.2085702664201,0.059,0.026,7.52579103927429e-09,0.000578183948174326
"chr12-89225094-89226079",1.21864947674395,0.062,0.029,9.97425799297098e-09,0.000766292318825982
"chr4-139176066-139178649",0.456410926270771,0.233,0.179,1.05491675759397e-08,0.000810460897356717
"chr8-27361671-27362656",0.886556620036734,0.11,0.061,1.12183287531715e-08,0.000861870543119905
"chr20-4686105-4687394",0.571129751325087,0.151,0.108,1.12285637186733e-08,0.000862656864814516
