"","seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue"
"1","chr1",778747,1000172,221426,"*",0.161681506230662,"HES4","chr1-778292-779202",2.55009092615333,0.00538474136720339
"2","chr1",827368,1116361,288994,"*",0.135693578059556,"C1orf159","chr1-827092-827643",2.86464680396321,0.00208737297441438
"3","chr1",869864,1309609,439746,"*",0.0996497543299585,"ACAP3","chr1-869601-870127",2.72861445857394,0.00318005070546755
"4","chr1",959258,1309609,350352,"*",0.0633654888410633,"ACAP3","chr1-958971-959544",1.6460059593891,0.049881266043207
"5","chr1",959309,960724,1416,"*",0.143781114472806,"NOC2L","chr1-960413-961035",2.84881366743305,0.00219412863898898
"6","chr1",959309,1122201,162893,"*",0.209137429964919,"NOC2L","chr1-1121972-1122429",3.89476886575136,4.91462056155125e-05
"7","chr1",959309,1157917,198609,"*",0.0922650110773745,"NOC2L","chr1-1157435-1158399",1.67536979167766,0.0469308498884099
"8","chr1",959309,1273809,314501,"*",-0.0938073739935165,"NOC2L","chr1-1273173-1274444",-1.75133228000732,0.0399443452439249
"9","chr1",959309,1349412,390104,"*",-0.0927055954112099,"NOC2L","chr1-1348941-1349882",-1.67936248212598,0.0465407102691046
"10","chr1",1000172,1032925,32754,"*",0.14468711960267,"HES4","chr1-1032329-1033521",2.5786335722094,0.00495959714583248
"11","chr1",1000172,1144377,144206,"*",0.1300893201187,"HES4","chr1-1144082-1144672",2.32715858443267,0.00997841319641098
"12","chr1",1000427,1273885,273459,"*",0.145630339089349,"UBE2J2","chr1-999864-1000990",1.77933586378749,0.0375923572685899
"13","chr1",1001138,1001880,743,"*",0.143417107467722,"ISG15","chr1-1001715-1002044",2.32010400256921,0.0101676259362296
"14","chr1",1001138,1032925,31788,"*",-0.0796084059112963,"ISG15","chr1-1032329-1033521",-1.84200246575185,0.0327373946002661
"15","chr1",1001138,1122201,121064,"*",0.138095651289719,"ISG15","chr1-1121972-1122429",2.09129887933493,0.0182506401118451
"16","chr1",1001138,1324779,323642,"*",0.134682668626283,"ISG15","chr1-1324277-1325281",2.070088171441,0.0192220441850247
"17","chr1",1032925,1273885,240961,"*",0.178566771960551,"UBE2J2","chr1-1032329-1033521",2.40338840616405,0.00812196201163629
"18","chr1",1068803,1273885,205083,"*",0.129880164506736,"UBE2J2","chr1-1068650-1068955",1.70937154949597,0.0436910737421875
"19","chr1",1068803,1399328,330526,"*",0.105858510216437,"CCNL2","chr1-1068650-1068955",1.75292713316517,0.0398072577479449
"20","chr1",1079929,1273885,193957,"*",0.23327940488461,"UBE2J2","chr1-1079410-1080448",3.5365531080885,0.000202692493255947
"21","chr1",1079929,1375495,295567,"*",0.0996865283767556,"AURKAIP1","chr1-1079410-1080448",2.14736426182102,0.0158821467488167
"22","chr1",1116361,1349412,233052,"*",0.105924733833422,"C1orf159","chr1-1348941-1349882",2.3961377150588,0.00828443188432882
"23","chr1",1122201,1273885,151685,"*",0.221511350315033,"UBE2J2","chr1-1121972-1122429",3.39769704469898,0.000339778147715919
"24","chr1",1157917,1232031,74115,"*",0.166507018402518,"SDF4","chr1-1157435-1158399",2.80944044072911,0.00248138503866156
"25","chr1",1157917,1273885,115969,"*",0.203569229621707,"UBE2J2","chr1-1157435-1158399",2.79245950889064,0.00261545069661666
"26","chr1",1231976,1407313,175338,"*",-0.106739975341846,"MRPL20","chr1-1231408-1232543",-1.96536400658912,0.0246860611354654
"27","chr1",1232031,1399502,167472,"*",0.100348153384353,"SDF4","chr1-1398818-1400186",1.83202115983768,0.0334741340766441
"28","chr1",1308174,1407313,99140,"*",-0.0941792592103804,"MRPL20","chr1-1307550-1308798",-1.76915772486881,0.0384337784548408
"29","chr1",1308174,1692728,384555,"*",0.120128368912817,"SLC35E2B","chr1-1307550-1308798",2.16983460316334,0.0150096889761612
"30","chr1",1309609,1407166,97558,"*",0.0672188009528178,"ACAP3","chr1-1406451-1407881",1.65786551630093,0.0486723068837253
"31","chr1",1309609,1511796,202188,"*",0.117023205370024,"ACAP3","chr1-1511383-1512208",2.66835804794727,0.00381114902243823
"32","chr1",1324779,1375495,50717,"*",0.153112759209039,"AURKAIP1","chr1-1324277-1325281",3.16093305567422,0.000786323189698479
"33","chr1",1324779,1574869,250091,"*",0.124024631611652,"SSU72","chr1-1324277-1325281",2.38167952933407,0.00861694399398944
"34","chr1",1371786,1399328,27543,"*",-0.0912384653681405,"CCNL2","chr1-1371270-1372301",-1.7617345466581,0.0390570790336948
"35","chr1",1371786,1407313,35528,"*",0.0963205419414723,"MRPL20","chr1-1371270-1372301",1.73414202287641,0.0414464434530402
"36","chr1",1375495,1746235,370741,"*",0.146856819841681,"AURKAIP1","chr1-1745991-1746479",2.51039040712637,0.00602988746828574
"37","chr1",1399328,1471320,71993,"*",-0.0997177281737661,"CCNL2","chr1-1470814-1471825",-1.97075034873901,0.0243762192222578
"38","chr1",1399328,1692772,293445,"*",0.165441684202855,"CCNL2","chr1-1692352-1693191",3.48642507825867,0.000244761240984967
"39","chr1",1407166,1574869,167704,"*",0.109945201080816,"SSU72","chr1-1406451-1407881",2.10394270603073,0.0176917225509952
"40","chr1",1407313,1692772,285460,"*",-0.101588754607392,"MRPL20","chr1-1692352-1693191",-1.93496520338403,0.0264972829185927
"41","chr1",1407313,1746235,338923,"*",0.0900791177955787,"MRPL20","chr1-1745991-1746479",1.66849617873113,0.0476086349345496
"42","chr1",1471320,1891117,419798,"*",0.0845875719296835,"GNB1","chr1-1470814-1471825",1.66195287640904,0.0482611116968929
"43","chr1",1574869,1678277,103409,"*",0.337609372317847,"SSU72","chr1-1677435-1679119",6.46320779456966,5.12531879336192e-11
"44","chr1",1574869,1782988,208120,"*",0.120912022109627,"SSU72","chr1-1782821-1783154",2.17348051861936,0.0148720852491548
"45","chr1",1615324,1692728,77405,"*",0.100395552737461,"SLC35E2B","chr1-1614316-1616332",2.05937061125886,0.0197293744329827
"46","chr1",1659012,1678277,19266,"*",0.103619662814918,"CDK11B","chr1-1677435-1679119",2.435919835549,0.00742698800536039
"47","chr1",1659012,1782988,123977,"*",0.081443409380693,"CDK11B","chr1-1782821-1783154",2.02508195966242,0.0214294745108992
"48","chr1",1659012,2126989,467978,"*",0.0699505579279583,"CDK11B","chr1-2126399-2127578",1.72519650203236,0.0422460329368271
"49","chr1",1692728,1890956,198229,"*",0.111250009308185,"SLC35E2B","chr1-1889928-1891983",2.200245237704,0.0138947501523098
"50","chr1",1724324,2194998,470675,"*",0.0968113087126092,"CDK11A","chr1-2194515-2195480",2.17525388216901,0.0148055481997119
"51","chr1",1724324,2199258,474935,"*",-0.0972569290641529,"CDK11A","chr1-2198901-2199615",-1.98973637691317,0.0233099916296589
"52","chr1",1746235,2228695,482461,"*",0.0992453851098676,"SKI","chr1-1745991-1746479",1.6870177780137,0.0457999667804795
"53","chr1",1780457,2050352,269896,"*",0.0977654749649963,"NADK","chr1-2049875-2050828",1.81728086380475,0.0345870592798885
"54","chr1",1780457,2126989,346533,"*",0.121819987361946,"NADK","chr1-2126399-2127578",2.15357874622063,0.0156366112599531
