"peak","log2FC","pct.1","pct.2","pvalue","padj"
"chr6-129671575-129672651",2.6282915677874,0.214,0.038,3.44730267338675e-07,0.0264845922488284
"chr1-53889477-53890238",2.03795705621838,0.232,0.062,5.78526913543604e-06,0.444464871868144
"chr8-130022229-130022674",12.0097291130884,0.071,0,6.37266423377971e-06,0.489592675088594
"chr1-11740798-11741209",11.1975141384928,0.054,0,6.3930456300976e-06,0.491158516623509
"chr17-41678628-41679490",2.07030881511227,0.214,0.055,8.54070760265089e-06,0.65615694298886
"chr2-46569145-46569547",2.71525476265318,0.179,0.027,1.30134620314683e-05,0.999785247491612
"chr5-172789158-172789399",4.99076806967908,0.107,0.003,1.60707890136896e-05,1
"chr14-49864055-49864255",12.2720493548956,0.089,0,1.66014858491284e-05,1
"chr11-66107036-66107296",11.6234127823654,0.054,0,2.15649125404949e-05,1
"chr3-48748579-48749045",3.06778105509125,0.143,0.017,2.33879720662245e-05,1
"chr3-48897650-48899625",1.57430029843794,0.268,0.1,2.77819640284764e-05,1
"chr17-40612855-40613255",4.4955401613092,0.071,0.003,2.87487130541844e-05,1
"chr6-142821782-142821996",11.6345661089404,0.054,0,4.00299191957439e-05,1
"chr11-2387627-2387958",3.35418532670507,0.071,0.007,4.17410392747631e-05,1
"chr4-6916559-6917120",3.14592413881581,0.089,0.01,4.43789184654119e-05,1
"chr1-200588642-200589022",12.0686530732894,0.071,0,6.9619057150802e-05,1
"chr14-64464799-64465807",3.12222190436148,0.107,0.014,8.26343663152617e-05,1
"chr10-35335747-35337488",1.26788264373138,0.321,0.144,9.31425184721582e-05,1
"chr12-47360633-47361766",1.98920063076473,0.161,0.045,9.33694388260619e-05,1
"chr11-117809209-117809758",2.84346114722105,0.143,0.021,9.49769127665449e-05,1
"chr4-105471527-105471829",4.28225830584249,0.054,0.003,0.000107550427686123,1
"chr5-17436856-17437168",3.53190645532814,0.071,0.007,0.00010923003346864,1
"chr10-84156754-84157129",11.9607403423063,0.071,0,0.000110410278079015,1
"chr14-93150251-93150576",3.37187890419795,0.107,0.01,0.000111709677940236,1
"chr14-35416781-35417235",3.23637449515391,0.107,0.014,0.000115207516059782,1
"chr12-14396041-14396416",3.9936778394202,0.054,0.003,0.000115757498610173,1
"chr1-178055852-178056149",11.4925531876019,0.054,0,0.000119096140948147,1
"chr7-2863559-2864100",2.21274033527705,0.161,0.034,0.000131348994539626,1
"chr12-53365253-53365650",3.01607256783378,0.107,0.014,0.000134827093361934,1
"chr12-53344484-53345516",2.13207996128939,0.143,0.034,0.000159141650361275,1
"chr10-133437777-133438130",11.5001977799421,0.054,0,0.000160795224007216,1
"chr16-53129997-53131982",1.15765450944891,0.482,0.237,0.000164048749036998,1
"chr1-112344810-112345057",11.8774406355456,0.054,0,0.000172139287742022,1
"chr2-207236589-207236788",4.50684991564041,0.071,0.003,0.000173863391905687,1
"chr1-235872808-235873583",3.04182186144292,0.054,0.007,0.000174445830274345,1
"chr17-76408601-76408803",11.5020751867929,0.054,0,0.000176613230716142,1
"chr11-45803958-45805473",1.09742108344318,0.339,0.165,0.000183535524154136,1
"chr12-57754477-57755205",3.1168903041395,0.125,0.014,0.000207676443875619,1
"chr19-4715656-4716073",12.0638604299897,0.071,0,0.000211694492218658,1
"chr16-22436581-22437523",1.83666249003805,0.143,0.045,0.000230857942754484,1
"chr10-83680457-83680933",11.5212937727607,0.054,0,0.00023791673316425,1
"chr8-129888030-129888561",3.01708703302125,0.107,0.014,0.000238766949954093,1
"chr20-8151239-8151663",11.5988596478438,0.054,0,0.000241848582961325,1
"chr13-24922335-24923549",1.26799079452337,0.268,0.12,0.000244532151956617,1
"chr6-36755609-36756228",2.58326690167245,0.143,0.024,0.000252668808058793,1
"chr5-67998663-67999257",3.17568541541541,0.107,0.014,0.000263066671412182,1
"chr1-11730119-11730778",2.62663142608386,0.125,0.021,0.000263068123685397,1
"chr12-39372687-39373327",11.4020812283732,0.054,0,0.000267803194329392,1
"chr1-160428702-160429547",11.3118402761808,0.054,0,0.000293261704424522,1
"chr3-186960167-186960564",11.664673769463,0.054,0,0.000296889541968493,1
"chr18-23563390-23564041",3.33609790320445,0.054,0.007,0.000314771742725939,1
"chr3-112740762-112741076",3.87511873519264,0.054,0.003,0.000319085021010872,1
"chr2-37523873-37524379",3.33630075793207,0.089,0.01,0.000339270101830553,1
"chr8-115036548-115037155",11.7675555271794,0.054,0,0.000348604777734633,1
"chr1-94302859-94303178",4.346142381001,0.054,0.003,0.000350991941292307,1
"chr16-30185272-30187609",1.40916502628003,0.232,0.096,0.000398028606263907,1
"chr3-97910343-97911292",2.73707619830143,0.125,0.017,0.000409766599685322,1
"chr21-29372412-29372633",11.5650274613844,0.054,0,0.000422248914876424,1
"chrX-130023950-130024464",1.91799193424917,0.125,0.034,0.000427207547259896,1
"chr10-17872702-17872940",11.7467616367585,0.054,0,0.000435719741335522,1
