"peak","motif_id","is_bound","tf_name","avg_log2FC","p_val_adj","pwm_score","pwm_threshold","pwm_max"
"chr18-74994465-74995484","MA0030.1",TRUE,"FOXF2",1.9841983517204,2.38651521825191e-06,11.8963305538552,7.00116808334276,19.2778375491315
"chr6-41199577-41201293","MA0030.1",TRUE,"FOXF2",1.74963594520643,0.0024629556787104,10.0626408078118,7.00116808334276,19.2778375491315
"chr2-237603489-237604157","MA0030.1",TRUE,"FOXF2",1.95589750947609,0.0173530878123843,8.26609307088027,7.00116808334276,19.2778375491315
"chr19-29844290-29845765","MA0030.1",TRUE,"FOXF2",0.979671482518558,0.0216326843767026,11.6625322854933,7.00116808334276,19.2778375491315
"chr1-207320763-207322390","MA0030.1",TRUE,"FOXF2",0.98777497421603,0.0378056558838599,12.0016371066145,7.00116808334276,19.2778375491315
"chr17-43360019-43362035","MA0030.1",TRUE,"FOXF2",1.18206008260152,0.045555993707756,7.74816334474656,7.00116808334276,19.2778375491315
"chr18-74994465-74995484","MA0031.1",TRUE,"FOXD1",1.9841983517204,2.38651521825191e-06,10.9007025624865,8.2910283082686,13.7554852435654
"chr14-102086363-102087832","MA0031.1",TRUE,"FOXD1",0.899171072270451,0.0062836906725188,8.2910283082686,8.2910283082686,13.7554852435654
"chr19-29844290-29845765","MA0031.1",TRUE,"FOXD1",0.979671482518558,0.0216326843767026,10.4477610022608,8.2910283082686,13.7554852435654
"chr17-64024807-64026048","MA0031.1",TRUE,"FOXD1",1.29056003176933,0.0338660456082851,11.2081310876788,8.2910283082686,13.7554852435654
"chr1-207320763-207322390","MA0031.1",TRUE,"FOXD1",0.98777497421603,0.0378056558838599,10.4477610022608,8.2910283082686,13.7554852435654
"chr2-28508226-28508909","MA0031.1",TRUE,"FOXD1",2.45164513365382,0.045110615588683,11.2081310876788,8.2910283082686,13.7554852435654
"chr17-43360019-43362035","MA0031.1",TRUE,"FOXD1",1.18206008260152,0.045555993707756,11.3513639714961,8.2910283082686,13.7554852435654
"chr9-93095326-93096644","MA0051.1",TRUE,"IRF2",0.780048226393113,0.000790099301476,7.59013613983969,7.59013613983969,25.2483406224791
"chr1-6612693-6615292","MA0051.1",TRUE,"IRF2",0.917134442962186,0.0073258106810231,8.81395766443698,7.59013613983969,25.2483406224791
"chr11-75536957-75537631","MA0051.1",TRUE,"IRF2",2.4752434324035,0.02489111856153,8.54681500532807,7.59013613983969,25.2483406224791
"chr2-219387297-219388798","MA0051.1",TRUE,"IRF2",0.762671662547697,0.0277800239397824,14.6413427502463,7.59013613983969,25.2483406224791
"chr17-64024807-64026048","MA0051.1",TRUE,"IRF2",1.29056003176933,0.0338660456082851,8.07757883903478,7.59013613983969,25.2483406224791
"chr17-43360019-43362035","MA0051.1",TRUE,"IRF2",1.18206008260152,0.045555993707756,10.3707009282266,7.59013613983969,25.2483406224791
"chr7-921768-922751","MA0059.1",TRUE,"MAX::MYC",1.81778891674106,0.0100411886140125,0,14.7177716495343,17.4858994527021
"chr19-29844290-29845765","MA0059.1",TRUE,"MAX::MYC",0.979671482518558,0.0216326843767026,14.7177716495343,14.7177716495343,17.4858994527021
"chr21-46423749-46425918","MA0066.1",TRUE,"PPARG",1.70069650039417,0.0007463444240858,13.7151723495857,11.0929645452984,29.534316688449
"chr11-71452169-71453549","MA0066.1",TRUE,"PPARG",1.35432869388239,0.0030792111415374,13.5489200378983,11.0929645452984,29.534316688449
"chr10-95560507-95561695","MA0066.1",TRUE,"PPARG",1.29366245342624,0.0132148898575113,12.9952795795836,11.0929645452984,29.534316688449
"chr14-96391070-96392427","MA0066.1",TRUE,"PPARG",1.01444434806299,0.0137467605215321,11.2799154222018,11.0929645452984,29.534316688449
"chr2-219387297-219388798","MA0066.1",TRUE,"PPARG",0.762671662547697,0.0277800239397824,17.8845945977388,11.0929645452984,29.534316688449
"chr9-38392330-38392977","MA0069.1",TRUE,"PAX6",2.26158182151799,5.23282009678201e-05,12.7911913582411,9.87726756096077,20.6181067738741
"chr21-46423749-46425918","MA0069.1",TRUE,"PAX6",1.70069650039417,0.0007463444240858,10.3253886280116,9.87726756096077,20.6181067738741
"chr5-180291503-180293784","MA0069.1",TRUE,"PAX6",0.939599483198747,0.0058203073463307,10.5391546514352,9.87726756096077,20.6181067738741
"chr2-28508226-28508909","MA0069.1",TRUE,"PAX6",2.45164513365382,0.045110615588683,9.87726756096077,9.87726756096077,20.6181067738741
"chr18-63154958-63155806","MA0070.1",TRUE,"PBX1",1.47392783726164,0.0050544023479516,8.72457284245833,7.5854098327189,18.4249149416508
"chr11-75536957-75537631","MA0070.1",TRUE,"PBX1",2.4752434324035,0.02489111856153,10.8140079260403,7.5854098327189,18.4249149416508
"chr2-28508226-28508909","MA0070.1",TRUE,"PBX1",2.45164513365382,0.045110615588683,8.29264092686459,7.5854098327189,18.4249149416508
"chr21-46423749-46425918","MA0071.1",TRUE,"RORA",1.70069650039417,0.0007463444240858,11.5058693415672,10.2628601841554,15.7359948043379
"chr11-71452169-71453549","MA0071.1",TRUE,"RORA",1.35432869388239,0.0030792111415374,13.1881149384637,10.2628601841554,15.7359948043379
"chr14-102086363-102087832","MA0071.1",TRUE,"RORA",0.899171072270451,0.0062836906725188,10.2628601841554,10.2628601841554,15.7359948043379
"chr2-237603489-237604157","MA0071.1",TRUE,"RORA",1.95589750947609,0.0173530878123843,12.2420396405708,10.2628601841554,15.7359948043379
"chr17-64024807-64026048","MA0071.1",TRUE,"RORA",1.29056003176933,0.0338660456082851,11.3996633888229,10.2628601841554,15.7359948043379
"chr6-41199577-41201293","MA0072.1",TRUE,"RORA",1.74963594520643,0.0024629556787104,7.53391760612037,6.61886493995095,20.1599078536252
"chr11-71452169-71453549","MA0072.1",TRUE,"RORA",1.35432869388239,0.0030792111415374,8.77695865191897,6.61886493995095,20.1599078536252
"chr5-180291503-180293784","MA0072.1",TRUE,"RORA",0.939599483198747,0.0058203073463307,8.94679964826009,6.61886493995095,20.1599078536252
"chr1-6612693-6615292","MA0072.1",TRUE,"RORA",0.917134442962186,0.0073258106810231,14.3203342732821,6.61886493995095,20.1599078536252
"chr12-2794233-2796102","MA0072.1",TRUE,"RORA",1.07945167548422,0.0090020246213581,9.73127800562607,6.61886493995095,20.1599078536252
"chr3-13015323-13016593","MA0072.1",TRUE,"RORA",1.31119886294836,0.0395313025394003,8.72622136930073,6.61886493995095,20.1599078536252
"chr10-132536762-132537986","MA0073.1",TRUE,"RREB1",0.992902718781956,3.29070390722933e-06,18.4046593493328,16.0138850556956,27.7569471880138
"chr8-56211009-56212453","MA0073.1",TRUE,"RREB1",1.00821766252894,8.41303002926374e-05,17.7735243481999,16.0138850556956,27.7569471880138
"chr15-21260786-21262808","MA0073.1",TRUE,"RREB1",-1.43234150665373,0.000462558892893,24.4647917394117,16.0138850556956,27.7569471880138
"chr10-119650830-119652334","MA0073.1",TRUE,"RREB1",1.32448473945919,0.0005293570580216,17.3025967477528,16.0138850556956,27.7569471880138
"chr21-46423749-46425918","MA0073.1",TRUE,"RREB1",1.70069650039417,0.0007463444240858,18.4964189521481,16.0138850556956,27.7569471880138
