,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
chr18-74994465-74995484,3.10634961439586e-11,1.9841983517204,0.133,0.031,2.38651521825191e-06
chr10-132536762-132537986,4.2832648772297896e-11,0.992902718781956,0.385,0.179,3.29070390722933e-06
chr9-38392330-38392977,6.811173281244891e-10,2.26158182151799,0.119,0.023,5.23282009678201e-05
chr8-56211009-56212453,1.09506163578738e-09,1.00821766252894,0.344,0.154,8.41303002926374e-05
chr15-21260786-21262808,6.020785568785541e-09,-1.43234150665373,0.047,0.105,0.000462558892893
chr10-119650830-119652334,6.8902476736254805e-09,1.32448473945919,0.223,0.08,0.0005293570580216
chr21-46423749-46425918,9.714611062332852e-09,1.70069650039417,0.137,0.037,0.0007463444240858
chr9-93095326-93096644,1.02841358048089e-08,0.780048226393113,0.396,0.213,0.000790099301476
chr17-39952363-39953572,1.543646808844e-08,1.10009499055779,0.264,0.111,0.0011859375338305
chr16-89699974-89700533,2.08729025029581e-08,1.60723604976094,0.166,0.051,0.0016036024805947
chr6-41199577-41201293,3.20584648458283e-08,1.74963594520643,0.143,0.04,0.0024629556787104
chr11-71452169-71453549,4.0079804515827e-08,1.35432869388239,0.207,0.073,0.0030792111415374
chr16-5097028-5098826,4.65530331699891e-08,1.071731699587,0.275,0.121,0.0035765298793507
chr21-36155705-36157501,4.65686478256981e-08,0.789287510920829,0.381,0.201,0.0035777295065049
chr18-63154958-63155806,6.57894014858274e-08,1.47392783726164,0.164,0.054,0.0050544023479516
chr5-180291503-180293784,7.5758618016202e-08,0.939599483198747,0.297,0.143,0.0058203073463307
chr21-45590280-45591255,7.83862156867105e-08,2.07750391804202,0.107,0.024,0.0060221777925629
chr14-102086363-102087832,8.17901346208865e-08,0.899171072270451,0.35,0.167,0.0062836906725188
chr7-129952269-129953114,8.8065996732135e-08,1.29417279155065,0.193,0.073,0.0067658463309397
chr1-6612693-6615292,9.53546367946577e-08,0.917134442962186,0.326,0.156,0.0073258106810231
chr12-2794233-2796102,1.17172668740914e-07,1.07945167548422,0.26,0.112,0.0090020246213581
chr7-921768-922751,1.30698694651782e-07,1.81778891674106,0.109,0.028,0.0100411886140125
chr10-95560507-95561695,1.72008406647549e-07,1.29366245342624,0.188,0.07,0.0132148898575113
chr14-96391070-96392427,1.78931372063625e-07,1.01444434806299,0.273,0.123,0.0137467605215321
chr2-237603489-237604157,2.2587225600875e-07,1.95589750947609,0.102,0.023,0.0173530878123843
chr19-29844290-29845765,2.81576586053113e-07,0.979671482518558,0.27,0.123,0.0216326843767026
chr11-75536957-75537631,3.23989203815456e-07,2.4752434324035,0.068,0.012,0.02489111856153
chr1-65419675-65421078,3.33798109542273e-07,0.849092248227475,0.307,0.152,0.0256447073618042
chr2-219387297-219388798,3.61591939549669e-07,0.762671662547697,0.406,0.216,0.0277800239397824
chr7-75738378-75739892,3.74732140330094e-07,0.893551202657939,0.309,0.149,0.0287895461451401
chr17-64024807-64026048,4.40809163552984e-07,1.29056003176933,0.158,0.059,0.0338660456082851
chr17-75904385-75905339,4.68674926557616e-07,1.10943522754408,0.209,0.088,0.0360068885826419
chr1-207320763-207322390,4.92088144582762e-07,0.98777497421603,0.287,0.128,0.0378056558838599
chr16-81444270-81445316,4.97970701548952e-07,1.09980600431213,0.234,0.099,0.0382575950879013
chr3-13015323-13016593,5.14549605469435e-07,1.31119886294836,0.17,0.062,0.0395313025394003
chr2-28508226-28508909,5.87171379706132e-07,2.45164513365382,0.061,0.01,0.045110615588683
chr3-125915168-125916936,5.89642313239216e-07,0.808875794430405,0.35,0.184,0.0453004499992292
chr17-43360019-43362035,5.92968535902169e-07,1.18206008260152,0.221,0.086,0.045555993707756
