"peak","log2FC","pct.1","pct.2","pvalue","padj"
"chr17-36196445-36197223",12.2683243974468,0.12,0,1.72585703159751e-06,0.132592418166542
"chr20-21125270-21126506",2.02065906043869,0.3,0.075,5.50633225789607e-06,0.423034988377382
"chr9-98168283-98169468",12.0467669994492,0.09,0,2.42750042217004e-05,1
"chr1-26619986-26621740",1.49826604587447,0.29,0.112,3.30617699940255e-05,1
"chr2-202634467-202636209",1.44890199716686,0.36,0.134,4.35941192619509e-05,1
"chr1-31943831-31945024",2.80759677486576,0.16,0.022,5.64657662545057e-05,1
"chr1-230212291-230212745",12.2438088750291,0.09,0,6.10397458982468e-05,1
"chr1-226223399-226224143",12.417265993573,0.09,0,6.18175891949963e-05,1
"chr22-22935471-22935879",12.283034552945,0.09,0,6.58297541819105e-05,1
"chr22-37163811-37164787",3.4190739233118,0.14,0.015,7.43460616549322e-05,1
"chr10-96271134-96271723",12.1935242622992,0.09,0,7.79493672589729e-05,1
"chr5-52743492-52744219",12.0731931326799,0.08,0,9.36066477839851e-05,1
"chr5-119340532-119341139",4.09234707215781,0.11,0.007,0.000127428059300456,1
"chrX-154457548-154458662",-3.12142812248339,0.02,0.157,0.000136796392435592,1
"chr5-139438653-139439763",2.10590622074197,0.18,0.045,0.000144593664746313,1
"chrX-46446708-46447794",-12.0232575560039,0,0.097,0.000149762842468077,1
"chr16-88045818-88046192",12.3150237210106,0.08,0,0.000181594480991102,1
"chr20-49620079-49620988",11.8868366717617,0.07,0,0.000183764199436378,1
"chr7-130667895-130669198",1.49574806373829,0.29,0.104,0.000203013118617298,1
"chr2-224982904-224983720",11.7672302869525,0.07,0,0.000204690791290241,1
"chr4-40629482-40630975",2.75001409163184,0.16,0.022,0.000206558810934165,1
"chr2-73984447-73985671",1.99613372889473,0.2,0.052,0.000222914314687152,1
"chr5-139669735-139670257",3.11749467864704,0.12,0.015,0.000229029573409535,1
"chr2-74502996-74503454",-11.9339990523175,0,0.09,0.000230102176490547,1
"chr10-35641811-35642445",11.6957302866453,0.07,0,0.000235141861659439,1
"chr1-9128190-9129933",1.48304276478147,0.28,0.104,0.00025170435202358,1
"chr2-96536499-96537649",1.37833417367063,0.3,0.112,0.000285375393701841,1
"chr1-27872250-27873389",2.10618024570731,0.2,0.045,0.000288579891404096,1
"chr11-6926108-6927025",11.7859529815389,0.07,0,0.00029170865124953,1
"chr8-8227872-8228698",2.62516254489206,0.14,0.022,0.00029346167539916,1
"chr2-10302083-10303890",1.39934719736127,0.29,0.112,0.000298124348456949,1
"chr8-126556200-126556980",-11.8834188024187,0,0.082,0.000298547619589024,1
"chr12-26124889-26125226",3.6978799170091,0.1,0.007,0.000299203769194234,1
"chr1-194289528-194289976",11.6118882751498,0.06,0,0.000304348736643033,1
